,DDEC,EQeq,Qeq
0,0.811199,1.34700,1.24348
1,0.811199,1.34700,1.24348
2,0.811201,1.34700,1.24348
3,0.811201,1.34700,1.24348
4,0.811202,1.34300,1.24348
5,0.811202,1.34300,1.24348
6,0.780439,1.13600,1.24348
7,0.780439,1.13600,1.24348
8,0.780451,1.13600,1.24348
9,0.780451,1.13600,1.24348
10,0.780462,1.13600,1.24348
11,0.780462,1.13600,1.24348
12,0.452023,0.88100,0.925983
13,0.452023,0.89400,0.925983
14,0.452023,0.88100,0.925983
15,0.452023,0.89400,0.925983
16,0.488315,0.91600,0.963475
17,0.488315,0.93300,0.963475
18,0.488315,0.91800,0.963475
19,0.488315,0.92900,0.963475
20,0.368679,1.37000,1.40208
21,0.368679,1.37000,1.40208
22,0.368679,1.36900,1.40208
23,0.368679,1.36900,1.40208
24,0.368679,1.36900,1.40208
25,0.368679,1.36900,1.40208
26,0.368679,1.37000,1.40208
27,0.368679,1.37000,1.40208
