,DDEC,EQeq,Qeq
0,-1.019933,-0.83000,-0.301691
1,-0.668138,-0.49000,-0.301691
2,-0.585571,-0.48100,-0.301691
3,-0.662395,-0.50700,-0.301691
4,-0.587511,-0.46900,-0.301691
5,-0.616129,-0.46600,-0.301691
6,-0.63559,-0.34500,-0.301691
7,-1.019933,-0.82900,-0.301691
8,-0.668138,-0.49000,-0.301691
9,-0.585571,-0.48200,-0.301691
10,-0.662395,-0.50700,-0.301691
11,-0.587511,-0.47000,-0.301691
12,-0.616129,-0.46400,-0.301691
13,-0.63559,-0.34300,-0.301691
14,-1.019933,-0.83000,-0.301691
15,-0.668138,-0.49000,-0.301691
16,-0.585571,-0.48100,-0.301691
17,-0.662395,-0.50700,-0.301691
18,-0.587511,-0.46900,-0.301691
19,-0.616129,-0.46600,-0.301691
20,-0.63559,-0.34500,-0.301691
21,-1.019933,-0.82900,-0.301691
22,-0.668138,-0.49000,-0.301691
23,-0.585571,-0.48200,-0.301691
24,-0.662395,-0.50700,-0.301691
25,-0.587511,-0.47000,-0.301691
26,-0.616129,-0.46400,-0.301691
27,-0.63559,-0.34300,-0.301691
28,-1.019933,-0.82800,-0.301691
29,-0.668138,-0.48900,-0.301691
30,-0.585571,-0.48100,-0.301691
31,-0.662395,-0.50700,-0.301691
32,-0.587511,-0.46900,-0.301691
33,-0.616129,-0.46600,-0.301691
34,-0.63559,-0.34500,-0.301691
35,-1.019933,-0.83000,-0.301691
36,-0.668138,-0.48900,-0.301691
37,-0.585571,-0.48200,-0.301691
38,-0.662395,-0.51300,-0.301691
39,-0.587511,-0.47000,-0.301691
40,-0.616129,-0.46500,-0.301691
41,-0.63559,-0.34400,-0.301691
42,-1.019933,-0.82800,-0.301691
43,-0.668138,-0.48900,-0.301691
44,-0.585572,-0.48100,-0.301691
45,-0.662395,-0.50700,-0.301691
46,-0.587511,-0.46900,-0.301691
47,-0.616129,-0.46600,-0.301691
48,-0.63559,-0.34500,-0.301691
49,-1.019933,-0.83000,-0.301691
50,-0.668138,-0.48900,-0.301691
51,-0.585572,-0.48200,-0.301691
52,-0.662395,-0.51300,-0.301691
53,-0.587511,-0.47000,-0.301691
54,-0.867173,-0.53400,-0.301691
55,-0.975668,-0.65000,-0.301691
56,-0.740327,-0.43700,-0.281776
57,-0.765153,-0.45200,-0.281776
58,-0.867176,-0.53400,-0.281776
59,-0.97567,-0.65000,-0.281776
60,-0.740331,-0.43600,-0.281776
61,-0.765167,-0.45200,-0.281776
62,-0.867171,-0.53500,-0.281776
63,-0.975666,-0.65000,-0.281776
64,-0.740327,-0.43700,-0.281776
65,-0.765108,-0.45200,-0.281776
66,-0.867174,-0.53500,-0.281776
67,-0.975669,-0.64900,-0.281776
68,-0.740327,-0.43700,-0.281776
69,-0.765153,-0.45200,-0.281776
70,-0.867176,-0.53500,-0.281776
71,-0.975671,-0.64900,-0.281776
72,-0.740331,-0.43700,-0.281776
73,-0.765168,-0.45200,-0.281776
74,-0.867171,-0.53500,-0.281776
75,-0.975666,-0.64900,-0.281776
76,-0.740327,-0.43700,-0.281776
77,-0.765109,-0.45200,-0.281776
78,-0.867173,-0.53400,-0.281776
79,-0.975668,-0.65000,-0.281776
80,-0.740327,-0.43700,-0.281776
81,-0.765153,-0.45200,-0.281776
82,-0.867176,-0.53400,-0.281776
83,-0.97567,-0.65000,-0.281776
84,-0.740331,-0.43600,-0.281776
85,-0.765167,-0.45200,-0.281776
86,-0.867171,-0.53500,-0.281776
87,-0.975666,-0.65000,-0.281776
88,-0.740327,-0.43700,-0.281776
89,-0.765108,-0.45200,-0.281776
90,-0.867174,-0.53500,-0.281776
91,-0.975669,-0.64900,-0.281776
92,-0.740327,-0.43700,-0.281776
93,-0.765153,-0.45200,-0.281776
94,-0.867176,-0.53500,-0.281776
95,-0.975671,-0.64900,-0.281776
96,-0.740331,-0.43700,-0.281776
97,-0.765168,-0.45200,-0.281776
98,-0.867171,-0.53500,-0.281776
99,-0.975666,-0.64900,-0.281776
100,-0.600325,-0.53900,-0.281776
101,-0.598642,-0.51400,-0.281776
102,-0.63171,-0.49500,-0.281776
103,-0.604335,-0.37100,-0.281776
104,-0.583385,-0.34200,-0.273762
105,-0.613306,-0.47100,-0.273762
106,-0.601492,-0.45100,-0.273762
107,-0.599627,-0.47900,-0.273762
108,-0.631566,-0.47700,-0.273762
109,-0.603965,-0.33000,-0.273762
110,-0.583108,-0.33300,-0.273762
111,-0.613119,-0.45700,-0.273762
112,-0.601018,-0.49400,-0.273762
113,-0.599145,-0.49500,-0.273762
114,-0.631899,-0.46900,-0.273762
115,-0.604616,-0.35200,-0.273762
116,-0.583266,-0.36700,-0.273762
117,-0.613305,-0.46400,-0.273762
118,-0.600811,-0.49700,-0.273762
119,-0.599026,-0.49500,-0.273762
120,-0.631694,-0.47400,-0.273762
121,-0.604147,-0.35100,-0.273762
122,-0.812182,-0.60400,-0.273762
123,-0.714801,-0.53300,-0.273762
124,-0.76517,-0.60400,-0.273762
125,-0.772456,-0.63200,-0.273762
126,-0.811302,-0.60600,-0.273762
127,-0.715351,-0.53900,-0.273762
128,-0.766367,-0.60300,-0.609661
129,-0.772017,-0.63300,-0.609661
130,-0.810104,-0.60100,-0.609661
131,-0.716093,-0.53500,-0.609661
132,-0.764269,-0.60000,-0.609661
133,-0.77252,-0.62900,-0.609661
134,-0.812183,-0.60400,-0.609661
135,-0.714801,-0.53300,-0.609661
136,-0.765172,-0.60400,-0.609661
137,-0.772457,-0.63200,-0.609661
138,-0.811302,-0.60600,-0.609661
139,-0.715351,-0.53900,-0.609661
140,-0.766368,-0.60300,-0.609661
141,-0.772018,-0.63300,-0.609661
142,-0.810104,-0.60100,-0.609661
143,-0.716093,-0.53500,-0.609661
144,-0.599015,-0.49900,-0.609661
145,-0.621166,-0.49800,-0.609661
146,-0.611021,-0.48400,-0.609661
147,-0.598474,-0.51000,-0.609661
148,-0.592558,-0.49400,-0.609661
149,-0.630485,-0.46500,-0.609661
150,-0.64604,-0.51200,-0.609661
151,-0.615629,-0.51800,-0.609661
152,-0.599014,-0.49700,-0.3027
153,-0.621166,-0.49800,-0.3027
154,-0.611021,-0.48400,-0.3027
155,-0.598474,-0.50600,-0.3027
156,-0.592558,-0.49400,-0.3027
157,-0.630485,-0.46500,-0.3027
158,-0.64604,-0.51200,-0.3027
159,-0.615629,-0.51700,-0.3027
160,-0.599015,-0.49900,-0.3027
161,-0.621166,-0.49800,-0.3027
162,-0.611021,-0.48300,-0.3027
163,-0.598474,-0.50900,-0.3027
164,-0.592558,-0.49400,-0.3027
165,-0.630485,-0.46400,-0.3027
166,-0.64604,-0.51200,-0.3027
167,-0.615629,-0.51700,-0.3027
168,-0.599014,-0.49800,-0.3027
169,-0.621166,-0.49900,-0.3027
170,-0.611021,-0.48400,-0.3027
171,-0.598474,-0.51000,-0.3027
172,-0.592558,-0.49400,-0.3027
173,-0.630485,-0.46500,-0.3027
174,-0.557662,-0.44700,-0.3027
175,-0.549615,-0.44200,-0.3027
176,-0.314511,-0.24000,-0.3027
177,-0.491142,-0.37800,-0.3027
178,-0.534499,-0.42200,-0.3027
179,-0.443378,-0.36400,-0.3027
180,-0.517872,-0.43200,-0.3027
181,-0.595621,-0.53200,-0.3027
182,-0.657056,-0.61900,-0.3027
183,-0.557662,-0.41700,-0.3027
184,-0.549615,-0.44600,-0.250956
185,-0.314511,-0.23700,-0.250956
186,-0.491142,-0.38500,-0.250956
187,-0.534499,-0.41800,-0.250956
188,-0.443378,-0.36300,-0.250956
189,-0.517872,-0.42900,-0.250956
190,-0.595621,-0.48300,-0.250956
191,-0.657056,-0.61700,-0.250956
192,-0.557662,-0.44300,-0.250956
193,-0.549615,-0.44700,-0.250956
194,-0.314511,-0.22600,-0.250956
195,-0.491142,-0.36900,-0.250956
196,-0.534499,-0.39700,-0.250956
197,-0.443378,-0.34100,-0.250956
198,-0.517872,-0.43000,-0.250956
199,-0.595621,-0.51100,-0.250956
200,-0.657056,-0.59500,-0.250956
201,-0.557662,-0.43200,-0.250956
202,-0.549615,-0.44600,-0.250956
203,-0.314511,-0.25000,-0.250956
204,-0.491142,-0.37800,-0.250956
205,-0.534499,-0.44200,-0.250956
206,-0.443378,-0.38400,-0.250956
207,-0.517872,-0.43000,-0.250956
208,-0.595621,-0.51000,-0.250956
209,-0.657056,-0.63500,-0.250956
210,-0.557662,-0.40300,-0.250956
211,-0.549615,-0.44200,-0.250956
212,-0.314511,-0.23700,-0.250956
213,-0.491142,-0.38100,-0.250956
214,-0.534499,-0.41900,-0.250956
215,-0.443378,-0.36300,-0.250956
216,-0.517872,-0.42800,-0.250956
217,-0.595621,-0.47900,-0.250956
218,-0.657056,-0.61700,-0.250956
219,-0.557662,-0.46700,-0.250956
220,-0.549615,-0.44700,-0.250956
221,-0.314511,-0.24200,-0.250956
222,-0.491142,-0.38700,-0.250956
223,-0.534499,-0.42300,-0.250956
224,-0.443378,-0.36500,-0.250956
225,-0.517872,-0.43200,-0.250956
226,-0.595621,-0.53500,-0.250956
