,DDEC,EQeq,Qeq
0,1.594284,3.07100,1.43344
1,1.594365,3.05700,1.43344
2,1.594284,3.07100,1.43344
3,1.597054,3.07000,1.42787
4,1.597054,3.06900,1.42787
5,1.597186,3.08100,1.42787
6,1.596827,3.06900,1.42953
7,1.596827,3.07000,1.42953
8,1.59716,3.08100,1.42953
9,1.596506,3.06800,1.4249
10,1.596506,3.06800,1.4249
11,1.596589,3.08000,1.4249
12,2.059587,3.10800,1.72133
13,2.043819,3.10600,1.72133
14,2.059587,3.10500,1.72133
15,2.043819,3.10400,1.72133
16,2.059587,3.10700,1.72133
17,2.043819,3.10500,1.72133
18,2.059587,3.10400,1.72133
19,2.043819,3.10300,1.72133
20,1.88135,3.08200,1.43572
21,1.88135,3.08200,1.43572
22,1.88135,3.08000,1.43572
23,1.88135,3.08200,1.43572
24,1.88135,3.08200,1.43572
25,1.88135,3.08200,1.43572
26,1.88135,3.08000,1.43572
27,1.88135,3.08200,1.43572
28,1.45099,3.06600,1.30966
29,1.459727,3.07000,1.30966
30,1.45099,3.06700,1.30966
31,1.459727,3.07000,1.30966
