Name,LCD,PLD,LFPD,cm3_g,ASA_A2,ASA_m2_cm3,ASA_m2_g,NASA_A2,NASA_m2_cm3,NASA_m2_g,AV_A3,AV_VF,AV_cm3_g,NAV_A3,NAV_VF,NAV_cm3_g,OMS,chemical_formula,total_atoms
ABUWOJ,5.07969,4.03039,4.98773,1.15833,781.908,1730.59,1494.04,0.0,0.0,0.0,205.124,0.0454,0.0391945,0.0,0.0,0.0,8.0,Zn16H56C96O56,224
ACOLIP,4.91034,3.57647,4.78103,1.04949,168.23,1101.08,1049.16,0.0,0.0,0.0,40.0299,0.0262,0.0249646,0.0,0.0,0.0,0.0,Zn2H38C44N10O8,102
ACUBAB,6.47918,4.30437,6.24909,2.30944,198.675,1224.36,530.156,0.0,0.0,0.0,102.553,0.0632,0.0273659,0.0,0.0,0.0,0.0,Zn16P12Cl2O48,78
AFITIT,7.3533,5.37116,7.3533,1.01683,592.26,1387.08,1364.11,0.0,0.0,0.0,373.185,0.0874,0.0859532,0.0,0.0,0.0,0.0,Zn6H96C138N6O24,270
AFOQUI,4.25157,3.00568,4.24901,1.62091,0.0,0.0,0.0,60.9103,293.346,180.977,0.0,0.0,0.0,8.30559,0.004,0.00246775,4.0,Zn10H28C52N24O24,138
AHINIP,5.10577,2.92366,4.88107,1.25642,0.0,0.0,0.0,106.419,349.514,278.181,0.0,0.0,0.0,27.4028,0.009,0.00716319,0.0,Zn4H104C112N24O16,260
AMILUE,11.39418,11.07263,11.39418,0.982365,593.545,1255.28,1277.81,0.0,0.0,0.0,976.886,0.2066,0.210309,0.0,0.0,0.0,2.0,Zn8H96C120N16O32,272
AMIMEP,11.21563,10.87494,11.21563,0.985981,592.7,1258.11,1275.99,0.0,0.0,0.0,985.551,0.2092,0.212174,0.0,0.0,0.0,2.0,Zn8H96C120N16O32,272
AMUCOB,4.03894,3.31743,4.03894,1.59335,13.8578,130.227,81.7319,0.0,0.0,0.0,2.12824,0.002,0.00125522,0.0,0.0,0.0,0.0,Ca6H36C30O24,96
ANUGUM,8.23346,6.98845,8.23346,0.68036,777.077,2440.88,3587.64,0.0,0.0,0.0,930.881,0.2924,0.429773,0.0,0.0,0.0,0.0,Zn4H26C58O20,108
APEBED,4.58202,3.62787,4.5574,1.65192,98.8612,521.942,315.961,0.0,0.0,0.0,17.4258,0.0092,0.00556928,0.0,0.0,0.0,4.0,Zn8H16C48S8O32,112
ASACON,6.40616,5.08657,6.3959,1.7783,291.045,981.634,552.006,0.0,0.0,0.0,177.894,0.06,0.03374,0.0,0.0,0.0,4.0,Zn16H16C80O72,184
ASALIP,4.03121,2.56819,3.64374,1.49984,0.0,0.0,0.0,18.772,183.848,122.579,0.0,0.0,0.0,2.65476,0.0026,0.00173352,4.0,Zn4H36C32N8O8,88
ATAFIK,6.40025,5.70377,6.3929,1.21508,874.534,2100.07,1728.34,0.0,0.0,0.0,600.495,0.1442,0.118676,0.0,0.0,0.0,8.0,Zn16H16C80O64,176
ATOWIQ,9.54888,7.69493,9.54568,0.866746,377.32,1767.49,2039.23,0.0,0.0,0.0,503.807,0.236,0.272283,0.0,0.0,0.0,0.0,Zn4H32C40N6O16,98
ATOWOW,9.60606,7.73922,9.60387,0.865497,380.781,1781.14,2057.93,0.0,0.0,0.0,507.527,0.2374,0.274293,0.0,0.0,0.0,0.0,Zn4H32C40N6O16,98
ATOXEN,4.55968,3.64615,4.5327,1.32471,74.6847,463.116,349.599,0.472271,2.92853,2.2107,11.2886,0.007,0.00528419,0.0,0.0,0.0,0.0,Zn4H40C56N4O16,120
