Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0488788,0.0529909,273,5
200.0,0.0964171,0.0657978,273,5
500.0,0.2510551,0.1010369,273,5
1000.0,0.454994,0.1319856,273,5
2000.0,0.8857378999999999,0.1771593,273,5
5000.0,1.8243353,0.2322056,273,5
10000.0,2.7995539,0.2479317,273,5
20000.0,3.9249027,0.2436447,273,5
50000.0,5.2645108,0.2453913,273,5
100000.0,6.3132242,0.1957493,273,5
1000000.0,7.9394738,0.1160521,273,5
100.0,0.0154184,0.0297486,298,5
200.0,0.0311533,0.0420837,298,5
500.0,0.0785536,0.0582287,298,5
1000.0,0.152844,0.0791554,298,5
2000.0,0.2979156,0.1086506,298,5
5000.0,0.6989723,0.1651881,298,5
10000.0,1.2622691,0.2003519,298,5
20000.0,2.0874308,0.2374036,298,5
50000.0,3.4724374,0.2582802,298,5
100000.0,4.4559993,0.2582269,298,5
1000000.0,7.0796506,0.2130731,298,5
100.0,0.0063112,0.0190173,323,5
200.0,0.0121046,0.0265975,323,5
500.0,0.0308638,0.0421441,323,5
1000.0,0.061668,0.0588773,323,5
2000.0,0.1203701,0.0723887,323,5
5000.0,0.2975926,0.1119157,323,5
10000.0,0.5604723,0.1466922,323,5
20000.0,1.0233693,0.1817352,323,5
50000.0,1.9885056,0.229693,323,5
100000.0,2.9933038,0.2598532,323,5
1000000.0,6.0696416,0.2134346,323,5
100.0,0.1215699,0.0712368,273,1
200.0,0.2491173,0.105867,273,1
500.0,0.585487,0.1442405,273,1
1000.0,1.083478,0.200004,273,1
2000.0,1.8894142,0.2518527,273,1
5000.0,3.4348609,0.2709878,273,1
10000.0,4.6458464,0.2618644,273,1
20000.0,5.7021862,0.2430211,273,1
50000.0,6.9872766,0.1918192,273,1
100000.0,7.5778399,0.1567672,273,1
1000000.0,8.3975039,0.0957947,273,1
100.0,0.0382182,0.0464692,298,1
200.0,0.0767298,0.0569357,298,1
500.0,0.1814071,0.08561439999999998,298,1
1000.0,0.369992,0.1255303,298,1
2000.0,0.6904994,0.1571138,298,1
5000.0,1.490136,0.2251887,298,1
10000.0,2.4623442,0.227716,298,1
20000.0,3.5677065,0.2538797,298,1
50000.0,5.082397,0.2577674,298,1
100000.0,6.0868372,0.2283931,298,1
1000000.0,7.983121599999999,0.1229862,298,1
100.0,0.0142506,0.0285663,323,1
200.0,0.0268557,0.0391256,323,1
500.0,0.0699296,0.054625,323,1
1000.0,0.1364188,0.080316,323,1
2000.0,0.2688449,0.1080073,323,1
5000.0,0.6343731,0.1622562,323,1
10000.0,1.1334519,0.1953998,323,1
20000.0,1.9415966,0.2395053,323,1
50000.0,3.2916099,0.2474229,323,1
100000.0,4.4043373,0.2518005,323,1
1000000.0,7.1719669,0.1891992,323,1
100.0,0.0262746,0.0386587,273,6
200.0,0.0535446,0.0553828,273,6
500.0,0.1268053,0.0753794,273,6
1000.0,0.2584835,0.1036066,273,6
2000.0,0.4780155,0.139635,273,6
5000.0,1.1098834,0.1924708,273,6
10000.0,1.9059811,0.2384301,273,6
20000.0,2.9423743,0.2595515,273,6
50000.0,4.3973256,0.217507,273,6
100000.0,5.2664022,0.2019909,273,6
1000000.0,6.9760504,0.141715,273,6
100.0,0.0091475,0.0227754,298,6
200.0,0.0183986,0.0325106,298,6
500.0,0.0475268,0.0520226,298,6
1000.0,0.0907502,0.0609565,298,6
2000.0,0.179297,0.0909759,298,6
5000.0,0.4321827,0.1306102,298,6
10000.0,0.7776077999999998,0.1669368,298,6
20000.0,1.4238855,0.2167074,298,6
50000.0,2.6370959,0.2547236,298,6
100000.0,3.6934385,0.2386665,298,6
1000000.0,6.1812944,0.1591888,298,6
100.0,0.0037165,0.0145802,323,6
200.0,0.007738,0.0212952,323,6
500.0,0.0187323,0.0328678,323,6
1000.0,0.0375681,0.046147,323,6
2000.0,0.07506709999999998,0.0649596,323,6
5000.0,0.1820345,0.0904906,323,6
10000.0,0.3687084,0.1220412,323,6
20000.0,0.6822781,0.1646142,323,6
50000.0,1.4065492,0.2145682,323,6
100000.0,2.2951515,0.2480211,323,6
1000000.0,5.3346086,0.2008921,323,6
100.0,0.0686754,0.0633521,273,2
200.0,0.134572,0.07719439999999998,273,2
500.0,0.3376124,0.1169416,273,2
1000.0,0.6314777,0.1585657,273,2
2000.0,1.1483561,0.1946297,273,2
5000.0,2.3643645,0.2644461,273,2
10000.0,3.5787448,0.2600596,273,2
20000.0,4.5991049,0.2374469,273,2
50000.0,5.7932029,0.2106006,273,2
100000.0,6.3026093,0.176318,273,2
1000000.0,7.8784015,0.1681439,273,2
100.0,0.0218044,0.035257,298,2
200.0,0.0446675,0.0507519,298,2
500.0,0.1078486,0.0688789,298,2
1000.0,0.2160367,0.0994098,298,2
2000.0,0.421564,0.1284856,298,2
5000.0,0.9640536,0.1921658,298,2
10000.0,1.6323451,0.2425062,298,2
20000.0,2.7171375,0.2505446,298,2
50000.0,4.149425,0.2288997,298,2
100000.0,5.0753202,0.2087874,298,2
1000000.0,7.0046819,0.1589402,298,2
