Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0006355,0.0029821,273,5
200.0,0.0013125,0.0042587,273,5
500.0,0.0031747,0.0065953,273,5
1000.0,0.0064264,0.0095053,273,5
2000.0,0.0130823,0.0134823,273,5
5000.0,0.0320835,0.0207891,273,5
10000.0,0.0625525,0.0254976,273,5
20000.0,0.1228123,0.0347201,273,5
50000.0,0.2742358,0.0500955,273,5
100000.0,0.482155,0.0618406,273,5
100.0,0.0003558,0.0022169,298,5
200.0,0.0007324,0.0031844,298,5
500.0,0.0016711,0.0047947,298,5
1000.0,0.0035364,0.007149,298,5
2000.0,0.007068,0.0099733,298,5
5000.0,0.0176052,0.0155331,298,5
10000.0,0.0349522,0.0215354,298,5
20000.0,0.0678843,0.0272443,298,5
50000.0,0.1611984,0.0398687,298,5
100000.0,0.2937979,0.0514701,298,5
100.0,0.0002008,0.0016781,323,5
200.0,0.000407,0.002347,323,5
500.0,0.001014,0.0037324,323,5
1000.0,0.0020186,0.0052819,323,5
2000.0,0.0041065,0.007540599999999998,323,5
5000.0,0.0101333,0.0116975,323,5
10000.0,0.0206058,0.0169266,323,5
20000.0,0.0401829,0.0235211,323,5
50000.0,0.0982704,0.0325177,323,5
100000.0,0.184051,0.0444875,323,5
100.0,0.0002049,0.0016833,273,1
200.0,0.0003821,0.0022766,273,1
500.0,0.0009669,0.0036411,273,1
1000.0,0.0018843,0.0050791,273,1
2000.0,0.0037124,0.0071175,273,1
5000.0,0.009376,0.0114522,273,1
10000.0,0.018428,0.0159853,273,1
20000.0,0.0374402,0.0224825,273,1
50000.0,0.0913768,0.0320529,273,1
100000.0,0.1735448,0.0405968,273,1
100.0,0.0001177,0.001271,298,1
200.0,0.0002575,0.0019111,298,1
500.0,0.0005746,0.0028095,298,1
1000.0,0.0011644,0.0040181,298,1
2000.0,0.0022914,0.0055916,298,1
5000.0,0.0055325,0.0087556,298,1
10000.0,0.011392,0.0124586,298,1
20000.0,0.0223046,0.0172986,298,1
50000.0,0.0553489,0.024339,298,1
100000.0,0.108387,0.0338984,298,1
100.0,8.72e-05,0.0010955,323,1
200.0,0.0001329,0.00135,323,1
500.0,0.0003683,0.0022364,323,1
1000.0,0.0007248,0.0031637,323,1
2000.0,0.0014897,0.0045463,323,1
5000.0,0.0037105,0.0071859,323,1
10000.0,0.0072826,0.0100425,323,1
20000.0,0.0147054,0.0142382,323,1
50000.0,0.0365294,0.0224789,323,1
100000.0,0.0714716,0.0273431,323,1
100.0,0.0007103,0.0031103,273,6
200.0,0.0013222,0.0042759,273,6
500.0,0.0032938,0.0067814,273,6
1000.0,0.0066277,0.0095837,273,6
2000.0,0.0130837,0.0133157,273,6
5000.0,0.0325791,0.0214338,273,6
10000.0,0.0634788,0.0250435,273,6
20000.0,0.1235143,0.0350061,273,6
50000.0,0.2775783,0.0496187,273,6
100000.0,0.4826893,0.0658701,273,6
100.0,0.0003627,0.0022288,298,6
200.0,0.0006853,0.0030912,298,6
500.0,0.0017874,0.0050041,298,6
1000.0,0.0034765,0.0069564,298,6
2000.0,0.0070389,0.0096652,298,6
5000.0,0.0170808,0.015234,298,6
10000.0,0.0349328,0.022124,298,6
20000.0,0.0681335,0.0268776,298,6
50000.0,0.1643977,0.0405357,298,6
100000.0,0.2951395,0.0515536,298,6
100.0,0.0002177,0.0017224,323,6
200.0,0.000396,0.0023732,323,6
500.0,0.0010259,0.0037919,323,6
1000.0,0.0020944,0.005405,323,6
2000.0,0.0042657,0.0077357,323,6
5000.0,0.0106151,0.0120164,323,6
10000.0,0.0208384,0.0168421,323,6
20000.0,0.0411726,0.023437,323,6
50000.0,0.09753750000000001,0.0322581,323,6
100000.0,0.1894797,0.0430056,323,6
100.0,0.0002009,0.001667,273,2
200.0,0.0003863,0.0023135,273,2
500.0,0.0009498000000000002,0.0035863,273,2
1000.0,0.001912,0.0052104,273,2
2000.0,0.0038587,0.0073082,273,2
5000.0,0.0095601,0.0114364,273,2
10000.0,0.0192419,0.016262,273,2
20000.0,0.0378071,0.0228583,273,2
50000.0,0.0922218,0.0327532,273,2
100000.0,0.1772336,0.0417385,273,2
100.0,0.0001232,0.001315,298,2
200.0,0.0002506,0.0018664,298,2
500.0,0.0005206,0.002677,298,2
1000.0,0.0012447,0.0041862,298,2
2000.0,0.002344,0.0057192,298,2
5000.0,0.0058787,0.0090208,298,2
10000.0,0.0114957,0.0126765,298,2
20000.0,0.0227701,0.0176741,298,2
50000.0,0.0553669,0.0243132,298,2
100000.0,0.1089325,0.0350406,298,2
100.0,7.06e-05,0.0009862,323,2
200.0,0.0001371,0.0013707,323,2
500.0,0.0003683,0.002262,323,2
1000.0,0.0007532,0.0032423,323,2
2000.0,0.001613,0.0047181,323,2
5000.0,0.0036011,0.0069619,323,2
10000.0,0.0076093,0.010228,323,2
20000.0,0.0150345,0.0142782,323,2
50000.0,0.0361485,0.0218044,323,2
100000.0,0.0718814,0.0274561,323,2
100.0,0.0005497,0.0027595,273,8
200.0,0.0011741,0.0040177,273,8
500.0,0.0028604,0.006209,273,8
1000.0,0.0058648,0.0090298,273,8
2000.0,0.0113018,0.0124788,273,8
5000.0,0.0285529,0.0194584,273,8
10000.0,0.0568996,0.0243448,273,8
20000.0,0.1100495,0.032534,273,8
50000.0,0.2505549,0.0474936,273,8
100000.0,0.4420209,0.062001,273,8
100.0,0.0003254,0.0021065,298,8
200.0,0.0006369,0.0029463,298,8
500.0,0.0016171,0.0047873,298,8
1000.0,0.0031401,0.0065814,298,8
2000.0,0.0061916,0.0093741,298,8
5000.0,0.0155426,0.0146102,298,8
10000.0,0.0311226,0.0204939,298,8
20000.0,0.062961,0.0260573,298,8
50000.0,0.1470389,0.038583,298,8
100000.0,0.267991,0.0491604,298,8
100.0,0.0002008,0.0016666,323,8
200.0,0.000378,0.0023231,323,8
500.0,0.0008972,0.0035407,323,8
1000.0,0.0019176,0.0051641,323,8
2000.0,0.0037908,0.007234499999999999,323,8
5000.0,0.0092597,0.0112522,323,8
10000.0,0.0186993,0.0160967,323,8
20000.0,0.0375462,0.0225295,323,8
50000.0,0.08993969999999998,0.0345175,323,8
100000.0,0.1729582,0.0458778,323,8
100.0,0.0001675,0.0015263,273,4
200.0,0.0003351,0.0021633,273,4
500.0,0.0008695,0.0034434,273,4
1000.0,0.0016822,0.0049055,273,4
2000.0,0.0032965,0.00678,273,4
5000.0,0.0081604,0.0106582,273,4
10000.0,0.0166655,0.0152331,273,4
20000.0,0.0328463,0.0210361,273,4
50000.0,0.0805376,0.0293155,273,4
100000.0,0.155984,0.0406131,273,4
100.0,0.0001025,0.0011866,298,4
200.0,0.0002021,0.0016722,298,4
500.0,0.0005289,0.0027391,298,4
1000.0,0.0009996,0.0037353,298,4
2000.0,0.0021225,0.0054684,298,4
5000.0,0.0050867,0.008323499999999998,298,4
10000.0,0.0101361,0.0117573,298,4
20000.0,0.0206252,0.0168428,298,4
50000.0,0.049797,0.0256971,298,4
100000.0,0.0969412,0.0324633,298,4
100.0,7.06e-05,0.0009862,323,4
200.0,0.0001232,0.001315,323,4
500.0,0.0003198,0.0020982,323,4
1000.0,0.0006978,0.0031468,323,4
2000.0,0.0012931,0.004224,323,4
5000.0,0.0033644,0.0068299,323,4
10000.0,0.0066706,0.0095247,323,4
20000.0,0.0133149,0.0134536,323,4
50000.0,0.0327905,0.0210508,323,4
100000.0,0.0644078,0.0286869,323,4
100.0,0.0005884,0.0028406,273,7
200.0,0.0012342,0.0041766,273,7
500.0,0.0030307,0.006476,273,7
1000.0,0.0061362,0.0090744,273,7
2000.0,0.0123707,0.0131534,273,7
5000.0,0.030177,0.0200404,273,7
10000.0,0.0592311,0.0254526,273,7
20000.0,0.1145897,0.0342427,273,7
50000.0,0.2632178,0.0473118,273,7
100000.0,0.4597725,0.0638529,273,7
100.0,0.0003586,0.0022337,298,7
200.0,0.0007217,0.003127,298,7
500.0,0.0016116,0.004761,298,7
1000.0,0.0032924,0.0067324,298,7
2000.0,0.0068257,0.0096257,298,7
5000.0,0.0166073,0.0151572,298,7
10000.0,0.0328076,0.0213404,298,7
20000.0,0.0640381,0.0259738,298,7
50000.0,0.1532981,0.0404824,298,7
100000.0,0.2793043,0.0498124,298,7
100.0,0.0002063,0.0016888,323,7
200.0,0.0003974,0.0023527,323,7
500.0,0.0009913,0.0036859,323,7
1000.0,0.0020394,0.0053408,323,7
2000.0,0.0040013,0.0073768,323,7
5000.0,0.0099312,0.0116331,323,7
10000.0,0.0196671,0.0165696,323,7
20000.0,0.0383249,0.0228018,323,7
50000.0,0.0957935,0.0323746,323,7
100000.0,0.1786777,0.0414301,323,7
100.0,0.0001731,0.0015506,273,3
200.0,0.0003503,0.002183,273,3
500.0,0.0008792,0.003488,273,3
1000.0,0.0018234,0.0049409,273,3
2000.0,0.0035568,0.0069157,273,3
5000.0,0.008988599999999998,0.0111361,273,3
10000.0,0.0178686,0.0155434,273,3
20000.0,0.0353218,0.022062,273,3
50000.0,0.08532099999999998,0.0302926,273,3
100000.0,0.1654084,0.0428984,273,3
100.0,0.0001094,0.0012257,298,3
200.0,0.0001994,0.001661,298,3
500.0,0.0005677,0.0028482,298,3
1000.0,0.0010176,0.0037535,298,3
2000.0,0.0022014,0.0055436,298,3
5000.0,0.0054079,0.0085888,298,3
10000.0,0.0105611,0.0120853,298,3
20000.0,0.0211693,0.0168477,298,3
50000.0,0.0526145,0.0234715,298,3
100000.0,0.1018355,0.0345853,298,3
100.0,6.78e-05,0.0009668,323,3
200.0,0.0001121,0.001241,323,3
500.0,0.0003807,0.0022894,323,3
1000.0,0.0006992,0.0031005,323,3
2000.0,0.0014108,0.0044545,323,3
5000.0,0.0035001,0.0068627,323,3
10000.0,0.0070541,0.0099233,323,3
