Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0001781,0.0022025,273,5
200.0,0.0003152,0.0029222,273,5
500.0,0.0007647,0.0045633,273,5
1000.0,0.0014718,0.0062988,273,5
2000.0,0.0031809,0.0094942,273,5
5000.0,0.007742599999999999,0.0147669,273,5
10000.0,0.0156744,0.0176067,273,5
20000.0,0.0309761,0.0246017,273,5
50000.0,0.0744171,0.0371551,273,5
100000.0,0.145833,0.0512252,273,5
100.0,7.669999999999998e-05,0.0014482,298,5
200.0,0.0001644,0.0021166,298,5
500.0,0.0004002,0.0032874,298,5
1000.0,0.0007893,0.0046811,298,5
2000.0,0.0016033,0.0065823,298,5
5000.0,0.0041111,0.0106538,298,5
10000.0,0.008066099999999998,0.0147464,298,5
20000.0,0.016239,0.0174527,298,5
50000.0,0.0360931,0.027353,298,5
100000.0,0.0733125,0.0361735,298,5
100.0,3.01e-05,0.0009085,323,5
200.0,7.13e-05,0.0013957,323,5
500.0,0.0002439,0.0026031,323,5
1000.0,0.0004495,0.0035025,323,5
2000.0,0.0008359,0.0047447,323,5
5000.0,0.0022036,0.007778,323,5
10000.0,0.0041523,0.0105847,323,5
20000.0,0.008682699999999998,0.0155389,323,5
50000.0,0.0207256,0.0204395,323,5
100000.0,0.0424818,0.0285326,323,5
100.0,0.0003316,0.0030215,273,1
200.0,0.0008633,0.004834,273,1
500.0,0.0020528,0.0075702,273,1
1000.0,0.00407,0.0106871,273,1
2000.0,0.0082223,0.0148508,273,1
5000.0,0.0211066,0.0209502,273,1
10000.0,0.0406646,0.0283499,273,1
20000.0,0.0828367,0.0382782,273,1
50000.0,0.1795388,0.055085,273,1
100000.0,0.3466812,0.0760618,273,1
100.0,0.0002028,0.0023807,298,1
200.0,0.0003426,0.0030451,298,1
500.0,0.0009675,0.0051461,298,1
1000.0,0.0017431,0.006822,298,1
2000.0,0.003583,0.0098536,298,1
5000.0,0.0092583,0.0157228,298,1
10000.0,0.0181082,0.0191073,298,1
20000.0,0.0368769,0.0266599,298,1
50000.0,0.0875891,0.0406579,298,1
100000.0,0.1743999,0.058429,298,1
100.0,0.0001179,0.0018348,323,1
200.0,0.000211,0.0023957,323,1
500.0,0.0003974,0.0032763,323,1
1000.0,0.0009072,0.0049641,323,1
2000.0,0.0018802,0.0072147,323,1
5000.0,0.0047717,0.0114388,323,1
10000.0,0.009691300000000002,0.0162231,323,1
20000.0,0.0187249,0.0191939,323,1
50000.0,0.0462284,0.0291395,323,1
100000.0,0.0932104,0.0427475,323,1
100.0,0.000159,0.002117,273,6
200.0,0.0003042,0.0028715,273,6
500.0,0.000787,0.0045935,273,6
1000.0,0.0017157,0.0068618,273,6
2000.0,0.0032067,0.0092989,273,6
5000.0,0.0082853,0.0152676,273,6
10000.0,0.0161814,0.0177056,273,6
20000.0,0.0315626,0.0257794,273,6
50000.0,0.0806632,0.0406394,273,6
100000.0,0.1501891,0.051655,273,6
100.0,5.76e-05,0.0012547,298,6
200.0,0.000137,0.0019332,298,6
500.0,0.0004276,0.0034621,298,6
1000.0,0.0008331999999999999,0.0047846,298,6
2000.0,0.0015376,0.0064831,298,6
5000.0,0.0039604,0.0104803,298,6
10000.0,0.0082853,0.0151193,298,6
20000.0,0.0157347,0.0206361,298,6
50000.0,0.0374141,0.0268466,298,6
100000.0,0.07641779999999998,0.0388554,298,6
100.0,6.58e-05,0.0013411,323,6
200.0,9.04e-05,0.0015718,323,6
500.0,0.0001672,0.002169,323,6
1000.0,0.0004522,0.0035974,323,6
2000.0,0.0009209000000000002,0.0050142,323,6
5000.0,0.0022365,0.0078837,323,6
10000.0,0.0043386,0.0109644,323,6
20000.0,0.008967799999999998,0.0155558,323,6
50000.0,0.0210956,0.0202225,323,6
100000.0,0.0419418,0.0285736,323,6
100.0,0.0005043,0.0037037,273,2
200.0,0.0011045,0.0054867,273,2
500.0,0.0031519,0.0093417,273,2
1000.0,0.0055336,0.0122979,273,2
2000.0,0.0113358,0.01509,273,2
5000.0,0.0286245,0.0238773,273,2
10000.0,0.0571229,0.0326178,273,2
20000.0,0.1106745,0.0449653,273,2
50000.0,0.2492829,0.0637913,273,2
100000.0,0.4661702,0.08508459999999998,273,2
100.0,0.0002713,0.0027135,298,2
200.0,0.0004824,0.0036453,298,2
500.0,0.0013293,0.0060513,298,2
1000.0,0.002379,0.0081334,298,2
2000.0,0.00498,0.0118103,298,2
5000.0,0.0130213,0.0161828,298,2
10000.0,0.0237542,0.0224889,298,2
20000.0,0.0493391,0.0305045,298,2
50000.0,0.1239151,0.0488245,298,2
100000.0,0.2257956,0.0626449,298,2
100.0,0.0001398,0.0019523,323,2
200.0,0.0002439,0.0026031,323,2
500.0,0.0006139,0.0040927,323,2
1000.0,0.0012196,0.0057307,323,2
2000.0,0.0025379,0.0082871,323,2
5000.0,0.0063558,0.0131134,323,2
10000.0,0.0125499,0.0159006,323,2
20000.0,0.0246175,0.0229249,323,2
50000.0,0.0613277,0.0347217,323,2
100000.0,0.1219199,0.0482427,323,2
100.0,0.0001151,0.0017725,273,8
200.0,0.0003015,0.0028587,273,8
500.0,0.000666,0.0042202,273,8
1000.0,0.0014197,0.0063047,273,8
2000.0,0.0026448,0.008429199999999998,273,8
5000.0,0.0065696,0.0134561,273,8
10000.0,0.0133722,0.0189817,273,8
20000.0,0.0262565,0.0229642,273,8
50000.0,0.0642242,0.0360365,273,8
100000.0,0.1268838,0.0502337,273,8
100.0,7.13e-05,0.0013957,298,8
200.0,0.0001179,0.0017934,298,8
500.0,0.0003864,0.0032314,298,8
1000.0,0.0006687,0.0043166,298,8
2000.0,0.0013704,0.0061469,298,8
5000.0,0.0034671,0.0097402,298,8
10000.0,0.0066272,0.0135476,298,8
20000.0,0.0140491,0.0198481,298,8
50000.0,0.0336072,0.0264882,298,8
100000.0,0.0655397,0.0352535,298,8
100.0,3.56e-05,0.0009876,323,8
200.0,7.399999999999998e-05,0.0014741,323,8
500.0,0.000211,0.0023957,323,8
1000.0,0.0003727,0.003198,323,8
2000.0,0.0007513,0.0045087,323,8
5000.0,0.0019843,0.007403,323,8
10000.0,0.0041331,0.0106594,323,8
20000.0,0.007583699999999999,0.0143134,323,8
50000.0,0.0194609,0.0230603,323,8
100000.0,0.0386639,0.0330648,323,8
100.0,0.0002467,0.0025884,273,4
200.0,0.0004659,0.003543,273,4
500.0,0.0012553,0.005923,273,4
1000.0,0.0025681,0.0084884,273,4
2000.0,0.005128,0.0118992,273,4
5000.0,0.0121142,0.0181105,273,4
10000.0,0.0244448,0.0257575,273,4
20000.0,0.0497943,0.0322569,273,4
50000.0,0.1176059,0.0505231,273,4
100000.0,0.2217078,0.0639952,273,4
100.0,0.0001233,0.0018749,298,4
200.0,0.0002631,0.0026725,298,4
500.0,0.0007263,0.0044699,298,4
1000.0,0.0012148,0.0057333,298,4
2000.0,0.0024174,0.0081682,298,4
5000.0,0.0062544,0.0130618,298,4
10000.0,0.0127966,0.0186191,298,4
20000.0,0.0251054,0.0264727,298,4
50000.0,0.0624739,0.0367026,298,4
100000.0,0.1212402,0.0505048,298,4
100.0,3.84e-05,0.0010248,323,4
200.0,0.0001398,0.0019523,323,4
500.0,0.0003481,0.0030934,323,4
1000.0,0.0007181,0.0043949,323,4
2000.0,0.0014115,0.0061924,323,4
5000.0,0.0034825,0.0099096,323,4
10000.0,0.0067779,0.0134589,323,4
20000.0,0.0136408,0.0192945,323,4
50000.0,0.0346843,0.0307919,323,4
100000.0,0.0673212,0.0426528,323,4
100.0,0.0001562,0.0020633,273,7
200.0,0.0002878,0.0027937,273,7
500.0,0.0007619,0.0046372,273,7
1000.0,0.001554,0.0065713,273,7
2000.0,0.0030148,0.0090611,273,7
5000.0,0.007838599999999998,0.0145235,273,7
10000.0,0.0147179,0.019931,273,7
20000.0,0.031061,0.0249572,273,7
50000.0,0.07312889999999998,0.0373222,273,7
100000.0,0.1436267,0.052653,273,7
100.0,9.04e-05,0.0015718,298,7
200.0,0.0001617,0.002099,298,7
500.0,0.000433,0.0034397,298,7
1000.0,0.0008331999999999999,0.0047214,298,7
2000.0,0.0014882,0.0064248,298,7
5000.0,0.0040481,0.0105398,298,7
10000.0,0.0078769,0.0145957,298,7
20000.0,0.0158443,0.020734,298,7
50000.0,0.0388886,0.0289701,298,7
100000.0,0.0741101,0.03832,298,7
100.0,4.39e-05,0.0010954,323,7
200.0,7.949999999999998e-05,0.0014738,323,7
500.0,0.0001672,0.0021341,323,7
1000.0,0.0004303,0.0034071,323,7
2000.0,0.0008907,0.0049215,323,7
5000.0,0.002083,0.007547,323,7
10000.0,0.0045524,0.0112308,323,7
20000.0,0.0084744,0.0152598,323,7
50000.0,0.0214985,0.0237912,323,7
100000.0,0.0417363,0.030047,323,7
100.0,0.0003152,0.0029222,273,3
200.0,0.000603,0.0040389,273,3
500.0,0.001543,0.0064818,273,3
1000.0,0.0029792,0.0089352,273,3
2000.0,0.0058241,0.012564,273,3
5000.0,0.0150468,0.0201441,273,3
10000.0,0.0298441,0.0249326,273,3
20000.0,0.0586522,0.0346271,273,3
50000.0,0.1423467,0.0518783,273,3
100000.0,0.2775182,0.070089,273,3
100.0,0.0001535,0.0020452,298,3
200.0,0.000296,0.0028329,298,3
500.0,0.0007099,0.0044218,298,3
1000.0,0.0015513,0.0065087,298,3
2000.0,0.002971,0.0089841,298,3
5000.0,0.007353499999999998,0.0140533,298,3
10000.0,0.0146384,0.019916,298,3
20000.0,0.0291946,0.0241847,298,3
50000.0,0.0714899,0.0369768,298,3
100000.0,0.1390825,0.0509315,298,3
100.0,8.22e-05,0.0014989,323,3
200.0,0.0001973,0.0023172,323,3
500.0,0.0004522,0.0035554,323,3
1000.0,0.0008034,0.0047039,323,3
2000.0,0.0016088,0.0066378,323,3
5000.0,0.0039768,0.010431,323,3
10000.0,0.0081291,0.0147907,323,3
20000.0,0.0157183,0.0209197,323,3
50000.0,0.0393107,0.0288969,323,3
100000.0,0.07865429999999998,0.0413666,323,3
