Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0970143,0.0471731,273,5
200.0,0.1939707,0.0643291,273,5
500.0,0.4751556,0.1081496,273,5
1000.0,0.8670678,0.1390772,273,5
2000.0,1.4934344,0.155266,273,5
5000.0,2.3368676,0.1293312,273,5
10000.0,2.7122101,0.0972217,273,5
20000.0,2.9378172,0.0652181,273,5
50000.0,3.0826,0.0536263,273,5
100000.0,3.1586332,0.0465217,273,5
1000000.0,3.490227,0.0930163,273,5
100.0,0.0259713,0.0251658,298,5
200.0,0.0512999,0.0356799,298,5
500.0,0.1254164,0.0548071,298,5
1000.0,0.2450325,0.0724502,298,5
2000.0,0.4830152,0.1011189,298,5
5000.0,1.0605726,0.1429818,298,5
10000.0,1.7098578,0.146264,298,5
20000.0,2.3112788,0.1262193,298,5
50000.0,2.7922799,0.0946532,298,5
100000.0,2.9704935,0.0692811,298,5
1000000.0,3.2970282,0.0549373,298,5
100.0,0.008005699999999998,0.0138395,323,5
200.0,0.0166182,0.0169724,323,5
500.0,0.0411027,0.027775,323,5
1000.0,0.0847312,0.0386823,323,5
2000.0,0.1703849,0.0545014,323,5
5000.0,0.4029433,0.0774828,323,5
10000.0,0.7571120999999998,0.1092881,323,5
20000.0,1.3102117,0.1332227,323,5
50000.0,2.1205732,0.1181476,323,5
100000.0,2.5881775,0.0910399,323,5
1000000.0,3.1437642,0.0449651,323,5
100.0,0.1408758,0.0578261,273,1
200.0,0.2821739,0.0797964,273,1
500.0,0.6583747,0.118565,273,1
1000.0,1.2006105,0.1448983,273,1
2000.0,1.9008562,0.1405791,273,1
5000.0,2.5628933,0.1149125,273,1
10000.0,2.8671608,0.090523,273,1
20000.0,3.0313114,0.0634515,273,1
50000.0,3.1537786,0.0513999,273,1
100000.0,3.2930228,0.0659932,273,1
1000000.0,3.9802618,0.0971269,273,1
100.0,0.0370784,0.0310216,298,1
200.0,0.0766546,0.042728,298,1
500.0,0.181936,0.0656837,298,1
1000.0,0.3689028,0.0959553,298,1
2000.0,0.6857487,0.1192463,298,1
5000.0,1.4466655,0.1534354,298,1
10000.0,2.0476347,0.1486497,298,1
20000.0,2.5685771,0.1112476,298,1
50000.0,2.9106506,0.0804816,298,1
100000.0,3.0588375,0.0673805,298,1
1000000.0,3.5460045,0.0897197,298,1
100.0,0.0120991,0.0171301,323,1
200.0,0.0244821,0.0214658,323,1
500.0,0.0612956,0.0318567,323,1
1000.0,0.1205302,0.046597,323,1
2000.0,0.2381073,0.0616886,323,1
5000.0,0.5459615,0.08658019999999998,323,1
10000.0,0.9818671000000002,0.1127106,323,1
20000.0,1.6374582,0.1261536,323,1
50000.0,2.3963732,0.1109632,323,1
100000.0,2.7572178,0.08529989999999998,323,1
1000000.0,3.2814649,0.0596801,323,1
100.0,0.2463146,0.0671867,273,6
200.0,0.4283843,0.0858154,273,6
500.0,0.7911030999999998,0.1089685,273,6
1000.0,1.1781401,0.110802,273,6
2000.0,1.5816192,0.1101434,273,6
5000.0,2.1284144,0.1118482,273,6
10000.0,2.4965652,0.1012196,273,6
20000.0,2.7748803,0.0915074,273,6
50000.0,3.0172644,0.0621905,273,6
100000.0,3.1601629,0.0661207,273,6
1000000.0,3.8709379,0.1007905,273,6
100.0,0.0627637,0.036734,298,6
200.0,0.1190386,0.0497522,298,6
500.0,0.2833483,0.0749322,298,6
1000.0,0.4862488,0.089479,298,6
2000.0,0.7725552999999998,0.1082669,298,6
5000.0,1.2796111,0.1252873,298,6
