Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.1172365,0.0476146,273,5
200.0,0.1981745,0.0597699,273,5
500.0,0.4433095,0.0841829,273,5
1000.0,0.6623637,0.0776421,273,5
2000.0,0.9591423,0.0938719,273,5
5000.0,1.3186907,0.0784513,273,5
10000.0,1.4557866,0.0599637,273,5
20000.0,1.5339921,0.0389646,273,5
50000.0,1.6054543,0.0274879,273,5
100000.0,1.615162,0.0189893,273,5
1000000.0,1.6348843,0.0110852,273,5
100.0,0.0226688,0.0205897,298,5
200.0,0.0485162,0.0297779,298,5
500.0,0.123348,0.0443013,298,5
1000.0,0.2349638,0.0649255,298,5
2000.0,0.3384755,0.0611687,298,5
5000.0,0.692942,0.1017039,298,5
10000.0,1.0125124,0.08781369999999998,298,5
20000.0,1.2385595,0.0687004,298,5
50000.0,1.4664982,0.0569147,298,5
100000.0,1.5358493,0.0390618,298,5
1000000.0,1.6347323,0.0182846,298,5
100.0,0.0063394,0.01134,323,5
200.0,0.0144467,0.0172488,323,5
500.0,0.0306103,0.0241822,323,5
1000.0,0.0603174,0.0350479,323,5
2000.0,0.1252344,0.0490092,323,5
5000.0,0.3017964,0.0800267,323,5
10000.0,0.4933229,0.0783144,323,5
20000.0,0.7554271,0.0832572,323,5
50000.0,1.1234587,0.07708859999999998,323,5
100000.0,1.3184122,0.07219499999999998,323,5
1000000.0,1.6043144,0.0283256,323,5
100.0,0.1728226,0.0483633,273,1
200.0,0.3142986,0.0712913,273,1
500.0,0.5868845,0.09004149999999998,273,1
1000.0,0.9246743,0.08838459999999998,273,1
2000.0,1.1541371,0.08894549999999998,273,1
5000.0,1.4133755,0.0618377,273,1
10000.0,1.516837,0.0456432,273,1
20000.0,1.5741257,0.0359271,273,1
50000.0,1.6062281,0.0229472,273,1
100000.0,1.6208843,0.016623,273,1
1000000.0,1.6489968,0.0121238,273,1
100.0,0.0372915,0.0270664,298,1
200.0,0.07344009999999998,0.037885,298,1
500.0,0.1809242,0.0530254,298,1
1000.0,0.3118756,0.0704633,298,1
2000.0,0.507809,0.0740301,298,1
5000.0,0.8933928,0.0948387,298,1
10000.0,1.1942737,0.0754711,298,1
20000.0,1.3549483,0.0685597,298,1
50000.0,1.5204513,0.0471699,298,1
100000.0,1.5687424,0.0330715,298,1
1000000.0,1.6275831,0.0142527,298,1
100.0,0.0100716,0.013914,323,1
200.0,0.0219239,0.0201165,323,1
500.0,0.0481641,0.0304418,323,1
1000.0,0.1004942,0.0438608,323,1
2000.0,0.1879426,0.0614154,323,1
5000.0,0.4051712,0.0711837,323,1
10000.0,0.633852,0.08654,323,1
20000.0,0.9262626,0.1079254,323,1
50000.0,1.2796171,0.0751446,323,1
100000.0,1.4334418,0.0601321,323,1
1000000.0,1.6157764,0.0208433,323,1
100.0,0.3081246,0.0677761,273,6
200.0,0.46796,0.0832194,273,6
500.0,0.834952,0.085026,273,6
1000.0,1.0976526,0.084487,273,6
2000.0,1.3491664,0.0582142,273,6
5000.0,1.4937973,0.0417599,273,6
10000.0,1.5712822,0.0339272,273,6
20000.0,1.6002388,0.023125,273,6
50000.0,1.6294642,0.0147667,273,6
100000.0,1.6249887,0.0117993,273,6
1000000.0,1.6589698,0.0148139,273,6
100.0,0.0637626,0.0333137,298,6
200.0,0.1233721,0.0482376,298,6
500.0,0.2697302,0.0634773,298,6
1000.0,0.4760618,0.07812379999999998,298,6
2000.0,0.7006324,0.0970237,298,6
5000.0,1.0999292,0.0873424,298,6
10000.0,1.3310194,0.0684407,298,6
20000.0,1.4528267,0.0578516,298,6
50000.0,1.5655312,0.0405038,298,6
100000.0,1.5996056,0.0243784,298,6
1000000.0,1.6717982,0.0183484,298,6
100.0,0.0142324,0.0162492,323,6
200.0,0.028299,0.0229414,323,6
500.0,0.0713967,0.0356212,323,6
1000.0,0.1456634,0.0520499,323,6
2000.0,0.2686299,0.0596693,323,6
5000.0,0.5511942,0.0856093,323,6
10000.0,0.8017094999999999,0.08319419999999998,323,6
20000.0,1.0713885,0.0843642,323,6
50000.0,1.3710909,0.0671325,323,6
100000.0,1.4790123,0.0446922,323,6
1000000.0,1.6379904,0.0223827,323,6
100.0,0.9046693,0.0830551,273,2
200.0,1.1321447,0.0786339,273,2
500.0,1.3819934,0.0628334,273,2
1000.0,1.5073344,0.0415176,273,2
2000.0,1.5685922,0.0328156,273,2
5000.0,1.6049215,0.0213426,273,2
10000.0,1.6206542,0.0197158,273,2
20000.0,1.6339333,0.0145711,273,2
50000.0,1.6343128,0.010911,273,2
100000.0,1.6541397,0.0187062,273,2
1000000.0,1.7636798,0.0328522,273,2
100.0,0.227832,0.0565163,298,2
200.0,0.4116787,0.0674417,298,2
500.0,0.7788112,0.10577,298,2
1000.0,1.0409183,0.0990586,298,2
2000.0,1.3119549,0.0700406,298,2
5000.0,1.4697359,0.0535093,298,2
10000.0,1.5426275,0.0396892,298,2
20000.0,1.5987776,0.0252811,298,2
50000.0,1.6205167,0.0163534,298,2
100000.0,1.6265193,0.0135513,298,2
1000000.0,1.6745876,0.0206541,298,2
100.0,0.0611236,0.033254,323,2
200.0,0.1099714,0.0442886,323,2
500.0,0.2763643,0.0576125,323,2
1000.0,0.44153,0.0692853,323,2
2000.0,0.7288622,0.0998565,323,2
5000.0,1.1209841,0.08194909999999998,323,2
10000.0,1.3365788,0.0690828,323,2
20000.0,1.4705024,0.0547466,323,2
50000.0,1.5608268,0.036577,323,2
100000.0,1.5998505,0.0278399,323,2
1000000.0,1.6554386,0.0209063,323,2
100.0,0.0225846,0.0209843,273,8
200.0,0.0414701,0.0284166,273,8
500.0,0.107627,0.0435253,273,8
1000.0,0.1981286,0.0566197,273,8
2000.0,0.3639215,0.0647184,273,8
5000.0,0.6442246,0.08625689999999998,273,8
10000.0,0.9587574,0.1059586,273,8
20000.0,1.2274717,0.07647969999999998,273,8
50000.0,1.4353925,0.0569894,273,8
100000.0,1.5323314,0.0417844,273,8
1000000.0,1.62255,0.0167117,273,8
100.0,0.0053088,0.0100903,298,8
200.0,0.0111941,0.0146504,298,8
500.0,0.025725,0.0219417,298,8
1000.0,0.0521719,0.0309121,298,8
2000.0,0.1068055,0.042033,298,8
5000.0,0.262669,0.066367,298,8
10000.0,0.4138212,0.0671527,298,8
20000.0,0.6505822,0.0762988,298,8
50000.0,1.0352583,0.0730689,298,8
100000.0,1.2754923,0.0718709,298,8
1000000.0,1.5914992,0.0299449,298,8
100.0,0.0016786,0.0065771,323,8
200.0,0.0037271,0.009806,323,8
500.0,0.0099364,0.01568,323,8
1000.0,0.0181355,0.0212478,323,8
2000.0,0.0333399,0.0294636,323,8
5000.0,0.08121069999999998,0.0427025,323,8
10000.0,0.1545367,0.0582883,323,8
20000.0,0.3036917,0.09001249999999998,323,8
50000.0,0.5966433,0.0947914,323,8
100000.0,0.8589691,0.09925270000000001,323,8
1000000.0,1.5090966,0.054661,323,8
100.0,0.0172427,0.0188952,273,4
200.0,0.0358068,0.0269334,273,4
500.0,0.0835969,0.0372064,273,4
1000.0,0.1593121,0.0550423,273,4
2000.0,0.3005021,0.0748661,273,4
5000.0,0.5835713,0.075646,273,4
10000.0,0.8899821999999998,0.0841192,273,4
20000.0,1.1609364,0.0751318,273,4
50000.0,1.4083452,0.0604434,273,4
100000.0,1.4949943,0.053599,273,4
1000000.0,1.6263965,0.019256,273,4
100.0,0.0051404,0.0113715,298,4
200.0,0.0096558,0.0139981,298,4
500.0,0.0245107,0.0220702,298,4
1000.0,0.0468631,0.0290843,298,4
2000.0,0.0956395,0.0432349,298,4
5000.0,0.2164988,0.0563132,298,4
10000.0,0.3966365,0.0754769,298,4
20000.0,0.6181553,0.0821828,298,4
50000.0,0.9861215,0.09249230000000001,298,4
100000.0,1.2423746,0.0681949,298,4
1000000.0,1.5844796,0.034191,298,4
100.0,0.0016965,0.0065973,323,4
200.0,0.0033113,0.0091609,323,4
500.0,0.008155799999999998,0.0145767,323,4
1000.0,0.0154493,0.0195394,323,4
2000.0,0.0297812,0.0276385,323,4
5000.0,0.074935,0.0443657,323,4
10000.0,0.1446939,0.0582071,323,4
20000.0,0.2797057,0.0819458,323,4
50000.0,0.547846,0.1039024,323,4
100000.0,0.8385741,0.1091853,323,4
1000000.0,1.4893243,0.0650706,323,4
100.0,0.5072888,0.06757,273,7
200.0,0.7698511999999998,0.0988483,273,7
500.0,1.15706,0.0807229,273,7
1000.0,1.3785959,0.0637584,273,7
2000.0,1.4895439,0.0441183,273,7
5000.0,1.5804573,0.0298735,273,7
10000.0,1.598103,0.023275,273,7
20000.0,1.6126517,0.0212043,273,7
50000.0,1.6253294,0.0121556,273,7
100000.0,1.6295637,0.008807199999999998,273,7
1000000.0,1.6365731,0.0083926,273,7
100.0,0.129879,0.0468429,298,7
200.0,0.2223178,0.0575626,298,7
500.0,0.4769959,0.0956318,298,7
1000.0,0.7267424999999998,0.0903777,298,7
2000.0,1.0522945,0.08946999999999998,298,7
5000.0,1.3403432,0.0575486,298,7
10000.0,1.4609553,0.0647509,298,7
20000.0,1.5431632,0.0403095,298,7
50000.0,1.596456,0.0285206,298,7
100000.0,1.6161645,0.0170286,298,7
1000000.0,1.6330883,0.0103711,298,7
100.0,0.0298909,0.0241095,323,7
200.0,0.0638992,0.0355716,323,7
500.0,0.1513854,0.0519256,323,7
1000.0,0.2680101,0.0723787,323,7
2000.0,0.4638451,0.08274059999999998,323,7
5000.0,0.8195065,0.1096487,323,7
10000.0,1.0795101,0.0732464,323,7
20000.0,1.31078,0.0672358,323,7
50000.0,1.4962115,0.0563784,323,7
100000.0,1.5664187,0.0372391,323,7
1000000.0,1.625356,0.0132203,323,7
100.0,0.5070576,0.0695766,273,3
200.0,0.7744541,0.0942788,273,3
500.0,1.1669548,0.084396,273,3
1000.0,1.3944561,0.0677601,273,3
2000.0,1.4875744,0.0535137,273,3
5000.0,1.566804,0.0352231,273,3
10000.0,1.5988385,0.0257623,273,3
20000.0,1.6167475,0.0174513,273,3
50000.0,1.6288153,0.0089333,273,3
100000.0,1.6314582,0.007904299999999998,273,3
1000000.0,1.6353384,0.0073654,273,3
100.0,0.1224819,0.0475092,298,3
200.0,0.231204,0.0660289,298,3
500.0,0.4851062,0.08047079999999998,298,3
1000.0,0.7851042,0.1289667,298,3
2000.0,1.0510163,0.07250919999999998,298,3
5000.0,1.3420547,0.0624876,298,3
10000.0,1.4860302,0.0515291,298,3
20000.0,1.5573851,0.034516,298,3
50000.0,1.5980603,0.0266246,298,3
100000.0,1.6176524,0.0174848,298,3
1000000.0,1.6333434,0.0095055,298,3
100.0,0.0311128,0.0261362,323,3
200.0,0.0646746,0.0349204,323,3
500.0,0.148995,0.0522186,323,3
1000.0,0.2748596,0.0641914,323,3
2000.0,0.4769929,0.0688921,323,3
5000.0,0.8501174999999999,0.0948416,323,3
10000.0,1.1222675,0.0870272,323,3
20000.0,1.3409129,0.0626405,323,3
50000.0,1.4977389,0.0437864,323,3
100000.0,1.5735721,0.0317292,323,3
1000000.0,1.6267693,0.0125384,323,3
