Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0003878,0.0031212,273,5
200.0,0.0007169,0.0042924,273,5
500.0,0.0019567,0.0070613,273,5
1000.0,0.0037501,0.0096938,273,5
2000.0,0.0071226,0.0133059,273,5
5000.0,0.0175667,0.0180436,273,5
10000.0,0.037368,0.0265349,273,5
20000.0,0.07287119999999998,0.0352037,273,5
50000.0,0.1670745,0.0533437,273,5
100000.0,0.2981636,0.0650689,273,5
100.0,0.0001888,0.0021864,298,5
200.0,0.0002781,0.0026488,298,5
500.0,0.000773,0.004432,298,5
1000.0,0.0014031,0.0059487,298,5
2000.0,0.0032271,0.0090373,298,5
5000.0,0.007829199999999998,0.0143793,298,5
10000.0,0.014962,0.0172129,298,5
20000.0,0.0307072,0.0244926,298,5
50000.0,0.07275389999999998,0.0357894,298,5
100000.0,0.136611,0.0450834,298,5
100.0,8.16e-05,0.0014408,323,5
200.0,0.0001505,0.0019537,323,5
500.0,0.0003522,0.0030202,323,5
1000.0,0.0007785,0.0044174,323,5
2000.0,0.0014924,0.0061054,323,5
5000.0,0.0036294,0.0096685,323,5
10000.0,0.0069057,0.0132514,323,5
20000.0,0.0142681,0.0166999,323,5
50000.0,0.0346562,0.0258119,323,5
100000.0,0.0729886,0.0379281,323,5
100.0,0.000352,0.0029761,273,1
200.0,0.0006454,0.0040384,273,1
500.0,0.0015204,0.0062305,273,1
1000.0,0.002949,0.0085389,273,1
2000.0,0.0064517,0.0127844,273,1
5000.0,0.0160182,0.0179228,273,1
10000.0,0.0320924,0.0241165,273,1
20000.0,0.0628251,0.033438,273,1
50000.0,0.1404209,0.0490309,273,1
100000.0,0.2591822,0.0586247,273,1
100.0,0.0001301,0.0018172,298,1
200.0,0.0002806,0.0026852,298,1
500.0,0.0007295999999999998,0.0042978,298,1
1000.0,0.0014771,0.0061622,298,1
2000.0,0.0027296,0.008217099999999998,298,1
5000.0,0.0070256,0.0133671,298,1
10000.0,0.0136788,0.0161664,298,1
20000.0,0.0268908,0.0222794,298,1
50000.0,0.0655599,0.0343003,298,1
100000.0,0.130533,0.0499524,298,1
