Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0193048,0.0395534,273,5
200.0,0.0404326,0.0576947,273,5
500.0,0.1014147,0.0780813,273,5
1000.0,0.1945019,0.1113777,273,5
2000.0,0.3927619,0.1495206,273,5
5000.0,0.9539594,0.2333916,273,5
10000.0,1.6553584,0.2907741,273,5
20000.0,2.7882372,0.3360882,273,5
50000.0,4.429097,0.3179379,273,5
100000.0,5.5461526,0.3001329,273,5
1000000.0,7.3927743,0.1334843,273,5
100.0,0.0071791,0.0237686,298,5
200.0,0.0143582,0.0339588,298,5
500.0,0.0363853,0.053809,298,5
1000.0,0.0699439,0.0748051,298,5
2000.0,0.1460471,0.0945934,298,5
5000.0,0.3483704,0.1430705,298,5
10000.0,0.6682591,0.1974083,298,5
20000.0,1.2400875,0.2434487,298,5
50000.0,2.455843,0.3073636,298,5
100000.0,3.6070394,0.3114541,298,5
1000000.0,6.7736814,0.1966984,298,5
100.0,0.0033005,0.0116123,323,5
200.0,0.0058782,0.0155178,323,5
500.0,0.0150849,0.0246776,323,5
1000.0,0.0297001,0.0345943,323,5
2000.0,0.0606689,0.0483401,323,5
5000.0,0.1489259,0.0670959,323,5
10000.0,0.2856257,0.0907073,323,5
20000.0,0.5612809,0.1271676,323,5
50000.0,1.2312013,0.1792538,323,5
100000.0,2.1420239,0.2122052,323,5
1000000.0,5.6433141,0.1860213,323,5
100.0,0.07683389999999998,0.078374,273,1
200.0,0.1540613,0.09931980000000001,273,1
500.0,0.3692171,0.1442738,273,1
1000.0,0.7157968,0.2035389,273,1
2000.0,1.3775914,0.2688822,273,1
5000.0,2.9546421,0.3352818,273,1
10000.0,4.2770149,0.3223916,273,1
20000.0,5.5242986,0.3097501,273,1
50000.0,6.6509904,0.2185972,273,1
100000.0,7.1701773,0.1683067,273,1
1000000.0,7.7446608,0.0963308,273,1
100.0,0.0232076,0.0436954,298,1
200.0,0.0477803,0.0625629,298,1
500.0,0.1184951,0.083912,298,1
1000.0,0.2272976,0.1130771,298,1
2000.0,0.4574942,0.167599,298,1
