Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.000242,0.0056996,273,5
200.0,0.0004168,0.007474899999999999,273,5
500.0,0.0008875,0.0108877,273,5
1000.0,0.0020304,0.0166168,273,5
2000.0,0.0043431,0.0242989,273,5
5000.0,0.0104074,0.0382708,273,5
10000.0,0.0204383,0.0527832,273,5
20000.0,0.0411454,0.07420609999999998,273,5
50000.0,0.1039393,0.1168716,273,5
100000.0,0.2016799,0.1644402,273,5
100.0,0.0002689,0.0060073,298,5
200.0,0.0002824,0.0061554,298,5
500.0,0.0006589,0.0093893,298,5
1000.0,0.0016942,0.014998,298,5
2000.0,0.0030254,0.0202113,298,5
5000.0,0.0075433,0.0316352,298,5
10000.0,0.0145354,0.0442326,298,5
20000.0,0.030375,0.0645515,298,5
50000.0,0.0744921,0.0987253,298,5
100000.0,0.1478143,0.1414373,298,5
100.0,0.0001311,0.0014786,323,5
200.0,0.000274,0.0021415,323,5
500.0,0.00059,0.0031654,323,5
1000.0,0.0012102,0.0044917,323,5
2000.0,0.0024422,0.0063911,323,5
5000.0,0.0058642,0.0099119,323,5
10000.0,0.0119839,0.0142106,323,5
20000.0,0.0235477,0.0197875,323,5
50000.0,0.0592255,0.0311767,323,5
100000.0,0.1176141,0.0400328,323,5
100.0,0.0003496,0.0068473,273,1
200.0,0.0004706,0.007941,273,1
500.0,0.0013446,0.0133788,273,1
1000.0,0.0026355,0.0186393,273,1
2000.0,0.0059567,0.028185,273,1
5000.0,0.0144816,0.0441275,273,1
10000.0,0.0286951,0.0620112,273,1
20000.0,0.0570254,0.087992,273,1
50000.0,0.1385633,0.1356116,273,1
100000.0,0.2800982,0.1924733,273,1
100.0,0.0003093,0.0064412,298,1
200.0,0.0003765,0.0071051,298,1
500.0,0.0008744,0.0108081,298,1
1000.0,0.0018556,0.0158012,298,1
2000.0,0.0040339,0.0231728,298,1
5000.0,0.0106091,0.0377632,298,1
10000.0,0.0204651,0.0520484,298,1
20000.0,0.0389537,0.0721567,298,1
50000.0,0.1022883,0.117621,298,1
100000.0,0.1995206,0.1642179,298,1
100.0,0.0001479,0.0015698,323,1
200.0,0.0003009,0.0022412,323,1
500.0,0.0007782,0.003611,323,1
1000.0,0.0015783,0.005128,323,1
2000.0,0.002854,0.0069538,323,1
5000.0,0.007587,0.0113802,323,1
10000.0,0.0154894,0.016416,323,1
20000.0,0.0301144,0.0221767,323,1
50000.0,0.075993,0.0307375,323,1
100000.0,0.1501332,0.0443208,323,1
100.0,0.0001748,0.004845,273,6
200.0,0.0004303,0.007594199999999998,273,6
500.0,0.000995,0.0116798,273,6
1000.0,0.0020573,0.0166135,273,6
2000.0,0.0033481,0.0210381,273,6
5000.0,0.010246,0.0375517,273,6
10000.0,0.0208416,0.0526252,273,6
20000.0,0.0418312,0.0739563,273,6
50000.0,0.1034687,0.1182174,273,6
100000.0,0.2022311,0.1656007,273,6
100.0,0.0001614,0.0046563,298,6
200.0,0.0002824,0.0061554,298,6
500.0,0.000753,0.010034,298,6
1000.0,0.0015194,0.0143392,298,6
2000.0,0.003012,0.020347,298,6
5000.0,0.0075971,0.032189,298,6
10000.0,0.0156648,0.0457029,298,6
20000.0,0.0299447,0.0632837,298,6
