Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,4.12e-05,0.0010288,273,5
200.0,6.44e-05,0.0012854,273,5
500.0,0.0002008,0.0022645,273,5
1000.0,0.0003166,0.0028604,273,5
2000.0,0.0006306,0.004029,273,5
5000.0,0.0017092,0.0067316,273,5
10000.0,0.0030657,0.008809,273,5
20000.0,0.0064249,0.0108508,273,5
50000.0,0.0161934,0.0176592,273,5
100000.0,0.0306159,0.023589,273,5
100.0,1.54e-05,0.0006303,298,5
200.0,5.15e-05,0.00115,298,5
500.0,4.89e-05,0.0011209,298,5
1000.0,0.0001544,0.0019879,298,5
2000.0,0.0002806,0.0026974,298,5
5000.0,0.000834,0.004644,298,5
10000.0,0.001632,0.0064701,298,5
20000.0,0.0031815,0.0090101,298,5
50000.0,0.007699,0.0122123,298,5
100000.0,0.0157635,0.0170997,298,5
100.0,1.16e-05,0.0004727,323,5
200.0,1.54e-05,0.0005458,323,5
500.0,6.18e-05,0.0010903,323,5
1000.0,0.0001004,0.0013885,323,5
2000.0,0.0001409,0.0016434,323,5
5000.0,0.0004363,0.0028822,323,5
10000.0,0.0009595,0.0043181,323,5
20000.0,0.0018871,0.006025,323,5
50000.0,0.0044827,0.0093004,323,5
100000.0,0.0090774,0.0114459,323,5
100.0,0.0001467,0.0019717,273,1
200.0,0.0003398,0.0029826,273,1
500.0,0.000991,0.0050584,273,1
1000.0,0.0018919,0.0069689,273,1
2000.0,0.0036732,0.0097793,273,1
5000.0,0.0092151,0.0134083,273,1
10000.0,0.0182552,0.0189557,273,1
20000.0,0.0361552,0.0257847,273,1
50000.0,0.08960559999999998,0.0393093,273,1
100000.0,0.1590922,0.0507976,273,1
100.0,7.72e-05,0.0014078,298,1
200.0,0.0001982,0.00225,298,1
500.0,0.0004556,0.0034136,298,1
1000.0,0.0008803,0.0047345,298,1
2000.0,0.0019305,0.0070763,298,1
5000.0,0.0040098,0.010326,298,1
10000.0,0.008208699999999998,0.0124955,298,1
20000.0,0.0161316,0.0179705,298,1
50000.0,0.0409276,0.027516,298,1
100000.0,0.08116729999999998,0.0394563,298,1
100.0,4.05e-05,0.0008838,323,1
200.0,9.27e-05,0.0013343,323,1
500.0,0.0001853,0.0018824,323,1
1000.0,0.0004691,0.0030224,323,1
2000.0,0.0009556,0.0043276,323,1
5000.0,0.0021719,0.0065024,323,1
10000.0,0.0045156,0.0093903,323,1
20000.0,0.0086431,0.0110365,323,1
50000.0,0.0209773,0.017195,323,1
100000.0,0.0427153,0.024258,323,1
100.0,4.12e-05,0.0010288,273,6
200.0,5.66e-05,0.001206,273,6
500.0,0.0002008,0.0022645,273,6
1000.0,0.0003552,0.0030029,273,6
2000.0,0.0007671,0.0044667,273,6
5000.0,0.0019022,0.0070135,273,6
10000.0,0.0037916,0.0097408,273,6
20000.0,0.007557399999999998,0.0119853,273,6
50000.0,0.0189605,0.018654,273,6
100000.0,0.0372956,0.0266994,273,6
100.0,1.29e-05,0.0005754,298,6
200.0,4.12e-05,0.0010288,298,6
500.0,8.75e-05,0.0014984,298,6
1000.0,0.0001596,0.0020531,298,6
2000.0,0.0003475,0.0030367,298,6
5000.0,0.0010013,0.0050432,298,6
10000.0,0.0017375,0.0067194,298,6
20000.0,0.0036912,0.0096118,298,6
50000.0,0.0090375,0.0131297,298,6
100000.0,0.0185023,0.0189266,298,6
100.0,1.29e-05,0.0005754,323,6
200.0,2.32e-05,0.0007718999999999998,323,6
500.0,6.44e-05,0.0012854,323,6
1000.0,9.52e-05,0.0015628,323,6
2000.0,0.0002188,0.0023909,323,6
5000.0,0.0005357,0.0037282,323,6
10000.0,0.0011068,0.0052973,323,6
20000.0,0.0021056,0.0073669,323,6
50000.0,0.0053386,0.0116995,323,6
100000.0,0.010165,0.0138953,323,6
