Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.019916,0.0269459,273,5
200.0,0.0399131,0.038519,273,5
500.0,0.0997421,0.0520457,273,5
1000.0,0.186352,0.0678114,273,5
2000.0,0.3537318,0.0899752,273,5
5000.0,0.7396157,0.1193732,273,5
10000.0,1.172658,0.1312608,273,5
20000.0,1.7575092,0.1459703,273,5
50000.0,2.5756775,0.1419827,273,5
100000.0,3.2382651,0.1876528,273,5
1000000.0,5.0564169,0.0893853,273,5
100.0,0.007248199999999998,0.0165761,298,5
200.0,0.0147103,0.0232296,298,5
500.0,0.0360051,0.0365392,298,5
1000.0,0.0691972,0.043338,298,5
2000.0,0.1368848,0.0580476,298,5
5000.0,0.3088231,0.0834014,298,5
10000.0,0.5622118,0.1084188,298,5
20000.0,0.9180211,0.1276826,298,5
50000.0,1.5846767,0.1349899,298,5
100000.0,2.0962585,0.1496464,298,5
1000000.0,4.198232,0.1188962,298,5
100.0,0.0030499,0.0091763,323,5
200.0,0.0060721,0.0129981,323,5
500.0,0.0155343,0.0205768,323,5
1000.0,0.0305929,0.0288217,323,5
2000.0,0.0602789,0.0356396,323,5
5000.0,0.1454324,0.0542211,323,5
10000.0,0.2816348,0.0684791,323,5
20000.0,0.4884735,0.0883252,323,5
50000.0,0.9365004,0.109731,323,5
100000.0,1.3791752,0.1250777,323,5
1000000.0,3.2010776,0.1345398,323,5
100.0,0.040691,0.0325356,273,1
200.0,0.0800579,0.0481544,273,1
500.0,0.1936518,0.0693608,273,1
1000.0,0.3838862,0.0951219,273,1
2000.0,0.652811,0.1202646,273,1
5000.0,1.3533879,0.1480241,273,1
10000.0,2.0457065,0.1728946,273,1
20000.0,2.9387901,0.1698889,273,1
50000.0,3.9299329,0.1854877,273,1
100000.0,4.4949171,0.1389619,273,1
1000000.0,5.2162942,0.0501638,273,1
100.0,0.0134273,0.0221869,298,1
200.0,0.0281781,0.0320887,298,1
500.0,0.0677962,0.0429569,298,1
1000.0,0.1304198,0.0577586,298,1
2000.0,0.2580193,0.08096939999999998,298,1
5000.0,0.5692824,0.1134611,298,1
10000.0,0.9773399,0.1384923,298,1
20000.0,1.5409892,0.148911,298,1
50000.0,2.3940453,0.1456636,298,1
100000.0,3.0647245,0.1616766,298,1
1000000.0,4.9361351,0.0865909,298,1
100.0,0.0055081,0.012425,323,1
200.0,0.0111405,0.0174523,323,1
500.0,0.0281154,0.0276801,323,1
1000.0,0.0546602,0.0327585,323,1
2000.0,0.1091794,0.0473546,323,1
5000.0,0.2548443,0.0708547,323,1
10000.0,0.4802802,0.0897251,323,1
20000.0,0.8042194999999999,0.1135388,323,1
50000.0,1.4648471,0.1253382,323,1
100000.0,2.0447673,0.1272033,323,1
1000000.0,4.148818,0.1444465,323,1
100.0,0.0146881,0.0234821,273,6
200.0,0.0285578,0.0320685,273,6
500.0,0.0697244,0.0435534,273,6
1000.0,0.138704,0.0604907,273,6
2000.0,0.2724715,0.08260209999999998,273,6
5000.0,0.5991764,0.1192645,273,6
10000.0,0.9891057,0.1461741,273,6
20000.0,1.5355947,0.1371731,273,6
50000.0,2.3862308,0.1490434,273,6
100000.0,2.8953673,0.1293961,273,6
1000000.0,4.7082203,0.1100923,273,6
100.0,0.0056629,0.0144589,298,6
200.0,0.0112466,0.0200731,298,6
500.0,0.0277873,0.0320143,298,6
1000.0,0.0538675,0.0444113,298,6
2000.0,0.1047377,0.0544089,298,6
5000.0,0.2518962,0.0820044,298,6
10000.0,0.4709419,0.1009179,298,6
20000.0,0.7957391999999999,0.1244486,298,6
50000.0,1.4600686,0.1479962,298,6
100000.0,1.990076,0.1351135,298,6
1000000.0,3.6188298,0.1477039,298,6
100.0,0.0024001,0.0094616,323,6
200.0,0.0048186,0.0133753,323,6
500.0,0.0121922,0.0212282,323,6
1000.0,0.0245994,0.0304168,323,6
2000.0,0.0492922,0.0422073,323,6
5000.0,0.1183235,0.0583788,323,6
10000.0,0.2230659,0.0776204,323,6
20000.0,0.4148411,0.0986945,323,6
50000.0,0.8379545,0.1238796,323,6
100000.0,1.3024261,0.1403524,323,6
1000000.0,2.9254387,0.1282933,323,6
100.0,0.0316989,0.0346703,273,2
200.0,0.0641942,0.0416185,273,2
500.0,0.1569757,0.0638185,273,2
1000.0,0.3024783,0.08859839999999998,273,2
2000.0,0.5783931,0.1168489,273,2
5000.0,1.1861827,0.1560043,273,2
10000.0,1.8798031,0.1597462,273,2
20000.0,2.5433912,0.1510195,273,2
50000.0,3.3784497,0.1431592,273,2
100000.0,4.0804941,0.1300049,273,2
1000000.0,5.041189,0.1239,273,2
100.0,0.0111636,0.0202374,298,2
200.0,0.0222903,0.0283393,298,2
500.0,0.0563487,0.0455671,298,2
1000.0,0.1081775,0.0540534,298,2
2000.0,0.2191533,0.0741806,298,2
5000.0,0.5096609,0.1056083,298,2
10000.0,0.8541016,0.1375529,298,2
20000.0,1.4120258,0.1582138,298,2
50000.0,2.2631235,0.1375168,298,2
100000.0,2.8488762,0.1462961,298,2
1000000.0,4.4778893,0.153035,298,2
100.0,0.0048592,0.0132943,323,2
200.0,0.0090363,0.018257,323,2
500.0,0.023824,0.0295455,323,2
1000.0,0.0473619,0.0414456,323,2
2000.0,0.0909381,0.0500545,323,2
5000.0,0.2250263,0.0780632,323,2
10000.0,0.4296942,0.1037869,323,2
20000.0,0.7393395,0.1218508,323,2
