Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0008292,0.0051522,273,5
200.0,0.0016956,0.007373399999999999,273,5
500.0,0.0041441,0.0114775,273,5
1000.0,0.0087532,0.0166655,273,5
2000.0,0.0182245,0.0237785,273,5
5000.0,0.0424816,0.0364428,273,5
10000.0,0.08387809999999998,0.0447778,273,5
20000.0,0.1624575,0.0592641,273,5
50000.0,0.3867793,0.0865852,273,5
100000.0,0.6665834,0.1092297,273,5
100.0,0.0003954,0.003543,298,5
200.0,0.0007814,0.0049303,298,5
500.0,0.0021764,0.0083257,298,5
1000.0,0.0042928,0.0115751,298,5
2000.0,0.0088006,0.0168169,298,5
5000.0,0.0216758,0.0260459,298,5
10000.0,0.0420419,0.0362009,298,5
20000.0,0.0862127,0.0457865,298,5
50000.0,0.2074027,0.0707091,298,5
100000.0,0.3808632,0.0935631,298,5
100.0,0.0002214,0.0026374,323,5
200.0,0.0004903,0.0039587,323,5
500.0,0.0012021,0.0061305,323,5
1000.0,0.0023757,0.008701399999999998,323,5
2000.0,0.0049697,0.0125512,323,5
5000.0,0.0120305,0.0194202,323,5
10000.0,0.0239053,0.0275874,323,5
20000.0,0.046246,0.0375175,323,5
50000.0,0.1156357,0.054357,323,5
100000.0,0.2231558,0.07264619999999998,323,5
100.0,0.0024074,0.0087615,273,1
200.0,0.0046819,0.0120416,273,1
500.0,0.0119609,0.0194065,273,1
1000.0,0.0233081,0.0268486,273,1
2000.0,0.0471666,0.0383951,273,1
5000.0,0.1187636,0.052612,273,1
10000.0,0.2187917,0.0693336,273,1
20000.0,0.4154869,0.09372680000000001,273,1
50000.0,0.8480436999999998,0.126052,273,1
100000.0,1.3902728,0.1439382,273,1
100.0,0.0010471,0.0057644,298,1
200.0,0.0021163,0.0081285,298,1
500.0,0.0053715,0.0130035,298,1
1000.0,0.0110941,0.0185784,298,1
2000.0,0.0217453,0.0256429,298,1
5000.0,0.0542811,0.0410537,298,1
10000.0,0.1053387,0.0506771,298,1
20000.0,0.204531,0.0693041,298,1
50000.0,0.4676512,0.0949101,298,1
100000.0,0.7883904,0.121027,298,1
100.0,0.0005947,0.0043658,323,1
200.0,0.0012496,0.0062903,323,1
500.0,0.0025655,0.0090101,323,1
1000.0,0.0057796,0.0137061,323,1
2000.0,0.0113472,0.0187907,323,1
5000.0,0.0277052,0.0296582,323,1
10000.0,0.0559229,0.0415756,323,1
20000.0,0.1097865,0.0520715,323,1
50000.0,0.2663949,0.07550239999999998,323,1
100000.0,0.4909509,0.0977077,323,1
100.0,0.0008256999999999998,0.0051998,273,6
200.0,0.001743,0.0073691,273,6
500.0,0.0041852,0.011432,273,6
1000.0,0.0083894,0.0162067,273,6
2000.0,0.016861,0.0231105,273,6
5000.0,0.0405709,0.036056,273,6
10000.0,0.0801516,0.0442315,273,6
20000.0,0.1593036,0.0617003,273,6
50000.0,0.3604971,0.0896903,273,6
100000.0,0.6421127,0.1059435,273,6
100.0,0.0004555,0.0037951,298,6
200.0,0.0008256999999999998,0.0050831,298,6
500.0,0.0020784,0.008125999999999998,298,6
1000.0,0.0042643,0.0115119,298,6
2000.0,0.008439999999999998,0.0164929,298,6
5000.0,0.020945,0.0257605,298,6
10000.0,0.0420059,0.0367547,298,6
20000.0,0.0832422,0.0446349,298,6
50000.0,0.1978435,0.0692284,298,6
100000.0,0.3625363,0.0892864,298,6
100.0,0.0002564,0.0028713,323,6
200.0,0.0004429,0.0037435,323,6
500.0,0.0011958,0.0062289,323,6
1000.0,0.0024485,0.0088128,323,6
2000.0,0.0045996,0.0122624,323,6
5000.0,0.0118276,0.0193245,323,6
10000.0,0.0238996,0.027369,323,6
20000.0,0.0466256,0.0381047,323,6
50000.0,0.1128013,0.0532618,323,6
100000.0,0.2182397,0.07257439999999998,323,6
100.0,0.0021669,0.0082254,273,2
200.0,0.0045743,0.0119831,273,2
500.0,0.0113345,0.0189309,273,2
1000.0,0.0224033,0.0262822,273,2
2000.0,0.044794,0.0370801,273,2
5000.0,0.1090399,0.0526672,273,2
10000.0,0.2168905,0.0701707,273,2
20000.0,0.3908248,0.0916903,273,2
50000.0,0.8260455,0.1263131,273,2
100000.0,1.325456,0.135187,273,2
100.0,0.0010851,0.0058778,298,2
200.0,0.0019866,0.0078677,298,2
500.0,0.00515,0.012799,298,2
1000.0,0.0103507,0.0180104,298,2
2000.0,0.0214954,0.025812,298,2
5000.0,0.0516681,0.0402144,298,2
10000.0,0.1044625,0.0497802,298,2
20000.0,0.2025096,0.0685222,298,2
50000.0,0.4542476,0.0940834,298,2
100000.0,0.7835499,0.1165514,298,2
100.0,0.0005378,0.0041138,323,2
200.0,0.0011167,0.0059732,323,2
500.0,0.0028755,0.0096179,323,2
1000.0,0.0057353,0.0131892,323,2
2000.0,0.0110783,0.0186336,323,2
5000.0,0.0283094,0.0302872,323,2
10000.0,0.0551542,0.0411039,323,2
20000.0,0.1109601,0.0524388,323,2
50000.0,0.2600902,0.0752878,323,2
100000.0,0.4782017,0.099929,323,2
100.0,0.0006991,0.0047146,273,8
200.0,0.0014678,0.0067735,273,8
500.0,0.0035321,0.0104725,273,8
1000.0,0.0070544,0.0148469,273,8
2000.0,0.0139703,0.0212796,273,8
5000.0,0.0345192,0.0332126,273,8
10000.0,0.0685919,0.0399529,273,8
20000.0,0.1360334,0.0592035,273,8
50000.0,0.3131945,0.0834038,273,8
100000.0,0.5560401,0.1052341,273,8
100.0,0.0003828,0.0034586,298,8
200.0,0.0007881,0.005011,298,8
500.0,0.0017462,0.0073751,298,8
1000.0,0.0036759,0.0107229,298,8
2000.0,0.007105,0.0151301,298,8
5000.0,0.0182814,0.0241361,298,8
10000.0,0.0360377,0.0336696,298,8
20000.0,0.0712276,0.0467555,298,8
50000.0,0.1733365,0.0655384,298,8
100000.0,0.3298467,0.08369179999999998,298,8
100.0,0.0001677,0.0022969,323,8
200.0,0.0004872,0.0039464,323,8
500.0,0.0010281,0.005698,323,8
1000.0,0.0020689,0.0080852,323,8
2000.0,0.0039922,0.0113563,323,8
5000.0,0.0103887,0.0179495,323,8
10000.0,0.0211285,0.0256415,323,8
20000.0,0.041213,0.0355024,323,8
50000.0,0.0996509,0.0550996,323,8
100000.0,0.194174,0.07771999999999998,323,8
100.0,0.0019645,0.007803,273,4
200.0,0.0038119,0.0109392,273,4
500.0,0.0100881,0.0177096,273,4
1000.0,0.0196512,0.0247902,273,4
2000.0,0.0387487,0.0350515,273,4
5000.0,0.0944661,0.046933,273,4
10000.0,0.1827779,0.0660677,273,4
20000.0,0.3437574,0.0862794,273,4
50000.0,0.7311877,0.1128783,273,4
100000.0,1.2100355,0.1388896,273,4
100.0,0.0009933,0.0056601,298,4
200.0,0.0017399,0.0074441,298,4
500.0,0.00484,0.012341,298,4
1000.0,0.0094871,0.0172097,298,4
2000.0,0.0183573,0.0241862,298,4
5000.0,0.0464801,0.0381983,298,4
10000.0,0.092296,0.0468604,298,4
20000.0,0.1794039,0.0639402,298,4
50000.0,0.4108272,0.0953431,298,4
100000.0,0.7115101,0.1208974,298,4
100.0,0.0004492,0.0037959,323,4
200.0,0.0010096,0.0056499,323,4
500.0,0.0024928,0.0088231,323,4
1000.0,0.0051532,0.0128485,323,4
2000.0,0.0102305,0.017979,323,4
5000.0,0.0251239,0.0283271,323,4
10000.0,0.0490805,0.0386138,323,4
20000.0,0.0979015,0.0550291,323,4
50000.0,0.2323311,0.0824116,323,4
100000.0,0.4395605,0.1090096,323,4
100.0,0.0015501,0.0069882,273,7
