Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0129138,0.0192368,273,5
200.0,0.0270687,0.0273378,273,5
500.0,0.0613443,0.0428675,273,5
1000.0,0.1247803,0.0614549,273,5
2000.0,0.2431092,0.07947,273,5
5000.0,0.5217141,0.101572,273,5
10000.0,0.9362247,0.1371164,273,5
20000.0,1.287313,0.116236,273,5
50000.0,1.7316803,0.0989567,273,5
100000.0,1.886431,0.08177429999999998,273,5
1000000.0,2.1237954,0.042268,273,5
100.0,0.0040404,0.0122985,298,5
200.0,0.007651599999999998,0.0171929,298,5
500.0,0.0203837,0.025169,298,5
1000.0,0.0392794,0.0334258,298,5
2000.0,0.07557949999999998,0.0456024,298,5
5000.0,0.1865653,0.0671496,298,5
10000.0,0.3496771,0.1021095,298,5
20000.0,0.6214234,0.1067063,298,5
50000.0,1.0334185,0.1228287,298,5
100000.0,1.4392117,0.1124877,298,5
1000000.0,2.0413999,0.0547169,298,5
100.0,0.001593,0.0077427,323,5
200.0,0.002865,0.0104614,323,5
500.0,0.007349999999999998,0.0166822,323,5
1000.0,0.014731,0.0202032,323,5
2000.0,0.029404,0.0280478,323,5
5000.0,0.0673681,0.0434471,323,5
10000.0,0.1353781,0.0612317,323,5
20000.0,0.2540224,0.08300989999999998,323,5
50000.0,0.5488195,0.1020702,323,5
100000.0,0.8708641999999999,0.1178683,323,5
1000000.0,1.8713919,0.078935,323,5
100.0,0.0260131,0.0271092,273,1
200.0,0.0554596,0.0394573,273,1
500.0,0.1346164,0.0630819,273,1
1000.0,0.2691354,0.08316189999999998,273,1
2000.0,0.4622658,0.1070649,273,1
5000.0,0.9006638999999999,0.1316216,273,1
10000.0,1.3098845,0.1258326,273,1
20000.0,1.6683911,0.0932601,273,1
50000.0,1.9367953,0.0762546,273,1
100000.0,2.0121158,0.0514282,273,1
1000000.0,2.3335288,0.065418,273,1
100.0,0.007988,0.0176638,298,1
200.0,0.016034,0.0218742,298,1
500.0,0.0381846,0.0342547,298,1
1000.0,0.07539479999999998,0.0461389,298,1
2000.0,0.1540683,0.0667762,298,1
5000.0,0.3411139,0.0909657,298,1
10000.0,0.6192505,0.1137263,298,1
20000.0,0.9302757,0.1321554,298,1
50000.0,1.4726019,0.1103542,298,1
100000.0,1.7451326,0.0983995,298,1
1000000.0,2.1181899,0.0478868,298,1
100.0,0.0026678,0.0100852,323,1
200.0,0.0053395,0.0144785,323,1
500.0,0.0134899,0.0225106,323,1
1000.0,0.0266434,0.0288297,323,1
2000.0,0.0539169,0.0386097,323,1
5000.0,0.1228664,0.0580541,323,1
10000.0,0.2398443,0.0829271,323,1
20000.0,0.4305854,0.1040999,323,1
50000.0,0.8189161,0.1150602,323,1
100000.0,1.2182806,0.130605,323,1
1000000.0,1.9739433,0.0689579,323,1
100.0,0.0052158,0.0141376,273,6
200.0,0.0098013,0.0191704,273,6
500.0,0.0266975,0.0280883,273,6
1000.0,0.0536533,0.0378981,273,6
2000.0,0.0999812,0.0519236,273,6
5000.0,0.249051,0.0754641,273,6
10000.0,0.4860709,0.1031047,273,6
20000.0,0.77832,0.1260184,273,6
50000.0,1.311012,0.121484,273,6
100000.0,1.6940544,0.1102002,273,6
1000000.0,2.2134184,0.0681256,273,6
100.0,0.0018636,0.0085128,298,6
200.0,0.003472,0.0116337,298,6
500.0,0.0089353,0.018506,298,6
1000.0,0.0181566,0.0264637,298,6
2000.0,0.0365065,0.0332822,298,6
5000.0,0.0884993,0.0487597,298,6
10000.0,0.1753438,0.0678503,298,6
20000.0,0.3225388,0.0912178,298,6
50000.0,0.6433742,0.1094683,298,6
100000.0,1.0438001,0.1282478,298,6
1000000.0,1.9556782,0.0727671,298,6
100.0,0.000781,0.0055751,323,6
200.0,0.0015388,0.007714999999999999,323,6
500.0,0.0036537,0.0118144,323,6
1000.0,0.0070871,0.0166346,323,6
2000.0,0.0148044,0.0238744,323,6
5000.0,0.037999,0.0343632,323,6
10000.0,0.0688335,0.0442716,323,6
20000.0,0.1363225,0.0609746,323,6
50000.0,0.3296361,0.0899885,323,6
100000.0,0.566703,0.1124408,323,6
1000000.0,1.6963003,0.1009015,323,6
100.0,0.010188,0.0200109,273,2
200.0,0.0204881,0.0236469,273,2
500.0,0.0498379,0.036872,273,2
1000.0,0.0999425,0.0522198,273,2
2000.0,0.1902887,0.0687591,273,2
5000.0,0.4242014,0.1031428,273,2
10000.0,0.7537524,0.1284359,273,2
20000.0,1.1144594,0.1384085,273,2
50000.0,1.5801378,0.1125976,273,2
100000.0,1.8771999,0.0894492,273,2
1000000.0,2.2867722,0.0656113,273,2
100.0,0.0035648,0.0118352,298,2
200.0,0.0063912,0.0155704,298,2
500.0,0.0164515,0.0255431,298,2
1000.0,0.0318359,0.0307059,298,2
2000.0,0.063061,0.0414626,298,2
5000.0,0.1541683,0.0633896,298,2
10000.0,0.2800549,0.0861311,298,2
20000.0,0.529126,0.0987444,298,2
50000.0,0.9548261,0.1246057,298,2
100000.0,1.3502856,0.1221708,298,2
1000000.0,2.0770841,0.08284469999999998,298,2
100.0,0.0013184,0.0071227,323,2
200.0,0.0026639,0.0101821,323,2
500.0,0.0063138,0.0156974,323,2
1000.0,0.0126315,0.0218979,323,2
2000.0,0.0257541,0.026635,323,2
5000.0,0.0606986,0.0413592,323,2
10000.0,0.1148088,0.0543669,323,2
20000.0,0.2338205,0.0734259,323,2
50000.0,0.4875494,0.1006635,323,2
100000.0,0.8271277,0.1175492,323,2
1000000.0,1.852205,0.08913369999999998,323,2
100.0,0.0027761,0.0103056,273,8
200.0,0.0058344,0.0150903,273,8
500.0,0.0146537,0.0234598,273,8
1000.0,0.0296978,0.0336115,273,8
2000.0,0.0560976,0.0410993,273,8
5000.0,0.1374943,0.0634005,273,8
10000.0,0.2552326,0.0833579,273,8
20000.0,0.4754047,0.1029717,273,8
50000.0,0.8505496,0.1210161,273,8
100000.0,1.2115286,0.1180239,273,8
1000000.0,2.0242737,0.0804917,273,8
100.0,0.0011367,0.0066222,298,8
200.0,0.0023005,0.00942,298,8
500.0,0.0053279,0.0143428,298,8
1000.0,0.0104741,0.0198401,298,8
2000.0,0.0217756,0.0287054,298,8
5000.0,0.0524864,0.0391528,298,8
10000.0,0.1071882,0.0563406,298,8
20000.0,0.2060906,0.073671,298,8
50000.0,0.4248854,0.0974609,298,8
100000.0,0.709708,0.1098489,298,8
1000000.0,1.7268866,0.0974996,298,8
100.0,0.0004678,0.0042272,323,8
200.0,0.0009589,0.0060376,323,8
500.0,0.0021469,0.0090382,323,8
1000.0,0.0049026,0.0137962,323,8
2000.0,0.0097627,0.0193762,323,8
5000.0,0.0237245,0.0296296,323,8
10000.0,0.046911,0.041513,323,8
20000.0,0.0917767,0.0580378,323,8
50000.0,0.2164101,0.08706139999999998,323,8
100000.0,0.394825,0.1092398,323,8
1000000.0,1.3999768,0.1313921,323,8
100.0,0.0052351,0.014283,273,4
200.0,0.0105359,0.0201885,273,4
500.0,0.0260441,0.0312979,273,4
1000.0,0.0523781,0.0400585,273,4
2000.0,0.1004684,0.0527408,273,4
5000.0,0.2392798,0.0775306,273,4
10000.0,0.4276817,0.1004754,273,4
20000.0,0.7114135,0.1199741,273,4
50000.0,1.1636926,0.1178321,273,4
100000.0,1.5085915,0.1140798,273,4
1000000.0,2.09521,0.0677354,273,4
100.0,0.0018056,0.0083928,298,4
200.0,0.0038277,0.012079,298,4
500.0,0.0092221,0.0188487,298,4
1000.0,0.0191503,0.0267363,298,4
2000.0,0.0374615,0.0378223,298,4
5000.0,0.0931841,0.0507253,298,4
10000.0,0.1736245,0.0703447,298,4
20000.0,0.3170524,0.0909335,298,4
50000.0,0.6428716,0.1182621,298,4
100000.0,0.9519717,0.1338883,298,4
1000000.0,1.8622327,0.0869174,298,4
100.0,0.0007345999999999999,0.0054183,323,4
200.0,0.0015156,0.0076417,323,4
500.0,0.0041061,0.0125477,323,4
1000.0,0.0078565,0.0175276,323,4
2000.0,0.0158136,0.024682,323,4
5000.0,0.0391125,0.038584,323,4
10000.0,0.07810899999999998,0.0543307,323,4
20000.0,0.1492585,0.071587,323,4
50000.0,0.3327771,0.1018176,323,4
100000.0,0.5778178,0.1257129,323,4
1000000.0,1.6089451,0.1285667,323,4
100.0,0.005529,0.0144642,273,7
200.0,0.0109264,0.0205297,273,7
500.0,0.0262413,0.0284651,273,7
1000.0,0.0517247,0.0381915,273,7
2000.0,0.1018641,0.0545478,273,7
5000.0,0.2450732,0.07721069999999998,273,7
10000.0,0.4057649,0.0966321,273,7
20000.0,0.7248537,0.1142336,273,7
50000.0,1.1728192,0.121954,273,7
100000.0,1.4934042,0.0990596,273,7
1000000.0,2.0934606,0.0535383,273,7
100.0,0.0017283,0.0081747,298,7
200.0,0.0035687,0.0119033,298,7
500.0,0.0086414,0.0183948,298,7
1000.0,0.0174839,0.0226445,298,7
2000.0,0.0337962,0.0303418,298,7
5000.0,0.0838893,0.0491251,298,7
10000.0,0.1595817,0.0648759,298,7
