Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0010798,0.0047738,273,5
200.0,0.0020978,0.0066272,273,5
500.0,0.005317,0.0107202,273,5
1000.0,0.0105765,0.0148557,273,5
2000.0,0.0210099,0.0209429,273,5
5000.0,0.0510278,0.027537,273,5
10000.0,0.0983531,0.03849,273,5
20000.0,0.1879137,0.051179,273,5
50000.0,0.379673,0.0702936,273,5
100000.0,0.6148075,0.0776221,273,5
100.0,0.0005036,0.0033091,298,5
200.0,0.0009859,0.0046101,298,5
500.0,0.0024392,0.0072632,298,5
1000.0,0.0048251,0.010194,298,5
2000.0,0.0095564,0.0140796,298,5
5000.0,0.0237821,0.0222222,298,5
10000.0,0.0479953,0.0283735,298,5
20000.0,0.0933849,0.0387525,298,5
50000.0,0.2062695,0.0543613,298,5
100000.0,0.3609773,0.0662199,298,5
100.0,0.0002358,0.0015903,323,5
200.0,0.0005261,0.0023685,323,5
500.0,0.00121,0.0035891,323,5
1000.0,0.0024937,0.0051471,323,5
2000.0,0.0050033,0.0073589,323,5
5000.0,0.01224,0.0098011,323,5
10000.0,0.0253655,0.014218,323,5
20000.0,0.0487273,0.0201257,323,5
50000.0,0.1154569,0.0291658,323,5
100000.0,0.2107013,0.0379924,323,5
100.0,0.0013061,0.005299,273,1
200.0,0.0027572,0.0077625,273,1
500.0,0.0068781,0.0120045,273,1
1000.0,0.0132611,0.0167774,273,1
2000.0,0.0269277,0.0207111,273,1
5000.0,0.0634353,0.0312899,273,1
10000.0,0.1251698,0.0438021,273,1
20000.0,0.227423,0.0573809,273,1
50000.0,0.4592666,0.0703747,273,1
100000.0,0.7235308999999999,0.083151,273,1
100.0,0.0006296,0.0036486,298,1
200.0,0.0012506,0.0051024,298,1
500.0,0.0031862,0.008304,298,1
1000.0,0.0061397,0.0114393,298,1
2000.0,0.0123435,0.0161465,298,1
5000.0,0.0302761,0.0221156,298,1
10000.0,0.0583093,0.0298523,298,1
20000.0,0.1107112,0.0403397,298,1
50000.0,0.2545301,0.0589596,298,1
100000.0,0.4275876,0.0660023,298,1
100.0,0.000318,0.0018578,323,1
200.0,0.000653,0.0026709,323,1
500.0,0.0016998,0.0042751,323,1
1000.0,0.0031392,0.0057763,323,1
2000.0,0.0061995,0.0080873,323,1
5000.0,0.0154891,0.0113676,323,1
10000.0,0.0304906,0.0151859,323,1
20000.0,0.0603249,0.0215784,323,1
50000.0,0.1452141,0.0326832,323,1
100000.0,0.2513746,0.0415691,323,1
100.0,0.0011353,0.004893,273,6
200.0,0.002212,0.0067658,273,6
500.0,0.0058879,0.0111867,273,6
1000.0,0.0118564,0.0157613,273,6
2000.0,0.023987,0.0191297,273,6
5000.0,0.056814,0.0299323,273,6
10000.0,0.1105918,0.0400738,273,6
20000.0,0.2136613,0.055965,273,6
50000.0,0.4204669,0.0713508,273,6
100000.0,0.6862252,0.08631279999999998,273,6
100.0,0.0005805,0.0035235,298,6
200.0,0.0010542,0.0046638,298,6
500.0,0.0027103,0.0075833,298,6
1000.0,0.0051773,0.0104666,298,6
2000.0,0.0103341,0.0148355,298,6
5000.0,0.0269107,0.0213917,298,6
10000.0,0.0515637,0.0286098,298,6
20000.0,0.1014368,0.0391427,298,6
50000.0,0.2308646,0.0566822,298,6
100000.0,0.3923001,0.0691913,298,6
100.0,0.0002989,0.002526,323,6
200.0,0.0005847,0.0035228,323,6
500.0,0.0013935,0.0054088,323,6
1000.0,0.0027828,0.0076588,323,6
2000.0,0.0055657,0.0109064,323,6
5000.0,0.0133315,0.0167447,323,6
10000.0,0.0264113,0.0203907,323,6
20000.0,0.0520949,0.0288874,323,6
50000.0,0.1228181,0.0433439,323,6
100000.0,0.2325018,0.0560805,323,6
100.0,0.0014576,0.0055418,273,2
200.0,0.0028895,0.0078604,273,2
500.0,0.0076016,0.0126059,273,2
1000.0,0.0145586,0.0174968,273,2
2000.0,0.029909,0.0217094,273,2
5000.0,0.069336,0.0329382,273,2
10000.0,0.1355921,0.0448502,273,2
20000.0,0.2548211,0.0606561,273,2
50000.0,0.4990382,0.0705452,273,2
100000.0,0.7903048999999999,0.081301,273,2
100.0,0.0006488,0.0037255,298,2
200.0,0.001289,0.0053031,298,2
500.0,0.0034102,0.008522,298,2
1000.0,0.0066967,0.0119075,298,2
2000.0,0.0132099,0.0166627,298,2
5000.0,0.0328797,0.0232114,298,2
10000.0,0.0633414,0.0308135,298,2
20000.0,0.126064,0.0444918,298,2
50000.0,0.2727941,0.0608713,298,2
100000.0,0.4707611,0.0772785,298,2
100.0,0.0003436,0.0027196,323,2
200.0,0.0007149,0.0039221,323,2
500.0,0.0015792,0.0057787,323,2
1000.0,0.0033628,0.0084386,323,2
2000.0,0.006558,0.0117523,323,2
5000.0,0.0163619,0.0187005,323,2
10000.0,0.0335007,0.0229899,323,2
20000.0,0.0646219,0.0325125,323,2
50000.0,0.154407,0.0464867,323,2
100000.0,0.2852655,0.0615756,323,2
100.0,0.0010137,0.0032641,273,8
200.0,0.0020092,0.0045602,273,8
500.0,0.0050578,0.0073751,273,8
1000.0,0.0099597,0.0102733,273,8
2000.0,0.0201787,0.0130737,273,8
5000.0,0.0486639,0.0193948,273,8
10000.0,0.0947155,0.027536,273,8
20000.0,0.1716627,0.0334747,273,8
50000.0,0.3611277,0.0483457,273,8
100000.0,0.5909759,0.0564176,273,8
100.0,0.0004396,0.0021633,298,8
200.0,0.0009155,0.0031006,298,8
500.0,0.0023795,0.0049714,298,8
1000.0,0.0046832,0.0070349,298,8
2000.0,0.0093449,0.009916800000000002,298,8
5000.0,0.022761,0.0137351,298,8
10000.0,0.0449425,0.0185912,298,8
20000.0,0.08624429999999998,0.0261861,298,8
50000.0,0.1992803,0.0343231,298,8
100000.0,0.3388609,0.0466836,298,8
100.0,0.0002283,0.0015661,323,8
200.0,0.0004855,0.0022793,323,8
500.0,0.0011865,0.0035331,323,8
1000.0,0.0023955,0.0050264,323,8
2000.0,0.0048678,0.0072847,323,8
5000.0,0.0122971,0.0112023,323,8
10000.0,0.0233148,0.0154517,323,8
20000.0,0.0474418,0.022341,323,8
50000.0,0.1105962,0.0320014,323,8
100000.0,0.2035788,0.0420427,323,8
100.0,0.0012154,0.0035538,273,4
200.0,0.0024457,0.0050509,273,4
500.0,0.0060298,0.008040099999999998,273,4
1000.0,0.0124875,0.0100785,273,4
2000.0,0.0235975,0.0138937,273,4
5000.0,0.0590957,0.021146,273,4
10000.0,0.1116536,0.0295041,273,4
20000.0,0.1979854,0.0362686,273,4
50000.0,0.4128159,0.0497939,273,4
100000.0,0.6515484,0.0556083,273,4
100.0,0.0005228,0.0023907,298,4
200.0,0.0010809,0.003358,298,4
500.0,0.0027839,0.0054537,298,4
1000.0,0.0055102,0.007640499999999998,298,4
2000.0,0.0113501,0.0108704,298,4
5000.0,0.0272244,0.0144815,298,4
10000.0,0.0549588,0.0208552,298,4
20000.0,0.1044202,0.0280095,298,4
50000.0,0.228193,0.039046,298,4
100000.0,0.387659,0.0458537,298,4
100.0,0.000286,0.0017495,323,4
200.0,0.0006232,0.0025607,323,4
500.0,0.0014736,0.00397,323,4
1000.0,0.0028629,0.005558,323,4
2000.0,0.0056809,0.007750199999999999,323,4
5000.0,0.0145341,0.0123674,323,4
10000.0,0.0288665,0.0176718,323,4
20000.0,0.0563182,0.024006,323,4
50000.0,0.1320521,0.0365735,323,4
100000.0,0.2299589,0.0450544,323,4
100.0,0.0030144,0.0057767,273,7
200.0,0.0060213,0.0069547,273,7
500.0,0.0147913,0.0108155,273,7
1000.0,0.0289711,0.0147619,273,7
2000.0,0.0575794,0.0209361,273,7
5000.0,0.1377538,0.0297146,273,7
10000.0,0.2428064,0.0386683,273,7
20000.0,0.4368643,0.0484797,273,7
50000.0,0.8006569,0.0571626,273,7
100000.0,1.1353377,0.0584522,273,7
100.0,0.0011471,0.0034829,298,7
200.0,0.0023784,0.0050345,298,7
500.0,0.0059029,0.0069502,298,7
1000.0,0.0120244,0.0094805,298,7
2000.0,0.0225636,0.0130101,298,7
5000.0,0.0553184,0.0201879,298,7
10000.0,0.1122317,0.0287794,298,7
20000.0,0.2110638,0.0340993,298,7
50000.0,0.4273956,0.0518005,298,7
