Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0030546,0.0105414,273,5
200.0,0.0063104,0.0152915,273,5
500.0,0.0156196,0.0241099,273,5
1000.0,0.0326064,0.0353116,273,5
2000.0,0.0644566,0.0491548,273,5
5000.0,0.1660272,0.07247919999999998,273,5
10000.0,0.3333805,0.1014396,273,5
20000.0,0.694656,0.1402769,273,5
50000.0,1.9771156,0.2631809,273,5
100000.0,4.4405506,0.3388666,273,5
1000000.0,10.0045956,0.1598137,273,5
100.0,0.0016689,0.007884099999999998,298,5
200.0,0.0030435,0.0106429,298,5
500.0,0.007387,0.0166835,298,5
1000.0,0.0153365,0.0238761,298,5
2000.0,0.029671,0.0331244,298,5
5000.0,0.0765943,0.0532839,298,5
10000.0,0.155254,0.0677595,298,5
20000.0,0.3166843,0.0993829,298,5
50000.0,0.7968845,0.1469509,298,5
100000.0,1.7379391,0.2460939,298,5
1000000.0,8.3720077,0.2077214,298,5
100.0,0.0008593,0.004566,323,5
200.0,0.0015522,0.0061934,323,5
500.0,0.0043113,0.0103134,323,5
1000.0,0.0085555,0.0144642,323,5
2000.0,0.017029,0.0207649,323,5
5000.0,0.0409868,0.031753,323,5
10000.0,0.0855026,0.0402632,323,5
20000.0,0.1723413,0.0570274,323,5
50000.0,0.4291869,0.08967319999999998,323,5
100000.0,0.8640236,0.1343418,323,5
1000000.0,6.2884389,0.2081514,323,5
100.0,0.0065079,0.0157156,273,1
200.0,0.0131126,0.0217818,273,1
500.0,0.0338059,0.0355504,273,1
1000.0,0.065116,0.0497711,273,1
2000.0,0.1331749,0.0640413,273,1
5000.0,0.3313073,0.098946,273,1
10000.0,0.6891716,0.1424946,273,1
20000.0,1.5389218,0.2212323,273,1
50000.0,4.6016902,0.3410074,273,1
100000.0,7.4907028,0.2882035,273,1
1000000.0,10.7463564,0.127005,273,1
100.0,0.0027417,0.0100084,298,1
200.0,0.0059826,0.0149939,298,1
500.0,0.0144052,0.0230949,298,1
1000.0,0.0300398,0.0337271,298,1
2000.0,0.0585113,0.0475131,298,1
5000.0,0.1481352,0.0660696,298,1
10000.0,0.2989376,0.0920934,298,1
20000.0,0.605346,0.1314977,298,1
50000.0,1.6247171,0.2374773,298,1
100000.0,3.4847012,0.3153321,298,1
1000000.0,9.611835,0.1636753,298,1
100.0,0.0015124,0.0061232,323,1
200.0,0.0030388,0.0085956,323,1
500.0,0.007457799999999999,0.0136865,323,1
1000.0,0.0146648,0.019163,323,1
2000.0,0.0302708,0.0277523,323,1
5000.0,0.07414089999999998,0.0370599,323,1
10000.0,0.1513314,0.0537265,323,1
20000.0,0.3007952,0.0743608,323,1
50000.0,0.7586914,0.119938,323,1
100000.0,1.5945753,0.1824356,323,1
1000000.0,7.9229979,0.1883721,323,1
100.0,0.00412,0.012465,273,6
200.0,0.0080464,0.0172626,273,6
500.0,0.0213452,0.0281755,273,6
1000.0,0.0419193,0.0396936,273,6
2000.0,0.0850717,0.0482574,273,6
5000.0,0.2152665,0.078502,273,6
10000.0,0.4483884,0.1169622,273,6
20000.0,0.9053173000000002,0.1559458,273,6
50000.0,2.6696714,0.2872648,273,6
100000.0,5.4575394,0.319288,273,6
1000000.0,10.1246303,0.1567524,273,6
100.0,0.002019,0.0086294,298,6
200.0,0.003971,0.0121418,298,6
500.0,0.0094806,0.0189043,298,6
1000.0,0.0193076,0.026797,298,6
2000.0,0.0379893,0.0378065,298,6
5000.0,0.0965862,0.0513302,298,6
10000.0,0.195266,0.0716629,298,6
20000.0,0.3977007,0.1072855,298,6
50000.0,1.0318333,0.1743827,298,6
100000.0,2.2034958,0.2581129,298,6
