Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0147687,0.0348391,273,5
200.0,0.0299628,0.0493497,273,5
500.0,0.0710917,0.0678605,273,5
1000.0,0.1457693,0.08999569999999998,273,5
2000.0,0.2616842,0.1176981,273,5
5000.0,0.5570037,0.1545551,273,5
10000.0,1.0134157,0.2075753,273,5
20000.0,1.5605401,0.2105673,273,5
50000.0,2.6068199,0.2853576,273,5
100000.0,3.9371066,0.3740712,273,5
1000000.0,19.0718338,0.4574314,273,5
100.0,0.0057124,0.0216832,298,5
200.0,0.0111745,0.0303945,298,5
500.0,0.0269189,0.0472326,298,5
1000.0,0.055856,0.05787,298,5
2000.0,0.106083,0.0805203,298,5
5000.0,0.2442886,0.1158779,298,5
10000.0,0.4677126,0.1501116,298,5
20000.0,0.8176422,0.1914317,298,5
50000.0,1.5480146,0.2310983,298,5
100000.0,2.4389766,0.2950326,298,5
1000000.0,13.9665109,0.6972995,298,5
100.0,0.0024684,0.0117183,323,5
200.0,0.0050258,0.0167918,323,5
500.0,0.0126486,0.0267421,323,5
1000.0,0.0251066,0.0377413,323,5
2000.0,0.0492791,0.0449147,323,5
5000.0,0.1191784,0.0671952,323,5
10000.0,0.2354102,0.0892328,323,5
20000.0,0.435266,0.1249731,323,5
50000.0,0.8940551,0.1632195,323,5
100000.0,1.4977415,0.1976962,323,5
1000000.0,8.651002099999998,0.5438168,323,5
100.0,0.015611,0.0362306,273,1
200.0,0.0307216,0.0503871,273,1
500.0,0.07371859999999998,0.0701755,273,1
1000.0,0.1460278,0.0899388,273,1
2000.0,0.2786712,0.121382,273,1
5000.0,0.5886585,0.1596023,273,1
10000.0,1.0119289,0.1931045,273,1
20000.0,1.6226411,0.233798,273,1
50000.0,2.8837751,0.3261531,273,1
100000.0,4.6964455,0.4628639,273,1
1000000.0,20.5262558,0.4524218,273,1
100.0,0.005654,0.021586,298,1
200.0,0.0116165,0.0308545,298,1
500.0,0.0296042,0.0492913,298,1
1000.0,0.0592167,0.0588436,298,1
2000.0,0.1141387,0.07884829999999998,298,1
5000.0,0.2640942,0.1202717,298,1
10000.0,0.4849664,0.1504536,298,1
20000.0,0.8561526,0.1990443,298,1
50000.0,1.6802639,0.2579582,298,1
100000.0,2.7386929,0.3258507,298,1
1000000.0,16.079415,0.5997577,298,1
100.0,0.0026296,0.0121373,323,1
200.0,0.0051981,0.0170774,323,1
500.0,0.0135651,0.0272507,323,1
1000.0,0.0267911,0.0388078,323,1
2000.0,0.0518532,0.0452686,323,1
5000.0,0.1318198,0.0708941,323,1
