Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0003867,0.0051078,273,5
200.0,0.0008549,0.0076885,273,5
500.0,0.0017708,0.0109441,273,5
1000.0,0.003657,0.016055,273,5
2000.0,0.0076261,0.0226419,273,5
5000.0,0.0183393,0.0354526,273,5
10000.0,0.0374385,0.0493995,273,5
20000.0,0.0735268,0.0712789,273,5
50000.0,0.1851094,0.1106624,273,5
100000.0,0.3605505,0.1369938,273,5
100.0,0.0002578,0.0041745,298,5
200.0,0.0005156,0.0058923,298,5
500.0,0.001167,0.0088733,298,5
1000.0,0.002334,0.0127685,298,5
2000.0,0.0047086,0.0177683,298,5
5000.0,0.0119344,0.0284443,298,5
10000.0,0.0235771,0.0397211,298,5
20000.0,0.0478431,0.0563159,298,5
50000.0,0.1171072,0.08928759999999998,298,5
100000.0,0.2370063,0.1252332,298,5
100.0,0.0001832,0.0035207,323,5
200.0,0.000251,0.0041194,323,5
500.0,0.0009634000000000001,0.008084499999999998,323,5
1000.0,0.0016283,0.0104723,323,5
2000.0,0.0034977,0.0153667,323,5
5000.0,0.0078839,0.0232568,323,5
10000.0,0.0157271,0.0326847,323,5
20000.0,0.0336526,0.0475121,323,5
50000.0,0.0810511,0.07365579999999998,323,5
100000.0,0.1628689,0.1031935,323,5
100.0,0.0004274,0.0053683,273,1
200.0,0.0008344999999999998,0.007539599999999999,273,1
500.0,0.0021576,0.0120969,273,1
1000.0,0.0039216,0.0162069,273,1
2000.0,0.0086957,0.0244202,273,1
5000.0,0.0216978,0.0385558,273,1
10000.0,0.0425881,0.0535566,273,1
20000.0,0.0848709,0.0750923,273,1
50000.0,0.2119093,0.1177566,273,1
100000.0,0.4191575,0.1509063,273,1
100.0,0.0002985,0.0044906,298,1
200.0,0.000536,0.0060066,298,1
500.0,0.0014927,0.01009,298,1
1000.0,0.0027478,0.0134434,298,1
2000.0,0.0055025,0.0194195,298,1
5000.0,0.0140242,0.0309564,298,1
10000.0,0.0277362,0.0432039,298,1
20000.0,0.05493,0.060131,298,1
50000.0,0.136225,0.0961608,298,1
100000.0,0.2705023,0.113574,298,1
100.0,0.0002307,0.0039494,323,1
200.0,0.0004071,0.0052397,323,1
500.0,0.0009295,0.007945,323,1
