Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0150621,0.0308555,273,5
200.0,0.0291425,0.043578,273,5
500.0,0.07425769999999998,0.0603945,273,5
1000.0,0.1504638,0.07957269999999998,273,5
2000.0,0.287446,0.1080719,273,5
5000.0,0.6370458,0.1524125,273,5
10000.0,1.0683486,0.1877539,273,5
20000.0,1.701632,0.2133001,273,5
50000.0,2.8857942,0.264332,273,5
100000.0,4.1586264,0.3076774,273,5
1000000.0,8.2279611,0.2798329,273,5
100.0,0.005658,0.018977,298,5
200.0,0.0112772,0.0265769,298,5
500.0,0.0274115,0.0413108,298,5
1000.0,0.0555722,0.0589392,298,5
2000.0,0.10869,0.074198,298,5
5000.0,0.2661679,0.1065272,298,5
10000.0,0.4855307,0.1380777,298,5
20000.0,0.8797899999999998,0.1780438,298,5
50000.0,1.6535704,0.2305923,298,5
100000.0,2.5574957,0.2677236,298,5
1000000.0,6.7369835,0.276475,298,5
100.0,0.0025771,0.0129352,323,5
200.0,0.0048765,0.0176174,323,5
500.0,0.0123688,0.028126,323,5
1000.0,0.0248602,0.0400426,323,5
2000.0,0.0493458,0.0555878,323,5
5000.0,0.1174547,0.07414239999999998,323,5
10000.0,0.233876,0.1049555,323,5
20000.0,0.4392879,0.1361706,323,5
50000.0,0.961953,0.1899265,323,5
100000.0,1.5601655,0.2218726,323,5
1000000.0,5.1896618,0.2770455,323,5
100.0,0.0290779,0.0430338,273,1
200.0,0.0585015,0.0526567,273,1
500.0,0.1383234,0.07918279999999998,273,1
1000.0,0.2671587,0.1055189,273,1
2000.0,0.4976312,0.1361022,273,1
5000.0,1.065208,0.1902662,273,1
10000.0,1.7229864,0.2324181,273,1
20000.0,2.6852473,0.2888241,273,1
50000.0,4.6007322,0.3293076,273,1
100000.0,6.2020171,0.3137562,273,1
1000000.0,9.3104696,0.1916099,273,1
100.0,0.0099338,0.02521,298,1
200.0,0.0207459,0.036183,298,1
500.0,0.0492554,0.0563754,298,1
1000.0,0.0945063,0.0658504,298,1
2000.0,0.1892904,0.09351930000000001,298,1
5000.0,0.4562206,0.1409964,298,1
10000.0,0.8021219,0.1804172,298,1
20000.0,1.3815274,0.2133033,298,1
50000.0,2.5905812,0.2737529,298,1
100000.0,3.8658001,0.3080764,298,1
1000000.0,8.2027783,0.2446138,298,1
100.0,0.0042758,0.0166706,323,1
200.0,0.0086872,0.0236266,323,1
500.0,0.0205974,0.036331,323,1
1000.0,0.0428353,0.0521758,323,1
2000.0,0.08352619999999998,0.0622917,323,1
5000.0,0.199883,0.095718,323,1
10000.0,0.3880883,0.1245698,323,1
20000.0,0.7159475,0.1711988,323,1
50000.0,1.4528895,0.218518,323,1
100000.0,2.3716414,0.2647586,323,1
1000000.0,6.6845403,0.2875865,323,1
100.0,0.0067237,0.0207955,273,6
200.0,0.0139899,0.0300101,273,6
500.0,0.0347682,0.0468139,273,6
1000.0,0.0690864,0.0652847,273,6
2000.0,0.1391566,0.08310099999999998,273,6
5000.0,0.3323481,0.124048,273,6
10000.0,0.6077684,0.1568698,273,6
20000.0,1.0879984,0.1964795,273,6
50000.0,2.1137826,0.2668065,273,6
100000.0,3.3333389,0.3155697,273,6
1000000.0,7.604419,0.2297212,273,6
100.0,0.0031003,0.0140762,298,6
200.0,0.0056386,0.0191033,298,6
500.0,0.0148167,0.0314154,298,6
1000.0,0.0294654,0.0433122,298,6
2000.0,0.0594682,0.0614384,298,6
5000.0,0.1452473,0.0821776,298,6
10000.0,0.2833963,0.1116908,298,6
20000.0,0.5228593,0.153993,298,6
50000.0,1.1310505,0.2047242,298,6
100000.0,1.8883841,0.2516339,298,6
1000000.0,6.0570357,0.2701895,298,6
100.0,0.0015372,0.0099294,323,6
200.0,0.0030809,0.0140062,323,6
500.0,0.0074535,0.0216813,323,6
1000.0,0.0144614,0.0304027,323,6
2000.0,0.0288001,0.0423672,323,6
5000.0,0.0727334,0.0682505,323,6
10000.0,0.1442462,0.08343019999999998,323,6
20000.0,0.2720932,0.113759,323,6
50000.0,0.6384114,0.1683306,323,6
100000.0,1.1334883,0.203214,323,6
1000000.0,4.6190195,0.283429,323,6
100.0,0.012808,0.0288255,273,2
200.0,0.0255964,0.0408866,273,2
500.0,0.0648988,0.0641734,273,2
1000.0,0.1272335,0.07725709999999998,273,2
2000.0,0.2459092,0.1049054,273,2
5000.0,0.5803687,0.160454,273,2
10000.0,1.0414945,0.1957278,273,2
20000.0,1.8030233,0.2624213,273,2
50000.0,3.5187567,0.3503871,273,2
100000.0,5.2643996,0.3240476,273,2
1000000.0,8.9113096,0.2076083,273,2
100.0,0.0053738,0.0189497,298,2
200.0,0.0106507,0.0265135,298,2
500.0,0.0263716,0.0408389,298,2
1000.0,0.0516129,0.057876,298,2
2000.0,0.1034002,0.08139259999999998,298,2
5000.0,0.2463998,0.1116506,298,2
10000.0,0.4657179,0.1461027,298,2
20000.0,0.8905881,0.1879367,298,2
50000.0,1.8274141,0.2582138,298,2
100000.0,3.0273012,0.3200437,298,2
1000000.0,7.448932799999999,0.2600254,298,2
100.0,0.002351,0.0124029,323,2
200.0,0.0049087,0.0179255,323,2
500.0,0.0120716,0.0277783,323,2
1000.0,0.0246659,0.0398426,323,2
2000.0,0.0476149,0.0543213,323,2
5000.0,0.1177138,0.08607539999999998,323,2
10000.0,0.2337539,0.1053269,323,2
20000.0,0.4493895,0.1401228,323,2
50000.0,1.010831,0.2005171,323,2
100000.0,1.7316973,0.2566056,323,2
1000000.0,6.0497163,0.2947658,323,2
100.0,0.0068335,0.0206892,273,8
200.0,0.0133247,0.0295659,273,8
500.0,0.0347165,0.0476818,273,8
1000.0,0.0661268,0.0640806,273,8
2000.0,0.1309732,0.07795539999999998,273,8
