Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.3348529,0.1127243,273,5
200.0,0.5971179,0.1199674,273,5
500.0,1.0338749,0.1539602,273,5
1000.0,1.5157777,0.1458216,273,5
2000.0,1.9147753,0.174177,273,5
5000.0,2.6952253,0.1956979,273,5
10000.0,3.5118409,0.2183083,273,5
20000.0,4.4280741,0.2255521,273,5
50000.0,5.6622031,0.1988365,273,5
100000.0,6.4226688,0.1872771,273,5
1000000.0,8.3639743,0.1712393,273,5
100.0,0.0931828,0.0613042,298,5
200.0,0.1636713,0.07415059999999998,298,5
500.0,0.3667195,0.1104537,298,5
1000.0,0.638669,0.1238932,298,5
2000.0,1.0741988,0.1484779,298,5
5000.0,1.6654337,0.173154,298,5
10000.0,2.1957859,0.1928819,298,5
20000.0,2.9944534,0.2163754,298,5
50000.0,4.0978263,0.2228909,298,5
100000.0,5.0273251,0.2133908,298,5
1000000.0,7.3466137,0.1851452,298,5
100.0,0.0273952,0.0323515,323,5
200.0,0.0555593,0.0455555,323,5
500.0,0.1244332,0.0640233,323,5
1000.0,0.2345934,0.0889091,323,5
2000.0,0.4290596,0.1200707,323,5
5000.0,0.8973071,0.1477975,323,5
10000.0,1.3966168,0.1791308,323,5
20000.0,1.9607571,0.189238,323,5
50000.0,2.9582046,0.2105554,323,5
100000.0,3.8138455,0.2198037,323,5
1000000.0,6.4574524,0.1847992,323,5
100.0,0.2897309,0.0895843,273,1
200.0,0.5090653,0.1246195,273,1
500.0,0.973697,0.1517612,273,1
1000.0,1.4615411,0.1671786,273,1
2000.0,1.9207134,0.1965279,273,1
5000.0,2.8252829,0.204035,273,1
10000.0,3.6660707,0.2359607,273,1
20000.0,4.58949,0.234065,273,1
50000.0,5.8916281,0.2050149,273,1
100000.0,6.713511,0.190778,273,1
1000000.0,8.862761499999998,0.254749,273,1
100.0,0.07914409999999998,0.0544324,298,1
200.0,0.1539593,0.0748681,298,1
500.0,0.3442549,0.1110538,298,1
1000.0,0.5975126,0.1374149,298,1
2000.0,0.9871669,0.1456648,298,1
5000.0,1.7222684,0.1869246,298,1
10000.0,2.3303354,0.2043594,298,1
20000.0,3.1443475,0.2310535,298,1
50000.0,4.3230577,0.230246,298,1
100000.0,5.2512497,0.2128733,298,1
1000000.0,7.7120401,0.1842863,298,1
100.0,0.0244752,0.0313863,323,1
200.0,0.0499045,0.0459382,323,1
500.0,0.1248728,0.0658586,323,1
1000.0,0.23396,0.08477129999999998,323,1
2000.0,0.4513094,0.120266,323,1
5000.0,0.9260174000000002,0.1485843,323,1
10000.0,1.3650355,0.1699536,323,1
20000.0,2.0205929,0.19977,323,1
50000.0,3.0936528,0.2301596,323,1
100000.0,3.9736838,0.2275505,323,1
1000000.0,6.6336619,0.1956221,323,1
100.0,1.364825,0.1491014,273,6
200.0,1.6153887,0.1012787,273,6
500.0,1.8430712,0.07899209999999998,273,6
1000.0,1.9858651,0.0940457,273,6
2000.0,2.2248181,0.1150475,273,6
5000.0,2.8100613,0.175016,273,6
10000.0,3.6620325,0.2100228,273,6
20000.0,4.7312098,0.2439721,273,6
50000.0,6.200427,0.2149795,273,6
100000.0,6.8901884,0.1806568,273,6
1000000.0,8.5663291,0.1508973,273,6
100.0,0.6459844,0.1229675,298,6
200.0,0.9606728000000002,0.1555867,298,6
500.0,1.3660109,0.1116015,298,6
1000.0,1.6030251,0.1056044,298,6
2000.0,1.7902482,0.1177764,298,6
5000.0,2.1475688,0.1205179,298,6
10000.0,2.5336762,0.1602161,298,6
20000.0,3.1594738,0.1982929,298,6
50000.0,4.4938582,0.2388869,298,6
100000.0,5.4439791,0.220779,298,6
1000000.0,7.7361268,0.164821,298,6
100.0,0.2054166,0.0878377,323,6
200.0,0.3722283,0.1075736,323,6
500.0,0.7215367,0.1496392,323,6
1000.0,0.9865087,0.1540048,323,6
2000.0,1.3793441,0.1460232,323,6
5000.0,1.7487463,0.1145302,323,6
10000.0,2.0025866,0.1246181,323,6
20000.0,2.3469514,0.1463704,323,6
50000.0,3.0975769,0.2006162,323,6
100000.0,3.9438785,0.2237881,323,6
1000000.0,6.8304487,0.1839814,323,6
100.0,1.3272846,0.126094,273,2
200.0,1.5637034,0.1131455,273,2
500.0,1.8127041,0.099021,273,2
1000.0,2.0035364,0.1068175,273,2
2000.0,2.2428348,0.134015,273,2
5000.0,2.8465244,0.1945083,273,2
10000.0,3.6860108,0.228307,273,2
20000.0,4.9154119,0.2433491,273,2
50000.0,6.2718412,0.2121388,273,2
100000.0,6.9672492,0.1952485,273,2
1000000.0,8.845176699999998,0.1266338,273,2
100.0,0.5564059,0.1325362,298,2
200.0,0.8994510999999998,0.1381966,298,2
500.0,1.3085644,0.1266249,298,2
1000.0,1.6139086,0.1070197,298,2
2000.0,1.8053746,0.107702,298,2
5000.0,2.1491588,0.1322574,298,2
10000.0,2.5419843,0.1717376,298,2
20000.0,3.2198264,0.2142665,298,2
50000.0,4.5240093,0.2291995,298,2
100000.0,5.5363804,0.2243963,298,2
1000000.0,7.9190109,0.1789151,298,2
100.0,0.1623361,0.0802709,323,2
200.0,0.3288187,0.0974765,323,2
500.0,0.6153413,0.1275701,323,2
1000.0,0.958651,0.1460813,323,2
2000.0,1.3016256,0.1316002,323,2
5000.0,1.7356007,0.1186229,323,2
10000.0,2.009032,0.1390733,323,2
20000.0,2.4024587,0.1620246,323,2
50000.0,3.2126614,0.2126088,323,2
100000.0,4.0940832,0.2258074,323,2
1000000.0,6.9209374,0.1871591,323,2
100.0,0.0108933,0.0249971,273,8
200.0,0.0212547,0.0347724,273,8
500.0,0.055594,0.0567232,273,8
1000.0,0.1115234,0.07936169999999998,273,8
2000.0,0.2175122,0.0971036,273,8
5000.0,0.5454572,0.1577103,273,8
10000.0,1.0495601,0.2120324,273,8
20000.0,1.9417884,0.2680121,273,8
50000.0,3.6106144,0.2778913,273,8
100000.0,4.756296,0.257603,273,8
1000000.0,7.1308009,0.1690759,273,8
100.0,0.0050014,0.0168591,298,8
200.0,0.0098872,0.0237948,298,8
500.0,0.0237872,0.0369302,298,8
1000.0,0.0469904,0.0516841,298,8
2000.0,0.0948538,0.074169,298,8
5000.0,0.2379354,0.1035044,298,8
10000.0,0.46141,0.1439964,298,8
20000.0,0.9072316,0.1861063,298,8
50000.0,1.9497937,0.2452056,298,8
100000.0,3.0832423,0.2713465,298,8
1000000.0,6.1765623,0.2024576,298,8
100.0,0.0024169,0.0119413,323,8
200.0,0.0046834,0.0164598,323,8
500.0,0.0122232,0.0266544,323,8
1000.0,0.0236889,0.0367713,323,8
2000.0,0.0475628,0.0524708,323,8
5000.0,0.118508,0.08265119999999998,323,8
10000.0,0.2394734,0.1157618,323,8
20000.0,0.47117,0.1601577,323,8
50000.0,1.0798245,0.220883,323,8
100000.0,1.8494729,0.2845278,323,8
1000000.0,5.1760367,0.2661706,323,8
100.0,0.015756,0.0301022,273,4
200.0,0.0315351,0.0431502,273,4
500.0,0.0798437,0.0675633,273,4
1000.0,0.1591555,0.094927,273,4
2000.0,0.3143446,0.1184321,273,4
5000.0,0.7725906999999999,0.1824559,273,4
10000.0,1.4286767,0.238433,273,4
20000.0,2.5766722,0.2819312,273,4
