Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0205817,0.0190438,273,5
200.0,0.039827,0.0262797,273,5
500.0,0.0963817,0.038699,273,5
1000.0,0.2081835,0.0557744,273,5
2000.0,0.3930438,0.0809218,273,5
5000.0,0.9313836,0.1175369,273,5
10000.0,1.8325177,0.1747386,273,5
20000.0,3.0619182,0.1957286,273,5
50000.0,4.6487972,0.1703429,273,5
100000.0,5.5071733,0.1333632,273,5
1000000.0,7.1706618,0.1056037,273,5
100.0,0.0069107,0.0131602,298,5
200.0,0.0134128,0.015507,298,5
500.0,0.0352658,0.0244401,298,5
1000.0,0.0680417,0.0343503,298,5
2000.0,0.1424836,0.0480196,298,5
5000.0,0.3541778,0.0795793,298,5
10000.0,0.6753583,0.1075497,298,5
20000.0,1.2835416,0.1355776,298,5
50000.0,2.6463089,0.179462,298,5
100000.0,3.9145657,0.1687369,298,5
1000000.0,6.477113,0.1009213,298,5
100.0,0.0030759,0.0071579,323,5
200.0,0.005774,0.0098004,323,5
500.0,0.0147643,0.0130054,323,5
1000.0,0.0296623,0.0192404,323,5
2000.0,0.0616734,0.0259901,323,5
5000.0,0.1472619,0.040168,323,5
10000.0,0.2811555,0.0554302,323,5
20000.0,0.5588344,0.0759244,323,5
50000.0,1.3169958,0.1097272,323,5
100000.0,2.2864103,0.1378028,323,5
1000000.0,5.5596727,0.1020919,323,5
100.0,0.0446364,0.0274058,273,1
200.0,0.0928611,0.0394764,273,1
500.0,0.232761,0.0615526,273,1
1000.0,0.4517489,0.08211989999999998,273,1
2000.0,0.8997361,0.1172582,273,1
5000.0,2.1047383,0.1764688,273,1
10000.0,3.4733524,0.1821171,273,1
20000.0,4.7029475,0.1573002,273,1
50000.0,5.915218,0.1447381,273,1
100000.0,6.592424,0.1147765,273,1
1000000.0,7.971296599999999,0.1266877,273,1
100.0,0.0155341,0.0166117,298,1
200.0,0.029664,0.0239782,298,1
500.0,0.0735532,0.0356909,298,1
1000.0,0.1513391,0.0509343,298,1
2000.0,0.3023272,0.07219069999999998,298,1
5000.0,0.7057318,0.1087473,298,1
10000.0,1.3783469,0.14186,298,1
20000.0,2.5065106,0.1688021,298,1
50000.0,4.1979496,0.1623544,298,1
100000.0,5.2505852,0.1374923,298,1
1000000.0,7.1898869,0.1024226,298,1
100.0,0.0060214,0.0100781,323,1
200.0,0.0118572,0.0139602,323,1
500.0,0.029632,0.018246,323,1
1000.0,0.0613625,0.0271901,323,1
2000.0,0.1180342,0.0357594,323,1
5000.0,0.2890498,0.053876,323,1
10000.0,0.5687003,0.08235339999999998,323,1
20000.0,1.0945306,0.1058028,323,1
50000.0,2.3364881,0.1378386,323,1
100000.0,3.6127105,0.1320951,323,1
1000000.0,6.3912623,0.0933091,323,1
100.0,0.0083826,0.0146071,273,6
200.0,0.0162713,0.0201887,273,6
500.0,0.0398344,0.0319593,273,6
1000.0,0.08235209999999998,0.0420901,273,6
2000.0,0.1656496,0.0562022,273,6
5000.0,0.4175179,0.08848509999999998,273,6
10000.0,0.8425785,0.1295889,273,6
20000.0,1.660618,0.173299,273,6
50000.0,3.4010394,0.2022966,273,6
100000.0,4.6540388,0.1718723,273,6
1000000.0,6.7725748,0.1022162,273,6
100.0,0.0032422,0.0090334,298,6
200.0,0.0067979,0.0130778,298,6
500.0,0.0166106,0.0202416,298,6
1000.0,0.0341098,0.0293914,298,6
2000.0,0.0678386,0.0366143,298,6
5000.0,0.1740774,0.0582294,298,6
10000.0,0.3305542,0.0764654,298,6
20000.0,0.6647254,0.1112265,298,6
50000.0,1.6101478,0.1604985,298,6
100000.0,2.7828721,0.1824559,298,6
1000000.0,5.9514607,0.1180569,298,6
100.0,0.0017252,0.0067128,323,6
200.0,0.0033149,0.0091901,323,6
500.0,0.0080993,0.0142878,323,6
1000.0,0.0161459,0.0202798,323,6
2000.0,0.0327081,0.028662,323,6
5000.0,0.0815647,0.0396886,323,6
10000.0,0.1648917,0.0557991,323,6
20000.0,0.3277887,0.0772944,323,6
50000.0,0.7725591,0.1198945,323,6
100000.0,1.46704,0.1529738,323,6
1000000.0,4.9338418,0.1453228,323,6
100.0,0.0204363,0.0225952,273,2
200.0,0.0427683,0.0282242,273,2
500.0,0.1048672,0.044529,273,2
1000.0,0.2046787,0.0600631,273,2
2000.0,0.4073209,0.08204319999999998,273,2
5000.0,0.9763742,0.1404047,273,2
10000.0,1.9607308,0.1766657,273,2
20000.0,3.3985966,0.194456,273,2
50000.0,5.0963488,0.1616383,273,2
100000.0,5.9179598,0.1336829,273,2
1000000.0,7.428175999999999,0.08536549999999998,273,2
100.0,0.007505,0.0136082,298,2
200.0,0.0150702,0.0193839,298,2
500.0,0.0384077,0.0311861,298,2
1000.0,0.07619109999999998,0.0390077,298,2
2000.0,0.1493607,0.0510239,298,2
5000.0,0.3752431,0.0850177,298,2
10000.0,0.7489208,0.1150431,298,2
20000.0,1.4542314,0.1551371,298,2
50000.0,2.9891931,0.1916162,298,2
100000.0,4.3333371,0.1702229,298,2
1000000.0,6.6655235,0.1035918,298,2
100.0,0.0034136,0.0092002,323,2
200.0,0.0068831,0.0130475,323,2
500.0,0.0169834,0.0207499,323,2
1000.0,0.032999,0.0289089,323,2
2000.0,0.0672819,0.0354789,323,2
5000.0,0.170469,0.0571367,323,2
10000.0,0.3318809,0.0761613,323,2
20000.0,0.6420519,0.1034902,323,2
50000.0,1.5216058,0.1585474,323,2
100000.0,2.6047829,0.175331,323,2
1000000.0,5.8911863,0.1221466,323,2
100.0,0.0075343,0.0112236,273,8
200.0,0.0147994,0.0157115,273,8
500.0,0.0371331,0.0249564,273,8
1000.0,0.0741007,0.0320162,273,8
2000.0,0.1503478,0.0445127,273,8
5000.0,0.3742179,0.0693837,273,8
10000.0,0.7735954,0.1040244,273,8
20000.0,1.5387793,0.1326652,273,8
50000.0,3.2407855,0.1571657,273,8
100000.0,4.483686,0.1294192,273,8
1000000.0,6.5899351,0.0956914,273,8
100.0,0.0031829,0.0072086,298,8
200.0,0.0063724,0.0102326,298,8
500.0,0.0154982,0.0159642,298,8
1000.0,0.0311217,0.0227495,298,8
2000.0,0.0640926,0.0289098,298,8
5000.0,0.1605652,0.0451702,298,8
10000.0,0.3187148,0.0610837,298,8
20000.0,0.6242184,0.0939515,298,8
50000.0,1.5373181,0.1278183,298,8
100000.0,2.6864828,0.1485243,298,8
1000000.0,5.7900053,0.1009034,298,8
100.0,0.0016851,0.0053085,323,8
200.0,0.0030308,0.0071361,323,8
500.0,0.0077917,0.0114928,323,8
1000.0,0.0155115,0.0160838,323,8
2000.0,0.0311886,0.0227267,323,8
5000.0,0.0772886,0.0366567,323,8
10000.0,0.1581847,0.0510671,323,8
20000.0,0.3074576,0.0689337,323,8
50000.0,0.7424113,0.1123861,323,8
100000.0,1.4340215,0.145042,323,8
1000000.0,4.8198455,0.1467652,323,8
100.0,0.0180993,0.017378,273,4
200.0,0.036095,0.0208482,273,4
500.0,0.0902324,0.0330903,273,4
1000.0,0.1801053,0.0478016,273,4
2000.0,0.3603343,0.0648742,273,4
5000.0,0.9106955000000002,0.1099534,273,4
10000.0,1.8040962,0.1400213,273,4
20000.0,3.1655984,0.1591938,273,4
50000.0,4.8664912,0.125329,273,4
100000.0,5.7480826,0.1042958,273,4
1000000.0,7.2512269,0.0753647,273,4
100.0,0.0070395,0.010954,298,4
200.0,0.0137145,0.015163,298,4
500.0,0.0360181,0.0245294,298,4
1000.0,0.0696791,0.0310461,298,4
2000.0,0.1419484,0.0420248,298,4
5000.0,0.3437482,0.0640951,298,4
10000.0,0.6816914,0.0910578,298,4
20000.0,1.356145,0.1265715,298,4
50000.0,2.9007319,0.1524142,298,4
100000.0,4.1591108,0.1397003,298,4
1000000.0,6.5389886,0.0740349,298,4
100.0,0.0031879,0.007338899999999998,323,4
200.0,0.0064076,0.0104635,323,4
500.0,0.0158542,0.0162793,323,4
1000.0,0.031772,0.0232618,323,4
2000.0,0.0625059,0.0321999,323,4
5000.0,0.1557256,0.0517967,323,4
10000.0,0.3137014,0.0675117,323,4
20000.0,0.60679,0.102738,323,4
50000.0,1.4688573,0.1481598,323,4
100000.0,2.530853,0.1671118,323,4
1000000.0,5.7914043,0.1302348,323,4
100.0,0.0118071,0.0139667,273,7
200.0,0.0240104,0.0172369,273,7
500.0,0.0597042,0.0263536,273,7
1000.0,0.11829,0.0387911,273,7
2000.0,0.2430043,0.0516374,273,7
5000.0,0.5719131,0.0844265,273,7
10000.0,1.1576019,0.1137468,273,7
20000.0,2.1707344,0.1406008,273,7
50000.0,3.8829076,0.1379715,273,7
100000.0,5.0372445,0.1246356,273,7
1000000.0,7.1158524,0.0731768,273,7
100.0,0.0044149,0.0086209,298,7
200.0,0.0092277,0.0124952,298,7
500.0,0.0227048,0.0168881,298,7
1000.0,0.0464444,0.0234085,298,7
2000.0,0.0910553,0.0335133,298,7
5000.0,0.2292101,0.0519527,298,7
10000.0,0.4502038,0.0716232,298,7
20000.0,0.8674362,0.1037989,298,7
50000.0,1.9594243,0.137525,298,7
100000.0,3.139604,0.1450449,298,7
1000000.0,6.2410094,0.1050308,298,7
100.0,0.0021749,0.0060174,323,7
200.0,0.0041525,0.0083701,323,7
500.0,0.0103143,0.0131725,323,7
1000.0,0.0211551,0.0189779,323,7
2000.0,0.042098,0.023588,323,7
5000.0,0.1052993,0.0363542,323,7
10000.0,0.2078805,0.0501665,323,7
20000.0,0.4007605,0.0674122,323,7
50000.0,0.9608516,0.1011951,323,7
100000.0,1.7507299,0.1250923,323,7
1000000.0,5.1722236,0.1195981,323,7
100.0,0.0298295,0.0185954,273,3
200.0,0.0615815,0.0265785,273,3
500.0,0.1518156,0.0420083,273,3
1000.0,0.2970537,0.0557112,273,3
2000.0,0.5679978,0.0796708,273,3
5000.0,1.3874277,0.1259444,273,3
10000.0,2.5520985,0.138941,273,3
20000.0,3.9278124,0.1522249,273,3
50000.0,5.4944991,0.1303007,273,3
100000.0,6.3661724,0.105385,273,3
1000000.0,7.7960008,0.1156439,273,3
100.0,0.0104931,0.0131638,298,3
200.0,0.0213708,0.0161055,298,3
500.0,0.0530876,0.0259877,298,3
1000.0,0.1094509,0.0353283,298,3
2000.0,0.2066133,0.0479598,298,3
5000.0,0.5084081,0.075724,298,3
10000.0,0.9999228,0.1028393,298,3
20000.0,1.8118005,0.132434,298,3
50000.0,3.4339297,0.1580494,298,3
100000.0,4.7152935,0.1391412,298,3
1000000.0,7.0649662,0.08372169999999998,298,3
100.0,0.0042645,0.008345399999999998,323,3
200.0,0.008761299999999998,0.0121104,323,3
500.0,0.0225493,0.016807,323,3
1000.0,0.0422133,0.0233729,323,3
2000.0,0.08803859999999998,0.031918,323,3
5000.0,0.2208899,0.0504097,323,3
10000.0,0.4229952,0.0710263,323,3
20000.0,0.8276247,0.0976405,323,3
50000.0,1.8350684,0.1295943,323,3
100000.0,2.960514,0.1558238,323,3
1000000.0,6.1918705,0.1083362,323,3
