Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0008522999999999998,0.0064936,273,5
200.0,0.0018451,0.009491,273,5
500.0,0.0044492,0.0145622,273,5
1000.0,0.0090813,0.0208462,273,5
2000.0,0.0181289,0.0294293,273,5
5000.0,0.0460181,0.0467671,273,5
10000.0,0.0903798,0.0660685,273,5
20000.0,0.1797324,0.08244569999999998,273,5
50000.0,0.4332647,0.1258435,273,5
100000.0,0.7997438,0.1646369,273,5
100.0,0.0005923,0.0053508,298,5
200.0,0.0009341000000000002,0.0066413,298,5
500.0,0.0026531,0.011196,298,5
1000.0,0.0052292,0.0158538,298,5
2000.0,0.0104921,0.0223589,298,5
5000.0,0.0260538,0.0357137,298,5
10000.0,0.0517933,0.0491992,298,5
20000.0,0.1020035,0.0696311,298,5
50000.0,0.2500445,0.0962439,298,5
100000.0,0.4872354,0.1298137,298,5
100.0,0.0002729,0.0029469,323,5
200.0,0.0006388,0.0045515,323,5
500.0,0.001638,0.0072368,323,5
1000.0,0.0031972,0.0101957,323,5
2000.0,0.0062982,0.0143094,323,5
5000.0,0.016105,0.0226577,323,5
10000.0,0.0321104,0.0317701,323,5
20000.0,0.0646029,0.0455395,323,5
50000.0,0.1576599,0.0632903,323,5
100000.0,0.3125196,0.0853834,323,5
100.0,0.001353,0.008215399999999998,273,1
200.0,0.0026917,0.0113921,273,1
500.0,0.0067797,0.0179892,273,1
1000.0,0.0135257,0.0256965,273,1
2000.0,0.0262507,0.0356289,273,1
5000.0,0.0656686,0.0564099,273,1
10000.0,0.1328203,0.0677279,273,1
20000.0,0.2585769,0.094344,273,1
50000.0,0.6158779,0.1438572,273,1
100000.0,1.118106,0.1796588,273,1
100.0,0.0006837,0.005697,298,1
200.0,0.0014879,0.008470399999999998,298,1
500.0,0.0038088,0.0136059,298,1
1000.0,0.0071203,0.0184122,298,1
2000.0,0.0146957,0.026586,298,1
5000.0,0.0365323,0.0418465,298,1
10000.0,0.0733969,0.0587684,298,1
20000.0,0.1415357,0.0712545,298,1
50000.0,0.3484038,0.1107071,298,1
100000.0,0.6686747,0.1523655,298,1
100.0,0.0004237,0.0036637,323,1
200.0,0.0008507,0.0052353,323,1
500.0,0.0020577,0.0081077,323,1
1000.0,0.0044996,0.0119479,323,1
2000.0,0.0088791,0.0168427,323,1
5000.0,0.0217932,0.026346,323,1
10000.0,0.0447678,0.0375743,323,1
20000.0,0.08731419999999998,0.0524276,323,1
50000.0,0.2168435,0.0704497,323,1
100000.0,0.4223169,0.097601,323,1
100.0,0.0009394,0.0067976,273,6
200.0,0.0016516,0.0089984,273,6
500.0,0.0045262,0.0148696,273,6
1000.0,0.0090476,0.0209108,273,6
2000.0,0.0189331,0.0303465,273,6
5000.0,0.0456907,0.0464775,273,6
10000.0,0.0925033,0.0677116,273,6
20000.0,0.1821512,0.0833937,273,6
50000.0,0.4387009,0.1250296,273,6
100000.0,0.8184261,0.163581,273,6
100.0,0.0005441,0.0050895,298,6
200.0,0.0010112,0.006971,298,6
500.0,0.0025713,0.0111216,298,6
1000.0,0.0053881,0.0161417,298,6
2000.0,0.010574,0.0227065,298,6
5000.0,0.0263724,0.0355513,298,6
10000.0,0.0522007,0.0501242,298,6
20000.0,0.1051623,0.070481,298,6
50000.0,0.2553941,0.09913400000000001,298,6
100000.0,0.4943252,0.1279647,298,6
100.0,0.0003034,0.0038098,323,6
200.0,0.0006452,0.0055782,323,6
500.0,0.0017238,0.0089978,323,6
1000.0,0.0032502,0.0125141,323,6
2000.0,0.0065197,0.0177355,323,6
5000.0,0.0161932,0.0281346,323,6
10000.0,0.0325358,0.0398094,323,6
20000.0,0.0638292,0.0555429,323,6
50000.0,0.1617977,0.0772607,323,6
100000.0,0.311622,0.1100861,323,6
100.0,0.0013826,0.0081559,273,2
200.0,0.0027205,0.0113649,273,2
500.0,0.0072949,0.0185459,273,2
1000.0,0.0144261,0.0265417,273,2
2000.0,0.0289967,0.0373833,273,2
5000.0,0.0689959,0.0583862,273,2
10000.0,0.1379821,0.069582,273,2
20000.0,0.2692664,0.0961778,273,2
50000.0,0.626144,0.147963,273,2
100000.0,1.1727748,0.1924094,273,2
100.0,0.0006837,0.0057778,298,2
200.0,0.0015168,0.008547,298,2
500.0,0.0038714,0.0137998,298,2
1000.0,0.007502,0.0189036,298,2
2000.0,0.0148354,0.0267391,298,2
5000.0,0.0374231,0.0426501,298,2
10000.0,0.0744659,0.0588832,298,2
20000.0,0.1492351,0.073449,298,2
50000.0,0.361098,0.1081618,298,2
100000.0,0.6868257,0.1475553,298,2
100.0,0.0004382,0.0045724,323,2
200.0,0.0009678000000000002,0.0068598,323,2
500.0,0.0021475,0.0101245,323,2
1000.0,0.0044877,0.0146931,323,2
2000.0,0.0092161,0.0209757,323,2
5000.0,0.0226279,0.0330462,323,2
10000.0,0.0450503,0.0462365,323,2
20000.0,0.0906061,0.0666665,323,2
50000.0,0.2267901,0.0935812,323,2
100000.0,0.4439595,0.1233587,323,2
100.0,0.0008025,0.0050527,273,8
200.0,0.0014349,0.006726,273,8
500.0,0.0039002,0.0111357,273,8
1000.0,0.0079803,0.0160311,273,8
2000.0,0.0156427,0.0224485,273,8
5000.0,0.0391084,0.035221,273,8
10000.0,0.07706119999999998,0.0497627,273,8
20000.0,0.1567322,0.0632439,273,8
50000.0,0.3697468,0.0912157,273,8
100000.0,0.6905641,0.1184002,273,8
100.0,0.0004783,0.0039155,298,8
200.0,0.0008859999999999999,0.005356,298,8
500.0,0.0023177,0.0085527,298,8
1000.0,0.0047413,0.0122103,298,8
2000.0,0.008943299999999998,0.0168394,298,8
5000.0,0.0232859,0.0274118,298,8
10000.0,0.045352,0.0380255,298,8
20000.0,0.09075540000000001,0.0540757,298,8
50000.0,0.2220991,0.07710219999999998,298,8
100000.0,0.4287705,0.0998431,298,8
100.0,0.0003146,0.0031622,323,8
200.0,0.0005297,0.0040893,323,8
500.0,0.0014902,0.0069644,323,8
1000.0,0.002796,0.0093871,323,8
2000.0,0.005852,0.0136066,323,8
5000.0,0.0141532,0.0212426,323,8
10000.0,0.0287013,0.0302512,323,8
20000.0,0.0569051,0.0418277,323,8
50000.0,0.1424923,0.0668042,323,8
100000.0,0.2807184,0.0928109,323,8
100.0,0.0010754,0.0058294,273,4
200.0,0.0023048,0.0085803,273,4
500.0,0.0059643,0.0137652,273,4
1000.0,0.011017,0.0188444,273,4
2000.0,0.0225829,0.0268534,273,4
5000.0,0.0554445,0.0420285,273,4
10000.0,0.1101347,0.0508155,273,4
20000.0,0.2182598,0.07209409999999998,273,4
50000.0,0.5056006,0.1082062,273,4
100000.0,0.9270271000000002,0.1436704,273,4
100.0,0.0005717,0.0042698,298,4
200.0,0.0011492,0.0061512,298,4
500.0,0.003133,0.0102156,298,4
1000.0,0.0062853,0.014112,298,4
2000.0,0.0122079,0.0196438,298,4
5000.0,0.0315259,0.0313449,298,4
10000.0,0.0621793,0.0444829,298,4
20000.0,0.1213186,0.0539785,298,4
50000.0,0.2991847,0.0828016,298,4
100000.0,0.5639401,0.1109153,298,4
100.0,0.0003306,0.0032411,323,4
200.0,0.0007703999999999999,0.0050168,323,4
500.0,0.0021411,0.008299799999999998,323,4
1000.0,0.0038553,0.0110118,323,4
2000.0,0.007505699999999999,0.0154676,323,4
5000.0,0.0192187,0.0247917,323,4
10000.0,0.037696,0.0349636,323,4
20000.0,0.0775555,0.0497049,323,4
50000.0,0.1850387,0.0764292,323,4
100000.0,0.3577828,0.1055643,323,4
100.0,0.0010657,0.00584,273,7
200.0,0.0020609,0.008176499999999998,273,7
500.0,0.0051393,0.0128911,273,7
1000.0,0.0102145,0.0180208,273,7
2000.0,0.0204777,0.0254464,273,7
5000.0,0.0504881,0.0402849,273,7
10000.0,0.0998256,0.0478955,273,7
20000.0,0.1993878,0.0711032,273,7
50000.0,0.4760101,0.1041248,273,7
100000.0,0.870714,0.1364006,273,7
100.0,0.0005971,0.0043608,298,7
200.0,0.0011171,0.0059355,298,7
500.0,0.0029276,0.009688,298,7
1000.0,0.0058038,0.0137739,298,7
2000.0,0.011277,0.0188738,298,7
5000.0,0.0288474,0.0302647,298,7
10000.0,0.0563433,0.0424153,298,7
20000.0,0.1108955,0.0517604,298,7
50000.0,0.2797939,0.08264739999999998,298,7
100000.0,0.5270121,0.1065821,298,7
100.0,0.0003403,0.0032874,323,7
200.0,0.0006741,0.0047352,323,7
500.0,0.0017793,0.0075253,323,7
1000.0,0.0036852,0.0109624,323,7
2000.0,0.0068728,0.0148451,323,7
5000.0,0.0176811,0.023833,323,7
10000.0,0.0352435,0.0333341,323,7
20000.0,0.0685673,0.0465551,323,7
50000.0,0.1709111,0.0655289,323,7
100000.0,0.3357745,0.0885788,323,7
100.0,0.0014613,0.0068135,273,3
200.0,0.0028602,0.0096067,273,3
500.0,0.0072997,0.0153645,273,3
1000.0,0.0141667,0.0214441,273,3
2000.0,0.0287189,0.030407,273,3
5000.0,0.0700054,0.0480774,273,3
10000.0,0.1379821,0.0594425,273,3
20000.0,0.273928,0.08000599999999998,273,3
50000.0,0.6393428,0.1139042,273,3
100000.0,1.1551341,0.1539685,273,3
100.0,0.0008089,0.0050312,298,3
200.0,0.0015898,0.0071256,298,3
500.0,0.004003,0.0114375,298,3
1000.0,0.0075694,0.015568,298,3
2000.0,0.0155079,0.0223075,298,3
5000.0,0.0379046,0.0348543,298,3
10000.0,0.0765572,0.0495597,298,3
20000.0,0.1486942,0.0601426,298,3
50000.0,0.3622063,0.0946946,298,3
100000.0,0.6712008,0.119532,298,3
100.0,0.0004783,0.0039155,323,3
200.0,0.0009117,0.0054281,323,3
500.0,0.0023305,0.0085613,323,3
1000.0,0.0046996,0.0123397,323,3
2000.0,0.0090075,0.0169273,323,3
5000.0,0.022859,0.027106,323,3
10000.0,0.0459138,0.037957,323,3
20000.0,0.0909063,0.054029,323,3
50000.0,0.2248759,0.0722126,323,3
100000.0,0.4309534,0.1004359,323,3
