Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0007264,0.0062306,273,5
200.0,0.0014739,0.0088736,273,5
500.0,0.0035006,0.013346,273,5
1000.0,0.007438099999999999,0.0195787,273,5
2000.0,0.0142287,0.0272938,273,5
5000.0,0.0352006,0.0427244,273,5
10000.0,0.0705118,0.0599509,273,5
20000.0,0.1369861,0.07537109999999998,273,5
50000.0,0.2926542,0.1011454,273,5
100000.0,0.4940822,0.1150977,273,5
100.0,0.000279,0.0038939,298,5
200.0,0.0007422,0.006251,298,5
500.0,0.0015063,0.0088705,298,5
1000.0,0.0034111,0.0134621,298,5
2000.0,0.007117,0.019134,298,5
5000.0,0.0171502,0.0298548,298,5
10000.0,0.0348321,0.0421404,298,5
20000.0,0.0667743,0.0573275,298,5
50000.0,0.1574893,0.07890759999999998,298,5
100000.0,0.288345,0.0955077,298,5
100.0,0.0002071,0.0026876,323,5
200.0,0.0004001,0.0037256,323,5
500.0,0.0009581,0.0058254,323,5
1000.0,0.0019933,0.008376599999999998,323,5
2000.0,0.0037901,0.0115295,323,5
5000.0,0.0092928,0.0179863,323,5
10000.0,0.0185961,0.02558,323,5
20000.0,0.0356446,0.0351822,323,5
50000.0,0.0886604,0.0481908,323,5
100000.0,0.1672385,0.0638853,323,5
100.0,0.0006949,0.0060538,273,1
200.0,0.0015792,0.009132800000000002,273,1
500.0,0.0038849,0.0143539,273,1
1000.0,0.008233,0.0206535,273,1
2000.0,0.0168028,0.0295402,273,1
5000.0,0.0399699,0.0451409,273,1
10000.0,0.0778762,0.061923,273,1
20000.0,0.1464508,0.0752512,273,1
50000.0,0.3281022,0.1035295,273,1
100000.0,0.5423065,0.1193647,273,1
100.0,0.000358,0.0043261,298,1
200.0,0.0007847,0.0064224,298,1
500.0,0.0020582,0.010445,298,1
1000.0,0.0038025,0.0141857,298,1
2000.0,0.007675,0.0200961,298,1
5000.0,0.0192602,0.0314645,298,1
10000.0,0.0382906,0.0440072,298,1
20000.0,0.0745441,0.0608437,298,1
50000.0,0.1735816,0.07669009999999998,298,1
100000.0,0.3046088,0.0994347,298,1
100.0,0.0002176,0.0027547,323,1
200.0,0.000386,0.0036603,323,1
500.0,0.0011347,0.0063836,323,1
1000.0,0.0021161,0.0085864,323,1
2000.0,0.0040744,0.0120254,323,1
5000.0,0.0106299,0.0194809,323,1
10000.0,0.021737,0.0275243,323,1
20000.0,0.0414455,0.0376049,323,1
50000.0,0.0988446,0.0497644,323,1
100000.0,0.1828165,0.0654276,323,1
100.0,0.0007001,0.0060761,273,6
200.0,0.0012897,0.008171899999999998,273,6
500.0,0.0034006,0.0132991,273,6
1000.0,0.0066695,0.0185252,273,6
2000.0,0.0129548,0.0260841,273,6
5000.0,0.033791,0.0421736,273,6
10000.0,0.0653425,0.058397,273,6
20000.0,0.1244998,0.0701531,273,6
50000.0,0.2683291,0.0929939,273,6
100000.0,0.4563254,0.1134185,273,6
100.0,0.0003316,0.004165,298,6
200.0,0.0006106,0.0056366,298,6
500.0,0.0016213,0.009276,298,6
1000.0,0.0031058,0.0127775,298,6
2000.0,0.006459,0.0184049,298,6
5000.0,0.0164449,0.0291956,298,6
10000.0,0.0320264,0.0405177,298,6
20000.0,0.0628474,0.056281,298,6
50000.0,0.1469507,0.0753246,298,6
100000.0,0.2668604,0.0928056,298,6
100.0,0.0001948,0.0031961,323,6
200.0,0.0003211,0.0040988,323,6
500.0,0.0008901,0.0068681,323,6
1000.0,0.0017064,0.0094995,323,6
2000.0,0.0035374,0.0136342,323,6
5000.0,0.0087015,0.0213032,323,6
10000.0,0.0170871,0.029649,323,6
20000.0,0.0346742,0.0425253,323,6
