Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0004324,0.0046424,273,5
200.0,0.0008547,0.0065766,273,5
500.0,0.0021166,0.0101712,273,5
1000.0,0.0041579,0.0145072,273,5
2000.0,0.0081046,0.020036,273,5
5000.0,0.0199397,0.0314101,273,5
10000.0,0.0391051,0.043221,273,5
20000.0,0.0755254,0.0509903,273,5
50000.0,0.172187,0.0775299,273,5
100000.0,0.3026243,0.0973038,273,5
100.0,0.0002162,0.0032898,298,5
200.0,0.0004374,0.004669,298,5
500.0,0.0009201,0.0067388,298,5
1000.0,0.0019809,0.0098583,298,5
2000.0,0.004007,0.014269,298,5
5000.0,0.0106234,0.0228441,298,5
10000.0,0.0204877,0.031624,298,5
20000.0,0.0406284,0.0443937,298,5
50000.0,0.0948768,0.0583966,298,5
100000.0,0.179648,0.07868469999999998,298,5
100.0,0.0001307,0.0020891,323,5
200.0,0.0001978,0.0025669,323,5
500.0,0.0006,0.0044693,323,5
1000.0,0.0012133,0.0063674,323,5
2000.0,0.0023362,0.0088452,323,5
5000.0,0.0058991,0.0142213,323,5
10000.0,0.0119859,0.0201252,323,5
20000.0,0.0229697,0.0272477,323,5
50000.0,0.0570705,0.0376005,323,5
100000.0,0.1105077,0.0505635,323,5
100.0,0.0006385,0.0056298,273,1
200.0,0.0014329,0.0084858,273,1
500.0,0.00363,0.0134894,273,1
1000.0,0.0067974,0.01833,273,1
2000.0,0.0135948,0.0256501,273,1
5000.0,0.0337607,0.0405151,273,1
10000.0,0.0647712,0.0550151,273,1
20000.0,0.1262795,0.0658817,273,1
50000.0,0.2677639,0.0874244,273,1
100000.0,0.431498,0.1007172,273,1
100.0,0.0003469,0.0041618,298,1
200.0,0.0006636,0.005782,298,1
500.0,0.0017999,0.0096077,298,1
1000.0,0.0032479,0.0125819,298,1
2000.0,0.0069683,0.0187572,298,1
5000.0,0.0175063,0.0297336,298,1
10000.0,0.0343539,0.0405903,298,1
20000.0,0.0653745,0.0553434,298,1
50000.0,0.1507138,0.0689169,298,1
100000.0,0.2588988,0.0880682,298,1
100.0,0.0002078,0.0026734,323,1
200.0,0.000372,0.0035435,323,1
500.0,0.001039,0.0058478,323,1
1000.0,0.0021317,0.0085029,323,1
2000.0,0.0040221,0.0114844,323,1
5000.0,0.0095659,0.0178667,323,1
10000.0,0.0196313,0.0254702,323,1
20000.0,0.0373722,0.0345797,323,1
50000.0,0.0904273,0.0483711,323,1
100000.0,0.1619641,0.0615659,323,1
100.0,0.0003117,0.0039465,273,6
200.0,0.0007994,0.006289,273,6
500.0,0.0016843,0.0091853,273,6
1000.0,0.0039467,0.0141792,273,6
2000.0,0.007767699999999998,0.0194999,273,6
5000.0,0.017818,0.0296163,273,6
10000.0,0.0353218,0.0420107,273,6
20000.0,0.0691849,0.0567382,273,6
50000.0,0.1622976,0.0706509,273,6
100000.0,0.2800185,0.08773499999999998,273,6
100.0,0.0001911,0.003174,298,6
200.0,0.000362,0.0042507,298,6
500.0,0.0009553,0.0069007,298,6
1000.0,0.0018954,0.0097072,298,6
2000.0,0.0039819,0.0139808,298,6
5000.0,0.0093766,0.0216783,298,6
10000.0,0.0187625,0.0301986,298,6
20000.0,0.0381548,0.0428729,298,6
50000.0,0.0894419,0.0553672,298,6
100000.0,0.1626847,0.07221869999999998,298,6
100.0,0.0001257,0.0025107,323,6
200.0,0.0002765,0.0037183,323,6
500.0,0.0005933,0.0054755,323,6
1000.0,0.001172,0.007751199999999998,323,6
2000.0,0.002187,0.0104022,323,6
5000.0,0.0057365,0.0169217,323,6
10000.0,0.0114278,0.0236692,323,6
20000.0,0.0224032,0.0331078,323,6
50000.0,0.055103,0.0509602,323,6
100000.0,0.1031473,0.0614781,323,6
100.0,0.0007039,0.005992,273,2
200.0,0.0012117,0.0077757,273,2
500.0,0.0033283,0.0128788,273,2
1000.0,0.0060432,0.0172963,273,2
2000.0,0.0125641,0.0252611,273,2
5000.0,0.0310307,0.0389071,273,2
10000.0,0.0606687,0.0538962,273,2
20000.0,0.1171342,0.0650771,273,2
50000.0,0.247662,0.084857,273,2
100000.0,0.3997233,0.0990573,273,2
100.0,0.0003167,0.003978,298,2
200.0,0.0006891,0.0058888,298,2
500.0,0.0017002,0.0091985,298,2
1000.0,0.0033685,0.012829,298,2
2000.0,0.0063732,0.0179525,298,2
5000.0,0.0164454,0.0283296,298,2
10000.0,0.0315033,0.038995,298,2
20000.0,0.0613926,0.0538126,298,2
50000.0,0.1403267,0.0706346,298,2
100000.0,0.2452337,0.0874154,298,2
100.0,0.000176,0.0029692,323,2
200.0,0.0003419,0.0041318,323,2
500.0,0.0008095,0.0063676,323,2
1000.0,0.0016792,0.0091449,323,2
2000.0,0.0037104,0.0136354,323,2
5000.0,0.0091805,0.0214756,323,2
10000.0,0.0178431,0.029417,323,2
20000.0,0.033724,0.0402921,323,2
50000.0,0.08234289999999998,0.0615761,323,2
100000.0,0.1550699,0.07474759999999998,323,2
100.0,0.0003486,0.0034658,273,8
200.0,0.000781,0.0051005,273,8
500.0,0.0017673,0.007683299999999999,273,8
1000.0,0.0035663,0.0109063,273,8
2000.0,0.007276699999999999,0.0154388,273,8
5000.0,0.0177441,0.0240519,273,8
10000.0,0.0348617,0.0336229,273,8
20000.0,0.0690296,0.0411791,273,8
50000.0,0.157035,0.057644,273,8
100000.0,0.2772179,0.0720774,273,8
100.0,0.0002179,0.0026935,298,8
200.0,0.0004592,0.0038962,298,8
500.0,0.000848,0.0053271,298,8
1000.0,0.0018971,0.007903099999999998,298,8
2000.0,0.0037171,0.011157,298,8
5000.0,0.009639300000000002,0.0177662,298,8
10000.0,0.0187733,0.0243641,298,8
20000.0,0.0360851,0.0342033,298,8
50000.0,0.0877898,0.0461245,298,8
100000.0,0.1635763,0.0620909,298,8
100.0,0.0001073,0.001893,323,8
200.0,0.0002011,0.0025885,323,8
500.0,0.0005396,0.0042451,323,8
1000.0,0.0011362,0.006194,323,8
2000.0,0.0022725,0.0086631,323,8
5000.0,0.0055237,0.0137153,323,8
10000.0,0.0110877,0.0190365,323,8
20000.0,0.0218837,0.0270648,323,8
50000.0,0.0525423,0.0406301,323,8
100000.0,0.1021484,0.0561332,323,8
100.0,0.0006804,0.0047268,273,4
200.0,0.0012938,0.0065433,273,4
500.0,0.0030032,0.0101759,273,4
1000.0,0.0062578,0.0145655,273,4
2000.0,0.0121535,0.0201698,273,4
5000.0,0.0300821,0.031385,273,4
10000.0,0.0600335,0.0387098,273,4
20000.0,0.1108932,0.0536144,273,4
50000.0,0.2385914,0.0701298,273,4
100000.0,0.4019572,0.07893809999999998,273,4
100.0,0.0003184,0.0032513,298,4
200.0,0.0005497,0.004257,298,4
500.0,0.0014554,0.0069614,298,4
1000.0,0.0033417,0.0105652,298,4
2000.0,0.0065427,0.0146137,298,4
5000.0,0.0162106,0.0231696,298,4
10000.0,0.0311212,0.0317479,298,4
20000.0,0.0603955,0.0380437,298,4
50000.0,0.1340506,0.0549387,298,4
100000.0,0.2414446,0.0689095,298,4
100.0,0.0002179,0.0026935,323,4
200.0,0.0003084,0.0032695,323,4
500.0,0.0008614,0.0053249,323,4
1000.0,0.0018435,0.0078445,323,4
2000.0,0.0035696,0.0108381,323,4
5000.0,0.0092576,0.0173553,323,4
10000.0,0.0180526,0.0243853,323,4
20000.0,0.0350494,0.0339739,323,4
50000.0,0.0836567,0.0502584,323,4
100000.0,0.149519,0.0649107,323,4
100.0,0.000362,0.0034967,273,7
200.0,0.0008681,0.0053659,273,7
500.0,0.0020613,0.008299799999999998,273,7
1000.0,0.0038914,0.0114266,273,7
2000.0,0.0079672,0.0163585,273,7
5000.0,0.020362,0.0260241,273,7
10000.0,0.0383241,0.035447,273,7
