Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0008461,0.0048179,273,5
200.0,0.0016903,0.00685,273,5
500.0,0.0039991,0.0104894,273,5
1000.0,0.0084944,0.0152763,273,5
2000.0,0.0164375,0.0212151,273,5
5000.0,0.0409984,0.0334213,273,5
10000.0,0.0797606,0.0455162,273,5
20000.0,0.1540862,0.0588844,273,5
50000.0,0.3562205,0.08179999999999998,273,5
100000.0,0.6125746,0.0994287,273,5
100.0,0.0004465,0.0034794,298,5
200.0,0.0008737,0.0049222,298,5
500.0,0.0022545,0.007897599999999998,298,5
1000.0,0.0043299,0.010963,298,5
2000.0,0.0088775,0.0155067,298,5
5000.0,0.022297,0.0247363,298,5
10000.0,0.0443955,0.0348703,298,5
20000.0,0.0874516,0.0480946,298,5
50000.0,0.2072958,0.0643417,298,5
100000.0,0.3850268,0.0825728,298,5
100.0,0.0002591,0.0026596,323,5
200.0,0.0005595,0.0039257,323,5
500.0,0.0013946,0.006153,323,5
1000.0,0.0026845,0.0086856,323,5
2000.0,0.0053965,0.0121163,323,5
5000.0,0.0135972,0.0193612,323,5
10000.0,0.0268942,0.027156,323,5
20000.0,0.0530801,0.0376027,323,5
50000.0,0.1272885,0.0518046,323,5
100000.0,0.2454763,0.0691021,323,5
100.0,0.0006256,0.0041603,273,1
200.0,0.0012127,0.0057855,273,1
500.0,0.002938,0.0089663,273,1
1000.0,0.0059532,0.0127362,273,1
2000.0,0.0118513,0.017974,273,1
5000.0,0.0287628,0.0279566,273,1
10000.0,0.0580769,0.0392987,273,1
20000.0,0.1127555,0.0474801,273,1
50000.0,0.2674508,0.0735104,273,1
100000.0,0.4795175,0.0898916,273,1
100.0,0.00035,0.0031107,298,1
200.0,0.0006615,0.0043073,298,1
500.0,0.0016344,0.0067838,298,1
1000.0,0.0032412,0.0094503,298,1
2000.0,0.0067249,0.013616,298,1
5000.0,0.0166442,0.0212097,298,1
10000.0,0.0333299,0.0302397,298,1
20000.0,0.0651546,0.0415937,298,1
50000.0,0.1559805,0.0577512,298,1
100000.0,0.2971976,0.0764794,298,1
100.0,0.0001819,0.0022317,323,1
200.0,0.0004162,0.0033836,323,1
500.0,0.0009729,0.0052333,323,1
1000.0,0.0019624,0.0073403,323,1
2000.0,0.0041342,0.0105707,323,1
5000.0,0.0105284,0.0168524,323,1
10000.0,0.0201362,0.0234776,323,1
20000.0,0.0402062,0.0330746,323,1
50000.0,0.100364,0.0448869,323,1
100000.0,0.1906985,0.0631157,323,1
100.0,0.0008658999999999999,0.0048706,273,6
200.0,0.0018411,0.0070987,273,6
500.0,0.0044374,0.0112116,273,6
1000.0,0.0090263,0.0158864,273,6
2000.0,0.0184963,0.0225787,273,6
5000.0,0.0453602,0.0351871,273,6
10000.0,0.0880413,0.0421474,273,6
20000.0,0.1720926,0.0564829,273,6
50000.0,0.3876736,0.08421249999999998,273,6
100000.0,0.6712507,0.106259,273,6
100.0,0.0005099,0.0037748,298,6
200.0,0.0009458,0.0051518,298,6
500.0,0.0024419,0.0081829,298,6
1000.0,0.0049059,0.0116449,298,6
2000.0,0.0096023,0.0162685,298,6
5000.0,0.0239479,0.025337,298,6
10000.0,0.0486978,0.0366425,298,6
20000.0,0.0947222,0.0434856,298,6
50000.0,0.2203488,0.06478,298,6
100000.0,0.4154195,0.08345089999999998,298,6
100.0,0.0002756,0.0027423,323,6
200.0,0.0006256,0.0041785,323,6
500.0,0.0014855,0.0064162,323,6
1000.0,0.0029408,0.008978099999999998,323,6
2000.0,0.0059091,0.0127746,323,6
5000.0,0.0149767,0.0201275,323,6
10000.0,0.0285616,0.0283221,323,6
20000.0,0.0577462,0.0398727,323,6
50000.0,0.1376707,0.0536644,323,6
100000.0,0.2639506,0.0717998,323,6
100.0,0.0006535,0.0042115,273,2
200.0,0.0013174,0.0059951,273,2
500.0,0.0034451,0.00979,273,2
1000.0,0.0065871,0.0134537,273,2
2000.0,0.0130567,0.0190117,273,2
5000.0,0.0323513,0.0298552,273,2
10000.0,0.063749,0.0412353,273,2
20000.0,0.1230064,0.0499269,273,2
50000.0,0.2942865,0.0723097,273,2
100000.0,0.5296322,0.0905699,273,2
100.0,0.0004051,0.003317,298,2
200.0,0.0006973,0.0044149,298,2
500.0,0.0017694,0.0069221,298,2
1000.0,0.0035912,0.0101387,298,2
2000.0,0.0072045,0.0140067,298,2
5000.0,0.0183943,0.0227472,298,2
