Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.07938879999999998,0.0451227,273,5
200.0,0.1483082,0.0603927,273,5
500.0,0.343669,0.08723609999999998,273,5
1000.0,0.6214568,0.09974740000000001,273,5
2000.0,1.0115899,0.1258498,273,5
5000.0,1.5503898,0.1114085,273,5
10000.0,1.8785168,0.1015356,273,5
20000.0,2.1090459,0.08735289999999998,273,5
50000.0,2.415228,0.0945557,273,5
100000.0,2.6337151,0.08475879999999998,273,5
1000000.0,3.351528,0.1250864,273,5
100.0,0.0214934,0.0236488,298,5
200.0,0.0418021,0.0323774,298,5
500.0,0.0984051,0.0500684,298,5
1000.0,0.1967353,0.0697691,298,5
2000.0,0.3717765,0.0937412,298,5
5000.0,0.7744989,0.12147,298,5
10000.0,1.1911879,0.1247832,298,5
20000.0,1.5947332,0.1171207,298,5
50000.0,2.0026925,0.1013344,298,5
100000.0,2.2323693,0.0926439,298,5
1000000.0,3.102035,0.0667521,298,5
100.0,0.0067945,0.0152296,323,5
200.0,0.0136878,0.0212425,323,5
500.0,0.0335404,0.0295162,323,5
1000.0,0.0650486,0.0404009,323,5
2000.0,0.1347804,0.0559747,323,5
5000.0,0.316895,0.0817081,323,5
10000.0,0.5526636,0.106205,323,5
20000.0,0.9100626,0.1097709,323,5
50000.0,1.4720623,0.1168713,323,5
100000.0,1.799454,0.1130074,323,5
1000000.0,2.6681345,0.0922787,323,5
100.0,0.08000269999999998,0.045152,273,1
200.0,0.1540618,0.0606665,273,1
500.0,0.371528,0.0929551,273,1
1000.0,0.6294857,0.1131957,273,1
2000.0,1.0206555,0.1392218,273,1
5000.0,1.6318414,0.1132142,273,1
10000.0,1.9568669,0.1092627,273,1
20000.0,2.2804503,0.1098027,273,1
50000.0,2.6991132,0.0898804,273,1
100000.0,2.9912225,0.0940832,273,1
1000000.0,3.605335,0.1353183,273,1
100.0,0.0217691,0.0239351,298,1
200.0,0.0459789,0.0340628,298,1
500.0,0.1117185,0.0528244,298,1
1000.0,0.2111039,0.0714338,298,1
2000.0,0.3886845,0.092557,298,1
5000.0,0.7854694,0.1178227,298,1
10000.0,1.2343111,0.1318959,298,1
20000.0,1.6621753,0.1240979,298,1
50000.0,2.0991933,0.0993785,298,1
100000.0,2.4143621,0.08712609999999998,298,1
1000000.0,3.3544535,0.1382079,298,1
100.0,0.0074788,0.0159967,323,1
200.0,0.0147805,0.0224791,323,1
500.0,0.0377002,0.0319167,323,1
1000.0,0.0706993,0.0439278,323,1
2000.0,0.1418582,0.0598786,323,1
5000.0,0.333327,0.08953759999999998,323,1
10000.0,0.5981326,0.1148746,323,1
20000.0,0.935398,0.1188529,323,1
50000.0,1.5420939,0.1288478,323,1
100000.0,1.9134537,0.1122887,323,1
1000000.0,2.9660955,0.1225052,323,1
100.0,0.015012,0.0226498,273,6
200.0,0.0290538,0.0266778,273,6
500.0,0.0746242,0.0433557,273,6
1000.0,0.1413374,0.0594858,273,6
2000.0,0.2844604,0.0898399,273,6
5000.0,0.6410884,0.1114427,273,6
10000.0,1.0529859,0.1306654,273,6
20000.0,1.6487987,0.1464312,273,6
50000.0,2.3452006,0.1433217,273,6
100000.0,2.8588809,0.1193985,273,6
1000000.0,3.920395,0.0702962,273,6
100.0,0.0047317,0.0126492,298,6
200.0,0.0093612,0.0178308,298,6
500.0,0.023689,0.0281042,298,6
1000.0,0.048355,0.036127,298,6
2000.0,0.0957329,0.0491308,298,6
5000.0,0.2294962,0.07608829999999998,298,6
10000.0,0.4279778,0.1016371,298,6
20000.0,0.7438371999999999,0.1259325,298,6
50000.0,1.4350167,0.1448247,298,6
100000.0,1.9549265,0.1378264,298,6
1000000.0,3.4707415,0.1062416,298,6
100.0,0.0018756,0.0080313,323,6
200.0,0.0037853,0.0112301,323,6
500.0,0.0093953,0.0177085,323,6
1000.0,0.0188688,0.0248207,323,6
2000.0,0.0367382,0.0308143,323,6
5000.0,0.08936049999999998,0.0477645,323,6
10000.0,0.1784078,0.0658774,323,6
20000.0,0.3456861,0.09056620000000001,323,6
50000.0,0.7389734999999998,0.1218415,323,6
100000.0,1.1875255,0.1387483,323,6
1000000.0,2.9176707,0.1155522,323,6
100.0,0.0168536,0.0237988,273,2
200.0,0.0344459,0.0292158,273,2
500.0,0.085136,0.0474943,273,2
1000.0,0.1661225,0.0631346,273,2
2000.0,0.3320168,0.090977,273,2
5000.0,0.7193555,0.1164227,273,2
10000.0,1.2117938,0.1496344,273,2
20000.0,1.8825292,0.1497792,273,2
50000.0,2.6920208,0.1332841,273,2
100000.0,3.2029449,0.1154833,273,2
1000000.0,4.123125,0.0486296,273,2
100.0,0.0057291,0.0142311,298,2
200.0,0.0112845,0.0195493,298,2
500.0,0.0281075,0.0266731,298,2
1000.0,0.0572328,0.0395691,298,2
2000.0,0.1070923,0.0514611,298,2
5000.0,0.2620511,0.0806322,298,2
10000.0,0.4951391,0.1048474,298,2
20000.0,0.8687939,0.1292207,298,2
50000.0,1.6224348,0.1572084,298,2
100000.0,2.2838966,0.1508364,298,2
1000000.0,3.7561615,0.1138441,298,2
100.0,0.002182,0.008597699999999998,323,2
200.0,0.0044343,0.0123162,323,2
500.0,0.0110326,0.0196749,323,2
1000.0,0.0211291,0.0269983,323,2
2000.0,0.042425,0.0333441,323,2
5000.0,0.1038108,0.0499013,323,2
10000.0,0.2067117,0.0711704,323,2
20000.0,0.3887867,0.0918714,323,2
50000.0,0.8413956,0.1255998,323,2
100000.0,1.3495425,0.1505642,323,2
1000000.0,3.2308705,0.1298831,323,2
100.0,0.0084115,0.0167473,273,8
200.0,0.0165711,0.0239601,273,8
500.0,0.0421051,0.0329568,273,8
1000.0,0.0834962,0.046066,273,8
2000.0,0.162715,0.0653625,273,8
5000.0,0.3832084,0.096651,273,8
10000.0,0.6860258,0.1184854,273,8
20000.0,1.132228,0.1274758,273,8
50000.0,1.7536745,0.1328004,273,8
100000.0,2.2579238,0.1257914,273,8
1000000.0,3.7468395,0.1149017,273,8
100.0,0.0029479,0.009942,298,8
200.0,0.0058754,0.0140852,298,8
500.0,0.0141678,0.0219498,298,8
1000.0,0.0279883,0.0310945,298,8
2000.0,0.0574473,0.0395885,298,8
5000.0,0.1432811,0.0596904,298,8
10000.0,0.2704234,0.0817336,298,8
20000.0,0.5158442,0.1047868,298,8
50000.0,0.9705282,0.126968,298,8
100000.0,1.493388,0.134911,298,8
1000000.0,3.0796004,0.1520496,298,8
100.0,0.0011273,0.0062044,323,8
200.0,0.0024203,0.0090861,323,8
500.0,0.0060252,0.0141616,323,8
1000.0,0.0114877,0.019821,323,8
2000.0,0.0238864,0.0285277,323,8
5000.0,0.0587634,0.0450675,323,8
10000.0,0.1125218,0.0602951,323,8
20000.0,0.2199477,0.084485,323,8
50000.0,0.4950177,0.1184397,323,8
100000.0,0.8388637,0.1407066,323,8
1000000.0,2.4490276,0.1711496,323,8
100.0,0.0091229,0.0175162,273,4
200.0,0.017994,0.0249262,273,4
500.0,0.0458972,0.0343869,273,4
1000.0,0.08758019999999998,0.0467024,273,4
2000.0,0.1734088,0.064497,273,4
5000.0,0.4225049,0.09727980000000001,273,4
10000.0,0.7528426999999999,0.1184413,273,4
20000.0,1.2387051,0.139394,273,4
50000.0,2.0088679,0.1419757,273,4
100000.0,2.6376861,0.1437232,273,4
1000000.0,3.981582,0.0784456,273,4
100.0,0.0032713,0.0104625,298,4
200.0,0.0066175,0.0149007,298,4
500.0,0.0160026,0.0233845,298,4
1000.0,0.0318928,0.0325463,298,4
2000.0,0.0640648,0.041293,298,4
5000.0,0.1526559,0.0625678,298,4
10000.0,0.2925159,0.0821346,298,4
20000.0,0.5517469,0.1107371,298,4
50000.0,1.0839085,0.1490097,298,4
100000.0,1.6597832,0.1420033,298,4
1000000.0,3.5157532,0.1184389,298,4
100.0,0.0013684,0.0067897,323,4
200.0,0.0025224,0.0092857,323,4
500.0,0.0065833,0.0149326,323,4
1000.0,0.0131602,0.0209991,323,4
2000.0,0.0265038,0.0300581,323,4
5000.0,0.0646639,0.0464843,323,4
10000.0,0.1254607,0.0637222,323,4
20000.0,0.2458732,0.08475009999999998,323,4
50000.0,0.5823819,0.1226681,323,4
100000.0,0.9391241,0.1512148,323,4
1000000.0,2.7827219,0.1679286,323,4
100.0,0.2115535,0.07799699999999998,273,7
200.0,0.3971777,0.08659229999999998,273,7
500.0,0.8169823,0.12004,273,7
1000.0,1.2261676,0.1244664,273,7
2000.0,1.5976738,0.1132496,273,7
5000.0,1.9192908,0.0807962,273,7
10000.0,2.0601691,0.0616457,273,7
20000.0,2.1494405,0.0462784,273,7
50000.0,2.2208857,0.0477024,273,7
100000.0,2.3017235,0.0435956,273,7
1000000.0,2.6987059,0.0533496,273,7
100.0,0.051868,0.035181,298,7
200.0,0.1006654,0.0534488,298,7
500.0,0.2561318,0.0829083,298,7
1000.0,0.4624743,0.0973755,298,7
2000.0,0.7845045,0.1153871,298,7
5000.0,1.278473,0.1332863,298,7
10000.0,1.6799559,0.1019263,298,7
20000.0,1.907362,0.08349289999999998,298,7
50000.0,2.0828571,0.0625964,298,7
100000.0,2.1710977,0.0538027,298,7
1000000.0,2.5827595,0.0934648,298,7
100.0,0.0152367,0.0225815,323,7
200.0,0.0316988,0.0293831,323,7
500.0,0.0766565,0.0434011,323,7
1000.0,0.1507983,0.0623992,323,7
2000.0,0.2880372,0.0811457,323,7
5000.0,0.640412,0.1045966,323,7
10000.0,0.9807945,0.1363199,323,7
20000.0,1.4344972,0.1206072,323,7
