Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0009839,0.0075037,273,5
200.0,0.0017376,0.0099804,273,5
500.0,0.0045743,0.0160467,273,5
1000.0,0.009114,0.0230086,273,5
2000.0,0.0167979,0.0308756,273,5
5000.0,0.0432914,0.0491769,273,5
10000.0,0.0863469,0.0597493,273,5
20000.0,0.1666754,0.083414,273,5
50000.0,0.3903765,0.1176359,273,5
100000.0,0.6808502,0.1526488,273,5
100.0,0.0004373,0.0049969,298,5
200.0,0.0008803,0.0071555,298,5
500.0,0.0019448,0.0106184,298,5
1000.0,0.0040104,0.0151623,298,5
2000.0,0.0078366,0.0211915,298,5
5000.0,0.020915,0.0355511,298,5
10000.0,0.0402218,0.0475032,298,5
20000.0,0.0827911,0.059953,298,5
50000.0,0.1943741,0.08955449999999998,298,5
100000.0,0.3672286,0.1213411,298,5
100.0,0.0001496,0.00293,323,5
200.0,0.0003452,0.0044435,323,5
500.0,0.001122,0.007955999999999998,323,5
1000.0,0.0020541,0.0108905,323,5
2000.0,0.0044189,0.0158727,323,5
5000.0,0.0108459,0.0250912,323,5
10000.0,0.0222901,0.0359747,323,5
20000.0,0.043769,0.0497439,323,5
50000.0,0.1124748,0.0685824,323,5
100000.0,0.2087355,0.09577020000000001,323,5
100.0,0.0016168,0.009646900000000002,273,1
200.0,0.0032336,0.0136937,273,1
500.0,0.0078194,0.021049,273,1
1000.0,0.0167116,0.0307128,273,1
2000.0,0.0338322,0.0439573,273,1
5000.0,0.078142,0.057828,273,1
10000.0,0.1548802,0.0783486,273,1
20000.0,0.278454,0.1050252,273,1
50000.0,0.6457694,0.1478129,273,1
100000.0,1.0926825,0.1707206,273,1
100.0,0.0006332,0.0060028,298,1
200.0,0.0014097,0.0090427,298,1
500.0,0.0036537,0.0144496,298,1
1000.0,0.0073418,0.020482,298,1
2000.0,0.0150174,0.0293205,298,1
5000.0,0.0367724,0.0454895,298,1
10000.0,0.07264719999999998,0.0542121,298,1
20000.0,0.1445579,0.07419009999999998,298,1
