Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0112387,0.0230228,273,5
200.0,0.0224095,0.0324858,273,5
500.0,0.0556695,0.0513357,273,5
1000.0,0.1121084,0.0719903,273,5
2000.0,0.2265469,0.0901931,273,5
5000.0,0.5801837,0.1412634,273,5
10000.0,1.1829158,0.1993221,273,5
20000.0,2.5499094,0.3210885,273,5
50000.0,7.488004499999999,0.5349486,273,5
100000.0,12.5095787,0.400025,273,5
1000000.0,18.419592,0.2573512,273,5
100.0,0.0050686,0.0154797,298,5
200.0,0.0104064,0.0223553,298,5
500.0,0.0264767,0.0356179,298,5
1000.0,0.052649,0.0501953,298,5
2000.0,0.1058359,0.0712311,298,5
5000.0,0.2651542,0.0956995,298,5
10000.0,0.5416422,0.1391617,298,5
20000.0,1.0490629,0.1964272,298,5
50000.0,2.8463193,0.323115,298,5
100000.0,5.9483808,0.4624998,298,5
1000000.0,15.9622984,0.2529332,298,5
100.0,0.002905,0.0093917,323,5
200.0,0.0055205,0.0131502,323,5
500.0,0.0141185,0.0210036,323,5
1000.0,0.0281725,0.0301777,323,5
2000.0,0.0572803,0.0425139,323,5
5000.0,0.1405118,0.0577963,323,5
10000.0,0.2835516,0.08252679999999998,323,5
20000.0,0.5570336,0.1115255,323,5
50000.0,1.4040367,0.185283,323,5
100000.0,2.8806205,0.2688491,323,5
1000000.0,13.3984223,0.2463502,323,5
100.0,0.0124533,0.0243613,273,1
200.0,0.0252249,0.0347459,273,1
500.0,0.0625945,0.0548894,273,1
1000.0,0.1236869,0.0664739,273,1
2000.0,0.2532928,0.0944311,273,1
5000.0,0.6551432,0.1499649,273,1
10000.0,1.2775506,0.2251341,273,1
20000.0,2.7722508,0.3286392,273,1
50000.0,7.970206199999998,0.5274968,273,1
100000.0,12.8027423,0.3887903,273,1
1000000.0,18.8016726,0.2082981,273,1
100.0,0.0059047,0.0166055,298,1
200.0,0.0113984,0.0231452,298,1
500.0,0.0282292,0.0368052,298,1
1000.0,0.0573559,0.0521611,298,1
2000.0,0.1178342,0.0643493,298,1
5000.0,0.2857994,0.1004078,298,1
10000.0,0.6000382,0.1438115,298,1
20000.0,1.155791,0.2096504,298,1
50000.0,3.0784304,0.3339221,298,1
100000.0,6.3540489,0.4634293,298,1
1000000.0,16.2532459,0.2764508,298,1
100.0,0.0031933,0.0100832,323,1
200.0,0.0060464,0.0137751,323,1
500.0,0.0150027,0.0216411,323,1
1000.0,0.0299612,0.0307627,323,1
