Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0863889,0.0518031,273,5
200.0,0.1711551,0.07277119999999998,273,5
500.0,0.4011448,0.112152,273,5
1000.0,0.7360993999999998,0.1369031,273,5
2000.0,1.2639593,0.1804643,273,5
5000.0,2.4408586,0.2134339,273,5
10000.0,3.4749536,0.2073494,273,5
20000.0,4.5309118,0.2045331,273,5
50000.0,5.5856316,0.1582095,273,5
100000.0,6.1899612,0.1541048,273,5
1000000.0,7.467551399999999,0.1269101,273,5
100.0,0.0280614,0.0347307,298,5
200.0,0.0550954,0.0492482,298,5
500.0,0.1390944,0.0693815,298,5
1000.0,0.2647931,0.0931861,298,5
2000.0,0.5078919,0.1284876,298,5
5000.0,1.0758485,0.1669529,298,5
10000.0,1.8189533,0.2006254,298,5
20000.0,2.7564893,0.2187211,298,5
50000.0,4.1114615,0.2025023,298,5
100000.0,4.990642,0.185023,298,5
1000000.0,6.8605549,0.1186906,298,5
100.0,0.0109099,0.0218804,323,5
200.0,0.0220426,0.0315819,323,5
500.0,0.0543899,0.048607,323,5
1000.0,0.1070249,0.0594713,323,5
2000.0,0.2118494,0.08118659999999998,323,5
5000.0,0.496817,0.1230882,323,5
10000.0,0.8870158,0.1555724,323,5
20000.0,1.4813627,0.190521,323,5
50000.0,2.6578365,0.2129063,323,5
100000.0,3.689947,0.2089326,323,5
1000000.0,6.2068027,0.1486152,323,5
100.0,0.1498048,0.0737184,273,1
200.0,0.2909452,0.0967806,273,1
500.0,0.6546729,0.1393499,273,1
1000.0,1.1508965,0.1700309,273,1
2000.0,1.9309227,0.2038266,273,1
5000.0,3.3175051,0.2224151,273,1
10000.0,4.3585535,0.194646,273,1
20000.0,5.2666552,0.1861933,273,1
50000.0,6.1812323,0.1511292,273,1
100000.0,6.6938872,0.1372756,273,1
1000000.0,7.877769899999999,0.1193738,273,1
100.0,0.0475174,0.0454982,298,1
200.0,0.0936732,0.0633439,298,1
500.0,0.2283935,0.0843233,298,1
1000.0,0.4412395,0.1136016,298,1
2000.0,0.7923369999999998,0.1501064,298,1
5000.0,1.6253502,0.1872118,298,1
10000.0,2.5345324,0.2210752,298,1
20000.0,3.5897141,0.2228355,298,1
50000.0,4.8443019,0.1970549,298,1
100000.0,5.6120243,0.1811066,298,1
1000000.0,7.330796999999999,0.124372,298,1
100.0,0.0178537,0.0279208,323,1
200.0,0.0361086,0.0401062,323,1
500.0,0.08805119999999998,0.0625775,323,1
1000.0,0.1734524,0.0784954,323,1
2000.0,0.3329083,0.0978584,323,1
5000.0,0.754954,0.141102,323,1
10000.0,1.2948831,0.1810672,323,1
20000.0,2.0936749,0.202637,323,1
50000.0,3.4098829,0.2199898,323,1
100000.0,4.3716601,0.2004972,323,1
1000000.0,6.6522395,0.1450832,323,1
100.0,0.1471195,0.0649645,273,6
200.0,0.2816987,0.0919377,273,6
500.0,0.6110226,0.1228058,273,6
1000.0,1.0232493,0.1564165,273,6
2000.0,1.594148,0.170733,273,6
5000.0,2.6602972,0.1921242,273,6
10000.0,3.6810604,0.2106999,273,6
20000.0,4.6986181,0.205588,273,6
50000.0,5.8000749,0.1775797,273,6
100000.0,6.4351811,0.1737406,273,6
1000000.0,7.6095116,0.1148377,273,6
100.0,0.0473938,0.0456013,298,6
200.0,0.0928707,0.0565594,298,6
500.0,0.2214046,0.08336789999999998,298,6
1000.0,0.4058408,0.1052001,298,6
2000.0,0.7057064,0.129332,298,6
5000.0,1.3543221,0.164256,298,6
10000.0,2.0601828,0.1939863,298,6
20000.0,2.9207232,0.2065764,298,6
50000.0,4.2639259,0.1996104,298,6
100000.0,5.1716518,0.1923938,298,6
1000000.0,7.0313742,0.1261514,298,6
100.0,0.0176508,0.0277217,323,6
