Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0004197,0.0040358,273,5
200.0,0.0009689,0.0062132,273,5
500.0,0.0026242,0.01014,273,5
1000.0,0.0053896,0.0145675,273,5
2000.0,0.0109361,0.0207143,273,5
5000.0,0.0262236,0.0320504,273,5
10000.0,0.0526445,0.0450849,273,5
20000.0,0.1021864,0.0637091,273,5
50000.0,0.255882,0.0889528,273,5
100000.0,0.5005721,0.120422,273,5
100.0,0.0003177,0.003516,298,5
200.0,0.0005805,0.0047365,298,5
500.0,0.0015259,0.0076853,298,5
1000.0,0.0032361,0.0112389,298,5
2000.0,0.0067429,0.0160753,298,5
5000.0,0.0166826,0.0255062,298,5
10000.0,0.0331887,0.0355811,298,5
20000.0,0.0650135,0.0502718,298,5
50000.0,0.1641351,0.0692382,298,5
100000.0,0.3202408,0.0998881,298,5
100.0,0.0002458,0.0025771,323,5
200.0,0.0004759,0.0034956,323,5
500.0,0.0010617,0.0052138,323,5
1000.0,0.0023038,0.0078945,323,5
2000.0,0.0043959,0.010834,323,5
5000.0,0.0112054,0.0172689,323,5
10000.0,0.0225136,0.0240112,323,5
20000.0,0.04416,0.0336983,323,5
50000.0,0.1110238,0.0462009,323,5
100000.0,0.2171523,0.0686773,323,5
100.0,0.0005335,0.0046105,273,1
200.0,0.0011375,0.0066981,273,1
500.0,0.0025889,0.0101414,273,1
1000.0,0.0057455,0.0150919,273,1
2000.0,0.0111989,0.0208667,273,1
5000.0,0.0279717,0.0333806,273,1
10000.0,0.0543744,0.0467862,273,1
20000.0,0.1089606,0.0647758,273,1
50000.0,0.2707363,0.0951705,273,1
100000.0,0.5267982,0.1213232,273,1
100.0,0.0003295,0.0035799,298,1
200.0,0.0006825,0.0052182,298,1
500.0,0.0018494,0.0085514,298,1
1000.0,0.0032675,0.0112845,298,1
2000.0,0.0070292,0.0166645,298,1
5000.0,0.0174632,0.0263132,298,1
10000.0,0.0350205,0.0370366,298,1
