Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0008561,0.0062017,273,5
200.0,0.0017452,0.0089791,273,5
500.0,0.0044637,0.0143022,273,5
1000.0,0.0090419,0.0202111,273,5
2000.0,0.0175202,0.0282109,273,5
5000.0,0.0452276,0.0450978,273,5
10000.0,0.08904059999999998,0.0635303,273,5
20000.0,0.1775409,0.0778733,273,5
50000.0,0.4324482,0.1217726,273,5
100000.0,0.8087649999999998,0.1531757,273,5
100.0,0.0005542,0.0050067,298,5
200.0,0.0010484,0.0068482,298,5
500.0,0.0025821,0.0109128,298,5
1000.0,0.0053381,0.0158859,298,5
2000.0,0.0107129,0.02192,298,5
5000.0,0.027034,0.035267,298,5
10000.0,0.0539261,0.0487536,298,5
20000.0,0.1065749,0.0697291,298,5
50000.0,0.2651943,0.0967897,298,5
100000.0,0.516146,0.1322382,298,5
100.0,0.0003571,0.003282,323,5
200.0,0.000705,0.0047052,323,5
500.0,0.0017702,0.007378,323,5
1000.0,0.003516,0.0102928,323,5
2000.0,0.0071572,0.0146409,323,5
5000.0,0.0173543,0.0230569,323,5
10000.0,0.0354435,0.0330867,323,5
20000.0,0.072634,0.0469047,323,5
50000.0,0.1740127,0.063382,323,5
100000.0,0.3446895,0.090457,323,5
100.0,0.0009797,0.0066568,273,1
200.0,0.0017717,0.0089247,273,1
500.0,0.0048254,0.0148977,273,1
1000.0,0.0096462,0.0210648,273,1
2000.0,0.0190177,0.0293874,273,1
5000.0,0.0478921,0.0470321,273,1
10000.0,0.0950837,0.0657246,273,1
20000.0,0.1868987,0.07912679999999998,273,1
50000.0,0.4564187,0.1255778,273,1
100000.0,0.8585545,0.1575283,273,1
100.0,0.0005448,0.0050481,298,1
200.0,0.0011537,0.0072625,298,1
500.0,0.0030124,0.0116424,298,1
1000.0,0.0059516,0.0165638,298,1
2000.0,0.011656,0.0231176,298,1
5000.0,0.0292086,0.0365667,298,1
10000.0,0.0580373,0.05137,298,1
20000.0,0.1143898,0.0721729,298,1
50000.0,0.2825272,0.1006486,298,1
100000.0,0.5433006,0.1394618,298,1
100.0,0.0004334,0.0036877,323,1
200.0,0.0007054,0.0046466,323,1
500.0,0.0018343,0.007419099999999999,323,1
1000.0,0.0037754,0.0106692,323,1
2000.0,0.0077157,0.015306,323,1
5000.0,0.0187063,0.0238075,323,1
10000.0,0.0382886,0.03392,323,1
20000.0,0.0758631,0.0480568,323,1
50000.0,0.1886903,0.0675193,323,1
100000.0,0.369407,0.0921612,323,1
100.0,0.0008698999999999998,0.006317,273,6
200.0,0.0016298,0.0086783,273,6
500.0,0.0043401,0.0141415,273,6
1000.0,0.008263599999999998,0.0196125,273,6
2000.0,0.0165867,0.0276984,273,6
5000.0,0.0407685,0.0426312,273,6
10000.0,0.0816007,0.0604879,273,6
20000.0,0.1626573,0.08417339999999998,273,6
50000.0,0.3958962,0.1157819,273,6
100000.0,0.7632719999999998,0.1575923,273,6
100.0,0.0005494,0.0049849,298,6
200.0,0.0010169,0.0068394,298,6
500.0,0.0028201,0.0113632,298,6
1000.0,0.0053107,0.0157228,298,6
2000.0,0.0103604,0.0217589,298,6
5000.0,0.0253859,0.0342729,298,6
10000.0,0.0502499,0.0477639,298,6
20000.0,0.0999,0.0664028,298,6
50000.0,0.2492761,0.0925809,298,6
100000.0,0.4827117,0.1297742,298,6
100.0,0.0003479,0.003976,323,6
200.0,0.0006684,0.0054913,323,6
500.0,0.0017489,0.0088704,323,6
1000.0,0.0032596,0.012532,323,6
2000.0,0.0066795,0.0177673,323,6
5000.0,0.0168064,0.0273825,323,6
10000.0,0.0335167,0.0390173,323,6
20000.0,0.0677521,0.0556542,323,6
50000.0,0.1681008,0.0873035,323,6
100000.0,0.3321957,0.1097542,323,6
100.0,0.0009843,0.0066718,273,2
200.0,0.0016344,0.0086169,273,2
500.0,0.0044408,0.0144187,273,2
1000.0,0.0086481,0.0198196,273,2
2000.0,0.0177175,0.0282747,273,2
5000.0,0.044518,0.0452297,273,2
10000.0,0.08612889999999998,0.0618782,273,2
20000.0,0.1728392,0.07504629999999998,273,2
50000.0,0.424267,0.119504,273,2
100000.0,0.8095849,0.1613427,273,2
100.0,0.0005723,0.0050864,298,2
200.0,0.0011079,0.0071827,298,2
500.0,0.0027744,0.0112447,298,2
1000.0,0.0050406,0.0152926,298,2
2000.0,0.010722,0.0222948,298,2
5000.0,0.0271164,0.0354114,298,2
10000.0,0.0543336,0.0493062,298,2
20000.0,0.1069137,0.068902,298,2
50000.0,0.264796,0.0959378,298,2
100000.0,0.5235031,0.1364228,298,2
100.0,0.0003479,0.003976,323,2
200.0,0.0007324999999999999,0.0057808,323,2
500.0,0.0018038,0.0091159,323,2
1000.0,0.0037541,0.0131319,323,2
2000.0,0.0074349,0.0185529,323,2
5000.0,0.0183447,0.0289019,323,2
10000.0,0.0364833,0.0408778,323,2
20000.0,0.0715557,0.0560045,323,2
50000.0,0.1809059,0.0904502,323,2
100000.0,0.3540197,0.1116874,323,2
100.0,0.0007935,0.0049331,273,8
200.0,0.0016146,0.0070067,273,8
500.0,0.0040471,0.0110812,273,8
1000.0,0.0081094,0.0155957,273,8
2000.0,0.0157628,0.0220358,273,8
5000.0,0.0404953,0.0351986,273,8
10000.0,0.0804229,0.0488906,273,8
20000.0,0.1562586,0.0598775,273,8
50000.0,0.3907733,0.0939503,273,8
100000.0,0.7241779,0.1282907,273,8
100.0,0.0005158,0.0039577,298,8
200.0,0.0010072,0.0055705,298,8
500.0,0.0024234,0.008583699999999998,298,8
1000.0,0.0050024,0.0121945,298,8
2000.0,0.0098156,0.0171019,298,8
5000.0,0.0249998,0.0277855,298,8
10000.0,0.0492243,0.0387783,298,8
20000.0,0.1001548,0.0554128,298,8
50000.0,0.2400908,0.07515529999999998,298,8
100000.0,0.4714769,0.1037289,298,8
100.0,0.0002657,0.0028678,323,8
200.0,0.0006043,0.004252,323,8
500.0,0.0015962,0.0070108,323,8
1000.0,0.0031894,0.0099547,323,8
2000.0,0.0066444,0.0141489,323,8
5000.0,0.0161487,0.0221389,323,8
10000.0,0.0324011,0.0309996,323,8
20000.0,0.0662825,0.0447154,323,8
50000.0,0.1621278,0.0699609,323,8
100000.0,0.3277075,0.1011679,323,8
100.0,0.0009065,0.0053056,273,4
200.0,0.0017214,0.007198,273,4
500.0,0.0042943,0.0115539,273,4
1000.0,0.0083689,0.0158596,273,4
2000.0,0.0171406,0.0230066,273,4
5000.0,0.0423479,0.035624,273,4
10000.0,0.0844212,0.0508031,273,4
20000.0,0.1680214,0.0627037,273,4
50000.0,0.4096447,0.0971568,273,4
100000.0,0.7723567,0.1337435,273,4
100.0,0.0005311,0.0040602,298,4
200.0,0.0010779,0.0057967,298,4
500.0,0.0027316,0.009272,298,4
1000.0,0.0050909,0.0123064,298,4
2000.0,0.0106244,0.0179147,298,4
5000.0,0.0260894,0.0280647,298,4
10000.0,0.0542634,0.0406901,298,4
20000.0,0.1066405,0.0561485,298,4
50000.0,0.2629815,0.07602159999999998,298,4
100000.0,0.4969676,0.1031826,298,4
100.0,0.0003785,0.0033775,323,4
200.0,0.0007691,0.0048417,323,4
500.0,0.0017894,0.0074633,323,4
1000.0,0.0035343,0.0103946,323,4
2000.0,0.0069863,0.0145705,323,4
5000.0,0.0177785,0.0231758,323,4
10000.0,0.0354465,0.0326396,323,4
20000.0,0.0711679,0.046178,323,4
50000.0,0.1747482,0.07298649999999998,323,4
100000.0,0.3478422,0.1021769,323,4
100.0,0.0010749,0.0057245,273,7
200.0,0.0021304,0.0081399,273,7
500.0,0.0053503,0.012854,273,7
1000.0,0.0105572,0.0179388,273,7
2000.0,0.0208337,0.0252654,273,7
5000.0,0.0525969,0.0400133,273,7
10000.0,0.1034816,0.0488123,273,7
20000.0,0.2075095,0.0668231,273,7
50000.0,0.4912911,0.1000074,273,7
100000.0,0.9377478,0.1352118,273,7
100.0,0.0005768,0.0041561,298,7
200.0,0.0012666,0.0061784,298,7
500.0,0.0031009,0.0096167,298,7
1000.0,0.006095,0.0136849,298,7
2000.0,0.0124465,0.0193634,298,7
5000.0,0.0301975,0.0301663,298,7
10000.0,0.0604561,0.0426622,298,7
20000.0,0.1225573,0.0530681,298,7
50000.0,0.3015614,0.08237949999999998,298,7
100000.0,0.5790877,0.104284,298,7
100.0,0.0003846,0.0034586,323,7
200.0,0.0006959,0.0045761,323,7
500.0,0.0018893,0.0075547,323,7
1000.0,0.0038579,0.0109546,323,7
2000.0,0.0081033,0.0157001,323,7
5000.0,0.0191733,0.0241476,323,7
10000.0,0.040065,0.0347232,323,7
20000.0,0.0792692,0.0498695,323,7
50000.0,0.1958719,0.0691698,323,7
100000.0,0.3883956,0.0922967,323,7
100.0,0.001111,0.005797,273,3
200.0,0.0023135,0.0083616,273,3
500.0,0.0053381,0.0126987,273,3
1000.0,0.0117536,0.0187648,273,3
2000.0,0.0226863,0.0261735,273,3
5000.0,0.0560402,0.040739,273,3
10000.0,0.1105472,0.0507615,273,3
20000.0,0.2158337,0.0710478,273,3
50000.0,0.527579,0.1042625,273,3
100000.0,0.9997773,0.1382157,273,3
100.0,0.0006135,0.0043051,298,3
200.0,0.0014497,0.0067177,298,3
500.0,0.0032415,0.0099058,298,3
1000.0,0.0066475,0.0142688,298,3
2000.0,0.0130639,0.0199955,298,3
5000.0,0.032337,0.0317413,298,3
10000.0,0.065428,0.0446114,298,3
20000.0,0.132208,0.0569905,298,3
50000.0,0.3194424,0.08652319999999998,298,3
100000.0,0.6143968,0.1145448,298,3
100.0,0.0004303,0.0035985,323,3
200.0,0.0008392999999999999,0.0049913,323,3
500.0,0.0021029,0.0081413,323,3
1000.0,0.0043065,0.0115574,323,3
2000.0,0.0083414,0.0158887,323,3
5000.0,0.0211999,0.0253808,323,3
10000.0,0.0419145,0.036071,323,3
20000.0,0.08210299999999998,0.0500445,323,3
50000.0,0.2093011,0.0711587,323,3
100000.0,0.407272,0.093701,323,3
