Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0002712,0.0027548,273,5
200.0,0.0004436,0.0035348,273,5
500.0,0.0012205,0.0058948,273,5
1000.0,0.0023873,0.008312099999999998,273,5
2000.0,0.0045147,0.0112607,273,5
5000.0,0.0118179,0.017938,273,5
10000.0,0.0236444,0.0258644,273,5
20000.0,0.0468848,0.0363057,273,5
50000.0,0.113306,0.0492535,273,5
100000.0,0.2243858,0.0676462,273,5
100.0,0.0001752,0.0022534,298,5
200.0,0.0002656,0.0027554,298,5
500.0,0.0007458999999999999,0.0046167,298,5
1000.0,0.0013928,0.0062456,298,5
2000.0,0.0028591,0.0090654,298,5
5000.0,0.0071458,0.0142159,298,5
10000.0,0.0143722,0.0200527,298,5
20000.0,0.0282862,0.028105,298,5
50000.0,0.0703738,0.0445395,298,5
100000.0,0.1382331,0.0558419,298,5
100.0,8.66e-05,0.0008991,323,5
200.0,0.0002015,0.0013693,323,5
500.0,0.0004963,0.0021746,323,5
1000.0,0.0009257,0.0029124,323,5
2000.0,0.0019051,0.0042428,323,5
5000.0,0.0046353,0.0066334,323,5
10000.0,0.0092328,0.0093105,323,5
20000.0,0.0183329,0.0130732,323,5
50000.0,0.0453827,0.0182634,323,5
100000.0,0.0903858,0.0254406,323,5
100.0,0.0002938,0.0028662,273,1
200.0,0.0005679,0.003965,273,1
500.0,0.0013533,0.0060992,273,1
1000.0,0.0028874,0.0090916,273,1
2000.0,0.0056702,0.0125021,273,1
5000.0,0.0145471,0.0203177,273,1
10000.0,0.0285576,0.0281502,273,1
20000.0,0.0569878,0.040184,273,1
50000.0,0.1371284,0.0573839,273,1
100000.0,0.2660495,0.07224519999999998,273,1
100.0,0.0001978,0.0023555,298,1
200.0,0.0003306,0.003038,298,1
500.0,0.0008141,0.0047598,298,1
1000.0,0.001729,0.0069465,298,1
2000.0,0.0033677,0.0098516,298,1
5000.0,0.008407899999999998,0.0154908,298,1
10000.0,0.0169401,0.0215808,298,1
20000.0,0.033123,0.0304952,298,1
50000.0,0.0831862,0.0412756,298,1
100000.0,0.1643357,0.0581174,298,1
100.0,0.000129,0.0010947,323,1
200.0,0.0002251,0.0014628,323,1
500.0,0.0005632,0.0022802,323,1
1000.0,0.0011047,0.0032287,323,1
2000.0,0.0023101,0.004691,323,1
5000.0,0.0054028,0.007131,323,1
10000.0,0.010927,0.0102187,323,1
20000.0,0.0220698,0.0143477,323,1
50000.0,0.0534459,0.0202515,323,1
100000.0,0.1058431,0.0274902,323,1
100.0,0.0001808,0.0022529,273,6
200.0,0.0003645,0.003213,273,6
500.0,0.0009493,0.0052454,273,6
1000.0,0.0019438,0.0073383,273,6
2000.0,0.0038932,0.0105639,273,6
5000.0,0.0100861,0.0170442,273,6
10000.0,0.0200026,0.0234977,273,6
20000.0,0.0395165,0.033404,273,6
50000.0,0.0992957,0.0463923,273,6
100000.0,0.1915679,0.0617353,273,6
100.0,0.0001243,0.0018699,298,6
200.0,0.0002346,0.0025638,298,6
500.0,0.0006074,0.0040978,298,6
1000.0,0.0013307,0.006195,298,6
2000.0,0.0024043,0.0082687,298,6
5000.0,0.0065178,0.0135752,298,6
10000.0,0.0128322,0.0189754,298,6
20000.0,0.0248168,0.0263765,298,6
50000.0,0.061559,0.0418621,298,6
100000.0,0.1215006,0.0509314,298,6
100.0,7.349999999999998e-05,0.0014387,323,6
200.0,0.0001809,0.0022535,323,6
500.0,0.0003984,0.003331,323,6
1000.0,0.0009436,0.0052006,323,6
2000.0,0.0015716,0.0066459,323,6
5000.0,0.004317,0.0110239,323,6
10000.0,0.008407899999999998,0.0153302,323,6
20000.0,0.0164372,0.0215221,323,6
50000.0,0.0407738,0.0336971,323,6
100000.0,0.08168029999999998,0.0474508,323,6
100.0,0.0002119,0.0024375,273,2
200.0,0.0004636,0.0036113,273,2
500.0,0.0012443,0.0058793,273,2
1000.0,0.0024382,0.008335699999999998,273,2
2000.0,0.0047012,0.0115631,273,2
5000.0,0.0121118,0.018347,273,2
10000.0,0.0238845,0.0258428,273,2
20000.0,0.0485855,0.0363384,273,2
50000.0,0.1194989,0.0505795,273,2
100000.0,0.2337525,0.0685479,273,2
100.0,0.0001271,0.001891,298,2
200.0,0.0002938,0.0028939,298,2
500.0,0.0007232999999999999,0.0045155,298,2
1000.0,0.0014487,0.0063458,298,2
2000.0,0.0029185,0.0090861,298,2
5000.0,0.0078711,0.0149546,298,2
10000.0,0.0146319,0.0202528,298,2
20000.0,0.029066,0.0282632,298,2
50000.0,0.0723984,0.0436645,298,2
100000.0,0.1416433,0.0557987,298,2
100.0,9.04e-05,0.0016449,323,2
200.0,0.0001554,0.0021273,323,2
500.0,0.0005283,0.0039097,323,2
1000.0,0.0009611000000000002,0.0053202,323,2
2000.0,0.0020568,0.0076699,323,2
5000.0,0.0047577,0.0115123,323,2
10000.0,0.0096934,0.0164054,323,2
20000.0,0.0196113,0.0233478,323,2
50000.0,0.0478425,0.0367454,323,2
100000.0,0.0939645,0.0511897,323,2
100.0,0.0001978,0.0013503,273,8
200.0,0.0003786,0.0018878,273,8
500.0,0.0009719,0.0030246,273,8
1000.0,0.0019946,0.004315,273,8
2000.0,0.003864,0.0060415,273,8
5000.0,0.0099053,0.009646900000000002,273,8
10000.0,0.0191786,0.0133687,273,8
20000.0,0.0386708,0.0171254,273,8
50000.0,0.0964575,0.0265201,273,8
100000.0,0.1828323,0.0366745,273,8
100.0,0.0001356,0.0011298,298,8
200.0,0.000242,0.0014902,298,8
500.0,0.0006234,0.0024416,298,8
1000.0,0.0011778,0.00333,298,8
2000.0,0.0024504,0.0048139,298,8
5000.0,0.0060773,0.0076025,298,8
10000.0,0.0120995,0.0105353,298,8
20000.0,0.024572,0.0152082,298,8
50000.0,0.059614,0.02144,298,8
100000.0,0.1160955,0.0278894,298,8
100.0,8.38e-05,0.0008844999999999999,323,8
200.0,0.0001431,0.0011675,323,8
500.0,0.0004212,0.0019871,323,8
1000.0,0.0007958,0.0027546,323,8
2000.0,0.0016462,0.0039536,323,8
5000.0,0.0041559,0.0062564,323,8
10000.0,0.008214799999999998,0.0087364,323,8
20000.0,0.0163703,0.0123954,323,8
50000.0,0.0396926,0.0190495,323,8
