Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0109743,0.0167936,273,5
200.0,0.0222073,0.0232671,273,5
500.0,0.0545971,0.034808,273,5
1000.0,0.1222535,0.0534769,273,5
2000.0,0.2551187,0.08159089999999998,273,5
5000.0,0.7060061,0.1297252,273,5
10000.0,1.5662033,0.1724653,273,5
20000.0,2.3524658,0.1452965,273,5
50000.0,2.9616027,0.0919903,273,5
100000.0,3.2555801,0.0931114,273,5
1000000.0,3.8759241,0.0627302,273,5
100.0,0.0036954,0.0112197,298,5
200.0,0.007244999999999998,0.0158451,298,5
500.0,0.019128,0.0219026,298,5
1000.0,0.0403647,0.0299781,298,5
2000.0,0.08383269999999998,0.0452172,298,5
5000.0,0.197386,0.0702469,298,5
10000.0,0.4582825,0.1121963,298,5
20000.0,0.9189324,0.1549876,298,5
50000.0,2.0552955,0.1608916,298,5
100000.0,2.6474358,0.1106575,298,5
1000000.0,3.5733288,0.08655419999999998,298,5
100.0,0.001645,0.0046739,323,5
200.0,0.0030051,0.0063909,323,5
500.0,0.0082629,0.008976599999999998,323,5
1000.0,0.0157919,0.012377,323,5
2000.0,0.0313425,0.016888,323,5
5000.0,0.08041289999999998,0.0274775,323,5
10000.0,0.1663548,0.0395088,323,5
20000.0,0.3306508,0.0561452,323,5
50000.0,0.9170272,0.0874849,323,5
100000.0,1.7238482,0.0993785,323,5
1000000.0,3.2097106,0.0571782,323,5
100.0,0.016965,0.020128,273,1
200.0,0.0330824,0.0285737,273,1
500.0,0.0756343,0.0413952,273,1
1000.0,0.1844754,0.072185,273,1
2000.0,0.3658376,0.0953287,273,1
5000.0,1.0871991,0.1944087,273,1
10000.0,2.0085145,0.1740895,273,1
20000.0,2.6234984,0.1307655,273,1
50000.0,3.1542447,0.08910229999999998,273,1
100000.0,3.4468316,0.08706859999999998,273,1
1000000.0,3.89909,0.0689656,273,1
100.0,0.0053939,0.0133728,298,1
200.0,0.0104217,0.0161459,298,1
500.0,0.0252779,0.0247407,298,1
1000.0,0.0516204,0.0350175,298,1
2000.0,0.10686,0.0499772,298,1
5000.0,0.2944648,0.083426,298,1
10000.0,0.6348141,0.12477,298,1
20000.0,1.3520456,0.1906262,298,1
50000.0,2.3723534,0.1266004,298,1
100000.0,2.8304124,0.1062475,298,1
1000000.0,3.6016079,0.0707354,298,1
100.0,0.0021494,0.0053661,323,1
200.0,0.0041945,0.0063068,323,1
500.0,0.0108937,0.0104391,323,1
1000.0,0.0221345,0.0144807,323,1
2000.0,0.0433346,0.0199529,323,1
5000.0,0.1067479,0.0295916,323,1
10000.0,0.2191831,0.0433051,323,1
20000.0,0.4499048,0.0635979,323,1
50000.0,1.2639894,0.1101681,323,1
100000.0,2.0349084,0.0984315,323,1
1000000.0,3.3338462,0.0522908,323,1
100.0,0.0017629,0.0077678,273,6
200.0,0.0033428,0.010585,273,6
500.0,0.0086825,0.0172975,273,6
1000.0,0.0173854,0.0244062,273,6
2000.0,0.0358353,0.0354272,273,6
5000.0,0.093487,0.0500838,273,6
10000.0,0.1933749,0.0728182,273,6
20000.0,0.4340035,0.1137479,273,6
50000.0,1.3327989,0.1804998,273,6
100000.0,2.2912522,0.1429568,273,6
1000000.0,3.3936271,0.0849189,273,6
100.0,0.0007798,0.0051718,298,6
200.0,0.0016104,0.0073846,298,6
500.0,0.0042073,0.0120104,298,6
1000.0,0.0080756,0.0163951,298,6
2000.0,0.0170904,0.0242679,298,6
5000.0,0.0418089,0.0375942,298,6
10000.0,0.08363819999999998,0.0468315,298,6
20000.0,0.1782576,0.0712485,298,6
50000.0,0.4974394,0.113997,298,6
100000.0,1.0534502,0.1694484,298,6
1000000.0,3.0272082,0.0982348,298,6
100.0,0.0005289,0.0042013,323,6
200.0,0.0007289,0.0049639,323,6
500.0,0.0023698,0.0088806,323,6
1000.0,0.0044141,0.0122917,323,6
2000.0,0.009052,0.0175612,323,6
5000.0,0.0227691,0.0281772,323,6
10000.0,0.0446737,0.0392741,323,6
20000.0,0.091402,0.0495432,323,6
50000.0,0.2350233,0.08139309999999998,323,6
100000.0,0.506488,0.1126624,323,6
1000000.0,2.518282,0.1260139,323,6
100.0,0.0022206,0.008617599999999998,273,2
200.0,0.0046142,0.0125841,273,2
500.0,0.011588,0.0199126,273,2
1000.0,0.0234438,0.0284244,273,2
2000.0,0.0460563,0.0393555,273,2
5000.0,0.1204567,0.0578983,273,2
10000.0,0.2679187,0.0875886,273,2
20000.0,0.6172283,0.1307387,273,2
50000.0,1.7106884,0.1911159,273,2
100000.0,2.5651509,0.1413586,273,2
1000000.0,3.5154718,0.0683948,273,2
100.0,0.0009527,0.0056639,298,2
200.0,0.0022071,0.0087796,298,2
500.0,0.0052583,0.0132631,298,2
1000.0,0.0105099,0.0190611,298,2
2000.0,0.0213011,0.0269466,298,2
5000.0,0.0542445,0.042774,298,2
10000.0,0.1090213,0.0564258,298,2
20000.0,0.2308443,0.0800704,298,2
50000.0,0.6405137,0.1269854,298,2
100000.0,1.3500481,0.1785876,298,2
1000000.0,3.1131672,0.0879478,298,2
100.0,0.0005834,0.004435,323,2
200.0,0.0011357,0.0062493,323,2
500.0,0.0027495,0.0096324,323,2
1000.0,0.0054041,0.0134587,323,2
2000.0,0.0112083,0.0194846,323,2
5000.0,0.0286614,0.0311297,323,2
10000.0,0.0565092,0.0430256,323,2
20000.0,0.1139745,0.0557101,323,2
50000.0,0.2967777,0.0900486,323,2
100000.0,0.6186763,0.1231646,323,2
1000000.0,2.6645639,0.1141157,323,2
100.0,0.0011947,0.0039847,273,8
200.0,0.0024302,0.0057772,273,8
500.0,0.0062354,0.0092909,273,8
1000.0,0.0123962,0.0129771,273,8
2000.0,0.0248481,0.0182888,273,8
5000.0,0.0633888,0.0268728,273,8
10000.0,0.1310317,0.0379964,273,8
20000.0,0.2720917,0.0567849,273,8
50000.0,0.8473502,0.107098,273,8
100000.0,1.7761382,0.1108505,273,8
1000000.0,3.1649118,0.0595196,273,8
100.0,0.0005696,0.0028002,298,8
