Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.1930234,0.1038862,273,5
200.0,0.3194566,0.08145589999999998,273,5
500.0,0.5122557,0.07688459999999998,273,5
1000.0,0.540796,0.0758234,273,5
2000.0,0.8059600999999998,0.0874709,273,5
5000.0,1.1295443,0.0520951,273,5
10000.0,1.2338475,0.07568139999999998,273,5
20000.0,1.469159,0.0969712,273,5
50000.0,1.9624906,0.1548479,273,5
100000.0,2.5709816,0.1831905,273,5
1000000.0,4.2302857,0.1191564,273,5
100.0,0.0238919,0.0273363,298,5
200.0,0.0550843,0.0338109,298,5
500.0,0.1442573,0.0485001,298,5
1000.0,0.2043893,0.0496404,298,5
2000.0,0.2877024,0.0755826,298,5
5000.0,0.6121199,0.0509876,298,5
10000.0,0.773355,0.0628492,298,5
20000.0,1.0160895,0.0688324,298,5
50000.0,1.2794873,0.0902243,298,5
100000.0,1.5874386,0.1173876,298,5
1000000.0,3.261771,0.1633347,298,5
100.0,0.0045071,0.0115491,323,5
200.0,0.0122289,0.0182442,323,5
500.0,0.020332,0.0232809,323,5
1000.0,0.0510668,0.0483525,323,5
2000.0,0.0755814,0.028882,323,5
5000.0,0.191758,0.0713607,323,5
10000.0,0.3498926,0.044052,323,5
20000.0,0.7049996,0.1744704,323,5
50000.0,0.7803964,0.0768941,323,5
100000.0,1.1618534,0.1005663,323,5
1000000.0,2.6004667,0.1522699,323,5
100.0,0.2271109,0.0609278,273,1
200.0,0.3119796,0.06453,273,1
500.0,0.6131599,0.0820993,273,1
1000.0,0.9013793000000001,0.0595047,273,1
2000.0,1.049892,0.0762266,273,1
5000.0,1.3614421,0.09817600000000001,273,1
10000.0,1.7548704,0.1332083,273,1
20000.0,2.248484,0.1505912,273,1
50000.0,3.0671081,0.1448109,273,1
100000.0,3.6240266,0.1549641,273,1
1000000.0,4.7319419,0.175051,273,1
100.0,0.052905,0.0425704,298,1
200.0,0.08416959999999998,0.0496933,298,1
500.0,0.2637708,0.0515763,298,1
1000.0,0.4064035,0.1250226,298,1
2000.0,0.6088237,0.0697648,298,1
5000.0,0.8700048999999999,0.0569805,298,1
10000.0,1.0950391,0.07972569999999998,298,1
20000.0,1.3460629,0.1112333,298,1
50000.0,1.9653851,0.1229358,298,1
100000.0,2.5851077,0.132081,298,1
1000000.0,4.1198666,0.164273,298,1
100.0,0.0118075,0.0193334,323,1
200.0,0.0138222,0.0194166,323,1
500.0,0.0430721,0.032914,323,1
1000.0,0.0837855,0.0387599,323,1
2000.0,0.2088074,0.0772719,323,1
5000.0,0.3014444,0.0696898,323,1
10000.0,0.5688217,0.0937759,323,1
20000.0,0.7617121,0.0825327,323,1
50000.0,1.3088211,0.1044093,323,1
100000.0,1.6559294,0.1284664,323,1
1000000.0,3.3890803,0.1190614,323,1
100.0,0.002083,0.0092227,273,6
200.0,0.0039934,0.0127169,273,6
500.0,0.0103948,0.020665,273,6
1000.0,0.0207173,0.025142,273,6
2000.0,0.0394239,0.0346673,273,6
5000.0,0.0955958,0.0533891,273,6
10000.0,0.1944144,0.0737909,273,6
20000.0,0.3622569,0.0941194,273,6
50000.0,0.7486326,0.1302016,273,6
100000.0,1.141286,0.1304183,273,6
1000000.0,2.5669797,0.1189778,273,6
100.0,0.0006545,0.0050833,298,6
200.0,0.0015131,0.0078317,298,6
500.0,0.0037044,0.0123559,298,6
1000.0,0.0076416,0.0173438,298,6
2000.0,0.0144202,0.0240472,298,6
5000.0,0.0372245,0.0347525,298,6
10000.0,0.0706243,0.046065,298,6
20000.0,0.1444231,0.0623945,298,6
50000.0,0.3106231,0.0948443,298,6
100000.0,0.5923037,0.1067195,298,6
1000000.0,1.9055705,0.1256155,298,6
100.0,0.0003371,0.0037066,323,6
200.0,0.0005659,0.0047659,323,6
500.0,0.0016295,0.0081416,323,6
1000.0,0.0030783,0.0110509,323,6
2000.0,0.0061205,0.0157623,323,6
5000.0,0.0150142,0.0242322,323,6
10000.0,0.0300806,0.0298724,323,6
20000.0,0.0613051,0.0428339,323,6
50000.0,0.1504192,0.0640692,323,6
100000.0,0.2846723,0.0870466,323,6
1000000.0,1.3800717,0.146268,323,6
100.0,0.0077459,0.0176477,273,2
200.0,0.015837,0.0248797,273,2
500.0,0.0392072,0.0336458,273,2
1000.0,0.0819421,0.0474128,273,2
2000.0,0.1526747,0.0655752,273,2
5000.0,0.3565504,0.0959963,273,2
10000.0,0.5990479,0.1162283,273,2
20000.0,0.9857647,0.1331015,273,2
50000.0,1.5933059,0.1457106,273,2
100000.0,1.9868006,0.1231939,273,2
1000000.0,3.4739889,0.0970476,273,2
100.0,0.0025164,0.0099585,298,2
200.0,0.0051051,0.0141339,298,2
500.0,0.013156,0.023172,298,2
1000.0,0.0252605,0.0275514,298,2
2000.0,0.0524434,0.0405479,298,2
5000.0,0.1260296,0.0591967,298,2
10000.0,0.226297,0.07618329999999998,298,2
20000.0,0.4399269,0.1052024,298,2
50000.0,0.8445454999999998,0.1224092,298,2
100000.0,1.2308054,0.1460076,298,2
1000000.0,2.5348987,0.1416606,298,2
