Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0004947,0.005932,273,5
200.0,0.000836,0.007649699999999998,273,5
500.0,0.0026683,0.0135512,273,5
1000.0,0.0048281,0.0183136,273,5
2000.0,0.0097189,0.0259784,273,5
5000.0,0.0232209,0.0398039,273,5
10000.0,0.0464278,0.0567246,273,5
20000.0,0.09247250000000001,0.08131299999999998,273,5
50000.0,0.2329892,0.127065,273,5
100000.0,0.4508208,0.1587542,273,5
100.0,0.000432,0.0054688,298,5
200.0,0.000627,0.0065796,298,5
500.0,0.0013237,0.0095625,298,5
1000.0,0.0029958,0.0145393,298,5
2000.0,0.0063887,0.0208417,298,5
5000.0,0.0151462,0.0321038,298,5
10000.0,0.0298534,0.0455518,298,5
20000.0,0.0601458,0.064984,298,5
50000.0,0.1454841,0.0978957,298,5
100000.0,0.2941104,0.1216805,298,5
100.0,0.0002369,0.0040555,323,5
200.0,0.000432,0.0054688,323,5
500.0,0.0009614,0.0082462,323,5
1000.0,0.0020204,0.0117738,323,5
2000.0,0.0041892,0.0170251,323,5
5000.0,0.0102605,0.0271083,323,5
10000.0,0.0207755,0.0379349,323,5
20000.0,0.0410145,0.0529,323,5
50000.0,0.1010906,0.0836152,323,5
100000.0,0.2021325,0.1160488,323,5
100.0,0.0005852,0.0064343,273,1
200.0,0.0013168,0.0095888,273,1
500.0,0.0029401,0.0141789,273,1
1000.0,0.005908,0.0202892,273,1
2000.0,0.011802,0.0288018,273,1
5000.0,0.0291567,0.0445209,273,1
10000.0,0.0585364,0.0631679,273,1
20000.0,0.1201105,0.0924856,273,1
50000.0,0.2890524,0.1216325,273,1
100000.0,0.5744138,0.1797251,273,1
100.0,0.0003344,0.0048153,298,1
200.0,0.0007594,0.0073669,298,1
500.0,0.0017348,0.010945,298,1
1000.0,0.003588,0.0156792,298,1
2000.0,0.0073014,0.022706,298,1
5000.0,0.0182116,0.0357474,298,1
10000.0,0.0369528,0.0504456,298,1
20000.0,0.0745604,0.0724119,298,1
50000.0,0.1843528,0.1119376,298,1
100000.0,0.3589589,0.1378483,298,1
100.0,0.0002229,0.0039348,323,1
200.0,0.0005992,0.0065081,323,1
500.0,0.0012262,0.0092139,323,1
1000.0,0.0025708,0.0132809,323,1
2000.0,0.0046539,0.0179712,323,1
5000.0,0.0123594,0.0292388,323,1
10000.0,0.0251995,0.0416315,323,1
20000.0,0.0500925,0.0586153,323,1
50000.0,0.1239276,0.0927909,323,1
100000.0,0.2452371,0.1286155,323,1
100.0,0.0005086,0.0060121,273,6
200.0,0.0009057,0.0080742,273,6
500.0,0.0022225,0.0124789,273,6
1000.0,0.0043265,0.0172414,273,6
2000.0,0.0084718,0.0243359,273,6
5000.0,0.0216115,0.0388389,273,6
10000.0,0.043864,0.0554565,273,6
20000.0,0.08770709999999998,0.0772382,273,6
50000.0,0.2173275,0.1219785,273,6
100000.0,0.4204006,0.1495811,273,6
100.0,0.000209,0.0038102,298,6
200.0,0.0005225,0.0060109,298,6
500.0,0.0014561,0.0101113,298,6
1000.0,0.0031003,0.0146339,298,6
2000.0,0.0057756,0.0201955,298,6
5000.0,0.0140036,0.0309226,298,6
10000.0,0.0285367,0.044601,298,6
20000.0,0.0553037,0.0616599,298,6
50000.0,0.1403216,0.0981601,298,6
100000.0,0.2779958,0.13887,298,6
100.0,0.000216,0.003873,323,6
200.0,0.0003971,0.0052449,323,6
500.0,0.0010799,0.0086625,323,6
1000.0,0.0019378,0.0115409,323,6
2000.0,0.0041244,0.0170221,323,6
5000.0,0.0105201,0.02718,323,6
10000.0,0.0192218,0.0365868,323,6
20000.0,0.0393482,0.052283,323,6
50000.0,0.0971891,0.08203209999999998,323,6
100000.0,0.1948521,0.1156413,323,6
100.0,0.0005992,0.0065081,273,2
200.0,0.0011147,0.0087971,273,2
500.0,0.0028286,0.013995,273,2
1000.0,0.0057895,0.0203591,273,2
2000.0,0.0110426,0.027533,273,2
5000.0,0.0276728,0.0439102,273,2
10000.0,0.0564045,0.06225,273,2
20000.0,0.1111579,0.0867794,273,2
50000.0,0.2703739,0.135044,273,2
100000.0,0.5334535,0.1770957,273,2
100.0,0.0003623,0.0050109,298,2
200.0,0.0007246,0.0070679,298,2
500.0,0.001693,0.0107728,298,2
1000.0,0.0036089,0.0157208,298,2
2000.0,0.007482499999999999,0.0228603,298,2
5000.0,0.0175985,0.0342157,298,2
10000.0,0.0361725,0.0503375,298,2
20000.0,0.0713626,0.0694781,298,2
50000.0,0.1712758,0.1069212,298,2
100000.0,0.3423327,0.1346008,298,2
100.0,0.000202,0.0038738,323,2
200.0,0.0005225,0.0060109,323,2
500.0,0.0011565,0.0090099,323,2
1000.0,0.0022852,0.0125645,323,2
2000.0,0.0048072,0.0184116,323,2
5000.0,0.0122897,0.0296307,323,2
10000.0,0.023827,0.0401575,323,2
20000.0,0.0492253,0.0579716,323,2
50000.0,0.1207561,0.0920473,323,2
100000.0,0.235135,0.1273559,323,2
