Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.002696,0.0117635,273,5
200.0,0.0047907,0.0153689,273,5
500.0,0.0119416,0.0246575,273,5
1000.0,0.0245748,0.0345774,273,5
2000.0,0.0479168,0.0419259,273,5
5000.0,0.1142397,0.0638776,273,5
10000.0,0.2151147,0.0864312,273,5
20000.0,0.4042765,0.1117321,273,5
50000.0,0.8142819,0.1458405,273,5
100000.0,1.1788267,0.1539238,273,5
100.0,0.0010373,0.0071699,298,5
200.0,0.0022149,0.010397,298,5
500.0,0.0054271,0.0165271,298,5
1000.0,0.010774,0.0233746,298,5
2000.0,0.0213376,0.0324798,298,5
5000.0,0.0511941,0.0422229,298,5
10000.0,0.1002235,0.0619686,298,5
20000.0,0.1959219,0.0824779,298,5
50000.0,0.4273493,0.1122953,298,5
100000.0,0.7476169999999999,0.139787,298,5
100.0,0.0004477,0.0038989,323,5
200.0,0.0010022,0.0057767,323,5
500.0,0.0024354,0.0090501,323,5
1000.0,0.0051114,0.0129729,323,5
2000.0,0.0104518,0.0187092,323,5
5000.0,0.0254568,0.0295382,323,5
10000.0,0.0522933,0.0366785,323,5
20000.0,0.0980787,0.0492383,323,5
50000.0,0.2367494,0.0718193,323,5
100000.0,0.4209754,0.091534,323,5
100.0,0.0034677,0.0131644,273,1
200.0,0.0070893,0.0189411,273,1
500.0,0.0175692,0.029599,273,1
1000.0,0.0346623,0.0411237,273,1
2000.0,0.0676859,0.0501358,273,1
5000.0,0.1607935,0.075061,273,1
10000.0,0.3096805,0.0999122,273,1
20000.0,0.5518355,0.1246641,273,1
50000.0,1.0343595,0.1457588,273,1
100000.0,1.4469922,0.1565004,273,1
100.0,0.0015334,0.0087177,298,1
200.0,0.003137,0.0124658,298,1
500.0,0.0072261,0.0190824,298,1
1000.0,0.014788,0.0273472,298,1
2000.0,0.0290698,0.0374527,298,1
5000.0,0.07290259999999998,0.0524394,298,1
10000.0,0.1392655,0.0691148,298,1
20000.0,0.2622105,0.0936749,298,1
50000.0,0.5663705,0.1264674,298,1
100000.0,0.9144916,0.1377907,298,1
100.0,0.0007282999999999999,0.0049692,323,1
200.0,0.001333,0.0066739,323,1
500.0,0.0035178,0.0108363,323,1
1000.0,0.0071326,0.0153791,323,1
2000.0,0.0144155,0.0216329,323,1
5000.0,0.035115,0.034048,323,1
10000.0,0.0693146,0.0419186,323,1
20000.0,0.1401225,0.057533,323,1
50000.0,0.3074288,0.08185539999999998,323,1
100000.0,0.5630121,0.1051547,323,1
100.0,0.0017038,0.0091916,273,6
200.0,0.0035128,0.0133325,273,6
500.0,0.008529,0.0206149,273,6
1000.0,0.0167724,0.0288426,273,6
2000.0,0.0336099,0.0408545,273,6
5000.0,0.0821451,0.0561998,273,6
10000.0,0.1583381,0.07603269999999998,273,6
20000.0,0.2968932,0.0980498,273,6
50000.0,0.6201221,0.1335668,273,6
100000.0,0.9814681,0.1459999,273,6
100.0,0.0007868,0.0062697,298,6
200.0,0.0017389,0.0094146,298,6
500.0,0.0039388,0.0140868,298,6
1000.0,0.0076972,0.0194603,298,6
2000.0,0.0158153,0.0280445,298,6
5000.0,0.0386612,0.0436947,298,6
10000.0,0.0747817,0.0509637,298,6
20000.0,0.1462912,0.071683,298,6
50000.0,0.3350492,0.1052022,298,6
100000.0,0.5846604,0.1338954,298,6
100.0,0.0004259,0.0046004,323,6
200.0,0.0007816999999999999,0.0062502,323,6
500.0,0.0018842,0.0097668,323,6
1000.0,0.0038686,0.0139631,323,6
2000.0,0.0082584,0.0204442,323,6
5000.0,0.0196588,0.0313589,323,6
10000.0,0.0393828,0.04378,323,6
20000.0,0.0755384,0.0524679,323,6
