Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0011996,0.0057546,273,5
200.0,0.0023801,0.0080253,273,5
500.0,0.0059436,0.0127284,273,5
1000.0,0.0116314,0.0177741,273,5
2000.0,0.0237507,0.0257679,273,5
5000.0,0.0587936,0.0342541,273,5
10000.0,0.1177586,0.0488665,273,5
20000.0,0.2396494,0.0680512,273,5
50000.0,0.5794019,0.1078216,273,5
100000.0,1.1623599,0.1553781,273,5
1000000.0,7.0509309,0.2158673,273,5
100.0,0.0006964,0.0043305,298,5
200.0,0.0013009,0.0060298,298,5
500.0,0.0032424,0.0094539,298,5
1000.0,0.0061476,0.0130319,298,5
2000.0,0.0124311,0.0183071,298,5
5000.0,0.0307841,0.0288409,298,5
10000.0,0.0616389,0.0352148,298,5
20000.0,0.1238844,0.0513766,298,5
50000.0,0.3109519,0.08143649999999998,298,5
100000.0,0.599081,0.1053834,298,5
1000000.0,4.8311962,0.2400883,298,5
100.0,0.0003863,0.0032183,323,5
200.0,0.0006991,0.0043386,323,5
500.0,0.0018098,0.0070677,323,5
1000.0,0.0034754,0.0097338,323,5
2000.0,0.007257399999999998,0.0141767,323,5
5000.0,0.0178252,0.0220934,323,5
10000.0,0.0360204,0.0315925,323,5
20000.0,0.0719919,0.044123,323,5
50000.0,0.1813343,0.0607489,323,5
100000.0,0.3561757,0.08631769999999998,323,5
1000000.0,3.1079249,0.2279006,323,5
100.0,0.0029405,0.008873499999999998,273,1
200.0,0.0054594,0.012185,273,1
500.0,0.0137232,0.0195923,273,1
1000.0,0.0284583,0.0277918,273,1
2000.0,0.0566039,0.0351523,273,1
5000.0,0.1448188,0.0531478,273,1
10000.0,0.2880653,0.07405109999999998,273,1
20000.0,0.5319218,0.0978707,273,1
50000.0,1.2716342,0.1521561,273,1
100000.0,2.4135863,0.2087633,273,1
1000000.0,8.551895,0.1776388,273,1
100.0,0.0012322,0.0057219,298,1
200.0,0.0026005,0.008360299999999998,298,1
500.0,0.0066399,0.0134398,298,1
1000.0,0.0133696,0.0192331,298,1
2000.0,0.025847,0.0262537,298,1
5000.0,0.0656376,0.0363977,298,1
10000.0,0.1314383,0.051859,298,1
20000.0,0.2609264,0.07319059999999998,298,1
50000.0,0.6222551,0.1064601,298,1
100000.0,1.1756422,0.146608,298,1
1000000.0,6.654895,0.2179116,298,1
100.0,0.0006773,0.0043929,323,1
200.0,0.0013954,0.0062308,323,1
500.0,0.0034736,0.0096783,323,1
1000.0,0.0070833,0.0139072,323,1
2000.0,0.0135872,0.0191651,323,1
5000.0,0.0349595,0.0309365,323,1
10000.0,0.069628,0.036899,323,1
20000.0,0.141182,0.0511852,323,1
50000.0,0.3371371,0.08045439999999998,323,1
100000.0,0.6480715,0.1111464,323,1
1000000.0,4.7321014,0.2339623,323,1
100.0,0.0008867999999999999,0.0049815,273,6
200.0,0.0018769,0.007064,273,6
500.0,0.0049697,0.0117289,273,6
1000.0,0.0098143,0.0163215,273,6
2000.0,0.0192451,0.0230612,273,6
5000.0,0.0485656,0.0363176,273,6
10000.0,0.0994438,0.0454555,273,6
20000.0,0.1980225,0.064642,273,6
50000.0,0.4871815,0.0989867,273,6
100000.0,0.9957934,0.1472916,273,6
1000000.0,7.397185099999998,0.2199443,273,6
100.0,0.0005658,0.0039388,298,6
200.0,0.0010282,0.0052866,298,6
500.0,0.002693,0.0086019,298,6
1000.0,0.0052554,0.0119648,298,6
2000.0,0.0108997,0.0170817,298,6
5000.0,0.0267199,0.0269815,298,6
10000.0,0.0526896,0.0379503,298,6
20000.0,0.1062197,0.0460529,298,6
50000.0,0.270322,0.0775907,298,6
100000.0,0.5323032,0.1031535,298,6
1000000.0,4.8946881,0.2535711,298,6
100.0,0.0003373,0.003059,323,6
200.0,0.0006175,0.004124,323,6
500.0,0.0017219,0.0068758,323,6
1000.0,0.0032397,0.009388100000000002,323,6
2000.0,0.0063733,0.0131134,323,6
5000.0,0.0161061,0.0209314,323,6
10000.0,0.0325413,0.0296431,323,6
20000.0,0.0657246,0.0424152,323,6
50000.0,0.1633785,0.0595478,323,6
100000.0,0.3255815,0.0826878,323,6
1000000.0,3.0346214,0.2297699,323,6
100.0,0.0022006,0.007662699999999998,273,2
200.0,0.0043686,0.0108264,273,2
500.0,0.0109514,0.0172621,273,2
1000.0,0.0215845,0.0242271,273,2
2000.0,0.0443468,0.0347843,273,2
5000.0,0.1087304,0.0478254,273,2
10000.0,0.2159321,0.0662402,273,2
20000.0,0.4305072,0.0911582,273,2
