Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0001496,0.0020118,273,5
200.0,0.0003155,0.0029127,273,5
500.0,0.0008895,0.0049137,273,5
1000.0,0.0016185,0.0066497,273,5
2000.0,0.0031826,0.009237,273,5
5000.0,0.008029899999999998,0.0149796,273,5
10000.0,0.0159102,0.0208264,273,5
20000.0,0.0316273,0.0295939,273,5
50000.0,0.07721999999999998,0.0461901,273,5
100000.0,0.1531861,0.0561828,273,5
100.0,0.0001496,0.0020482,298,5
200.0,0.0001795,0.0022026,298,5
500.0,0.0005634,0.0038929,298,5
1000.0,0.0010723,0.005335,298,5
2000.0,0.0020184,0.0075233,298,5
5000.0,0.0052336,0.0121034,298,5
10000.0,0.0106658,0.0169691,298,5
20000.0,0.0214376,0.0241559,298,5
50000.0,0.0528819,0.0382022,298,5
100000.0,0.1064944,0.0537105,298,5
100.0,9.52e-05,0.0016064,323,5
200.0,0.0001469,0.0020303,323,5
500.0,0.0003863,0.0032413,323,5
1000.0,0.0007236,0.0044441,323,5
2000.0,0.0016348,0.006679,323,5
5000.0,0.0039116,0.0103624,323,5
10000.0,0.007719799999999998,0.0146449,323,5
20000.0,0.0157905,0.0208287,323,5
50000.0,0.0393689,0.0329019,323,5
100000.0,0.07827,0.0457794,323,5
100.0,0.0002367,0.0025261,273,1
200.0,0.0004923,0.0036467,273,1
500.0,0.0011316,0.0056057,273,1
1000.0,0.0023693,0.0080009,273,1
2000.0,0.00473,0.0113423,273,1
5000.0,0.0120394,0.0181846,273,1
10000.0,0.023932,0.0258165,273,1
20000.0,0.0476321,0.0356552,273,1
50000.0,0.1181422,0.0496958,273,1
100000.0,0.2360695,0.0689724,273,1
100.0,0.000136,0.0019186,298,1
200.0,0.0003021,0.0028506,298,1
500.0,0.000778,0.0046148,298,1
1000.0,0.0016158,0.0066224,298,1
2000.0,0.0030656,0.0092084,298,1
5000.0,0.0078694,0.0145828,298,1
10000.0,0.0161686,0.0212711,298,1
20000.0,0.0317389,0.0293976,298,1
