Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.2033812,0.07425279999999998,273,5
200.0,0.420302,0.1099632,273,5
500.0,1.0411257,0.1600535,273,5
1000.0,2.0223123,0.2149135,273,5
2000.0,3.2247737,0.2138851,273,5
5000.0,4.4026265,0.1668385,273,5
10000.0,5.0338251,0.1384874,273,5
20000.0,5.5873183,0.1321002,273,5
50000.0,6.1247089,0.1091313,273,5
100000.0,6.5785432,0.1423655,273,5
1000000.0,7.7683615,0.1537118,273,5
100.0,0.0601135,0.0411637,298,5
200.0,0.1250642,0.057943,298,5
500.0,0.2822422,0.0854076,298,5
1000.0,0.6008708,0.1354527,298,5
2000.0,1.0897482,0.1663622,298,5
5000.0,2.3342597,0.2069168,298,5
10000.0,3.4656292,0.1944246,298,5
20000.0,4.3626677,0.1576721,298,5
50000.0,5.2202769,0.1376402,298,5
100000.0,5.6967339,0.1297064,298,5
1000000.0,7.0882059,0.1495065,298,5
100.0,0.0227116,0.0201831,323,5
200.0,0.0437637,0.0273492,323,5
500.0,0.1051412,0.0415576,323,5
1000.0,0.2121538,0.0614941,323,5
2000.0,0.4001807,0.0755904,323,5
5000.0,0.9593244,0.1295545,323,5
10000.0,1.7582671,0.1440163,323,5
20000.0,2.743316,0.151244,323,5
50000.0,3.9846752,0.1294577,323,5
100000.0,4.7781878,0.1219523,323,5
1000000.0,6.420662,0.0988973,323,5
100.0,0.23904,0.08493009999999998,273,1
200.0,0.4671785,0.1112621,273,1
500.0,1.1839348,0.1672277,273,1
1000.0,2.1558038,0.2228619,273,1
2000.0,3.3712773,0.2150285,273,1
5000.0,4.5951018,0.1891087,273,1
10000.0,5.2811344,0.1586795,273,1
20000.0,5.8674336,0.1353888,273,1
50000.0,6.4508725,0.1210685,273,1
100000.0,7.0083131,0.1436599,273,1
1000000.0,8.3827163,0.1501121,273,1
100.0,0.0686385,0.0448947,298,1
200.0,0.1435357,0.062934,298,1
500.0,0.343872,0.0945952,298,1
1000.0,0.6544851,0.1309499,298,1
2000.0,1.3002448,0.1773365,298,1
5000.0,2.5508687,0.2260641,298,1
10000.0,3.614062,0.1875442,298,1
20000.0,4.5267209,0.1701237,298,1
50000.0,5.4466119,0.154518,298,1
100000.0,5.9289847,0.1313508,298,1
1000000.0,7.470654299999999,0.1223907,298,1
100.0,0.0251196,0.0206779,323,1
200.0,0.0502222,0.0285817,323,1
500.0,0.1286437,0.0447848,323,1
1000.0,0.2507806,0.0655714,323,1
2000.0,0.4779017,0.0873444,323,1
5000.0,1.0980167,0.12234,323,1
10000.0,1.929356,0.1466835,323,1
20000.0,2.9528797,0.1601268,323,1
50000.0,4.2316035,0.1459416,323,1
100000.0,4.9910892,0.1236002,323,1
1000000.0,6.7145954,0.1114733,323,1
100.0,1.0693446,0.1629356,273,6
200.0,1.9619233,0.1928696,273,6
500.0,3.403169,0.1884837,273,6
1000.0,4.0797605,0.1532795,273,6
2000.0,4.618208,0.1146739,273,6
5000.0,5.0732211,0.1049141,273,6
10000.0,5.4243202,0.1108333,273,6
20000.0,5.7703962,0.1253275,273,6
50000.0,6.2414147,0.1098089,273,6
100000.0,6.5911821,0.095754,273,6
1000000.0,7.5030066,0.1044846,273,6
100.0,0.2845208,0.092597,298,6
200.0,0.53245,0.1229016,298,6
500.0,1.1842931,0.1740638,298,6
