Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0002754,0.0027977,273,5
200.0,0.0005452,0.003959,273,5
500.0,0.0014776,0.0064699,273,5
1000.0,0.0028204,0.008947099999999998,273,5
2000.0,0.0057011,0.0126642,273,5
5000.0,0.0141194,0.0200464,273,5
10000.0,0.0280753,0.0283057,273,5
20000.0,0.0555769,0.0395519,273,5
50000.0,0.1401455,0.0551793,273,5
100000.0,0.2665049,0.07486869999999998,273,5
100.0,0.0001951,0.002358,298,5
200.0,0.0003127,0.0029792,298,5
500.0,0.0008641,0.0049371,298,5
1000.0,0.001426,0.0064815,298,5
2000.0,0.0032652,0.0097827,298,5
5000.0,0.0083035,0.0154258,298,5
10000.0,0.0165181,0.0216863,298,5
20000.0,0.0329243,0.0302719,298,5
50000.0,0.0803669,0.0413606,298,5
100000.0,0.1558677,0.0576992,298,5
100.0,0.0001521,0.0020833,323,5
200.0,0.0002611,0.0027246,323,5
500.0,0.0005308,0.0039713,323,5
1000.0,0.0011133,0.0056876,323,5
2000.0,0.0021433,0.007967999999999998,323,5
5000.0,0.0052478,0.0122287,323,5
10000.0,0.0098099,0.0168138,323,5
20000.0,0.0206756,0.0244396,323,5
50000.0,0.0506954,0.0373451,323,5
100000.0,0.097918,0.0458405,323,5
100.0,0.0005997,0.0041641,273,1
200.0,0.0010301,0.0054448,273,1
500.0,0.0028247,0.0090625,273,1
1000.0,0.0056782,0.0125898,273,1
2000.0,0.0110522,0.0179692,273,1
5000.0,0.0276507,0.0282117,273,1
10000.0,0.0543976,0.0389862,273,1
20000.0,0.1069933,0.0497871,273,1
50000.0,0.2599352,0.07410419999999998,273,1
100000.0,0.4807498,0.0936004,273,1
100.0,0.0002869,0.0028548,298,1
200.0,0.0005911,0.0041157,298,1
500.0,0.0015695,0.0067355,298,1
1000.0,0.0029524,0.0092312,298,1
2000.0,0.0059737,0.0131626,298,1
5000.0,0.0146818,0.0204916,298,1
10000.0,0.0298743,0.0290274,298,1
20000.0,0.0580386,0.040358,298,1
50000.0,0.1419139,0.0570316,298,1
100000.0,0.2793466,0.07316459999999998,298,1
100.0,0.0001836,0.0023237,323,1
200.0,0.0003701,0.003263,323,1
500.0,0.0008522,0.0049044,323,1
1000.0,0.0018908,0.0073127,323,1
2000.0,0.0034459,0.0099507,323,1
5000.0,0.008645,0.0157394,323,1
10000.0,0.018122,0.0228077,323,1
20000.0,0.0346803,0.0313855,323,1
50000.0,0.0866964,0.0430626,323,1
100000.0,0.17034,0.0594828,323,1
100.0,0.0003902,0.0033479,273,6
200.0,0.0006226,0.0042392,273,6
500.0,0.0016641,0.0068523,273,6
1000.0,0.0036095,0.0102642,273,6
2000.0,0.0065705,0.0135298,273,6
5000.0,0.0165694,0.0218431,273,6
10000.0,0.0326546,0.0303708,273,6
20000.0,0.0663135,0.0373854,273,6
50000.0,0.1598473,0.0584179,273,6
100000.0,0.3067512,0.0807221,273,6
100.0,0.0001722,0.0022158,298,6
200.0,0.0003988,0.0033592,298,6
500.0,0.0009325,0.0051681,298,6
1000.0,0.0018937,0.0073063,298,6
2000.0,0.0040054,0.0107476,298,6
5000.0,0.0096119,0.0165963,298,6
10000.0,0.0184979,0.0229513,298,6
20000.0,0.0375868,0.0323994,298,6
50000.0,0.0914938,0.0448825,298,6
100000.0,0.1779894,0.0624646,298,6
100.0,0.0001521,0.0020833,323,6
200.0,0.0001922,0.0023407,323,6
500.0,0.0005652,0.0039873,323,6
1000.0,0.0012137,0.0059436,323,6
2000.0,0.0022323,0.007844399999999998,323,6
5000.0,0.0057413,0.0127045,323,6
10000.0,0.0114052,0.0181623,323,6
20000.0,0.0230054,0.0254459,323,6
50000.0,0.0572926,0.0407429,323,6
100000.0,0.1109729,0.0495566,323,6
100.0,0.0008407,0.0049399,273,2
200.0,0.0017244,0.0070333,273,2
500.0,0.0044989,0.0112966,273,2
1000.0,0.0085646,0.0154458,273,2
2000.0,0.0180818,0.0227457,273,2
5000.0,0.0443897,0.0305829,273,2
10000.0,0.08611399999999998,0.0414895,273,2
20000.0,0.1666158,0.057547,273,2
50000.0,0.3951346,0.08225219999999998,273,2
100000.0,0.6962915,0.1056827,273,2
100.0,0.0003873,0.0033605,298,2
200.0,0.0008149,0.0048517,298,2
500.0,0.0022064,0.0079196,298,2
1000.0,0.0041747,0.010923,298,2
2000.0,0.0091442,0.0160659,298,2
5000.0,0.0221385,0.0250089,298,2
10000.0,0.0431043,0.0293271,298,2
20000.0,0.0881368,0.0440941,298,2
50000.0,0.2088909,0.0642293,298,2
100000.0,0.3859334,0.083914,298,2
100.0,0.0002611,0.0027246,323,2
200.0,0.0004648,0.0036449,323,2
500.0,0.0012825,0.0060255,323,2
1000.0,0.0025479,0.0085652,323,2
2000.0,0.0048949,0.0119028,323,2
5000.0,0.0126389,0.0188073,323,2
10000.0,0.0249163,0.0265164,323,2
20000.0,0.0476922,0.0365833,323,2
