Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0092479,0.0220619,273,5
200.0,0.0180022,0.0308764,273,5
500.0,0.0449372,0.0489062,273,5
1000.0,0.0923479,0.0600151,273,5
2000.0,0.1826004,0.08451709999999998,273,5
5000.0,0.4679208,0.1331711,273,5
10000.0,0.9717191,0.1933586,273,5
20000.0,2.1950744,0.3054697,273,5
50000.0,6.4795925,0.454988,273,5
100000.0,9.7412848,0.3622778,273,5
1000000.0,13.9531466,0.1997164,273,5
100.0,0.0040647,0.0146863,298,5
200.0,0.0078024,0.0203059,298,5
500.0,0.020108,0.0322738,298,5
1000.0,0.0404831,0.0468984,298,5
2000.0,0.0804777,0.0652329,298,5
5000.0,0.2052396,0.0962141,298,5
10000.0,0.409928,0.1299699,298,5
20000.0,0.8368653,0.1783769,298,5
50000.0,2.2524934,0.3289889,298,5
100000.0,4.8725462,0.4620418,298,5
1000000.0,12.212325,0.2295044,298,5
100.0,0.0019291,0.00826,323,5
200.0,0.0040352,0.0117989,323,5
500.0,0.0098693,0.0184471,323,5
1000.0,0.0208765,0.0272703,323,5
2000.0,0.041627,0.0381703,323,5
5000.0,0.1001499,0.0509799,323,5
10000.0,0.2116543,0.0751678,323,5
20000.0,0.4176233,0.1068556,323,5
50000.0,1.0585802,0.1710862,323,5
100000.0,2.1957678,0.2433968,323,5
1000000.0,10.2625627,0.2443882,323,5
100.0,0.0140373,0.0275016,273,1
200.0,0.0279958,0.0388436,273,1
500.0,0.0719772,0.0529168,273,1
1000.0,0.1482975,0.0784242,273,1
2000.0,0.2951245,0.108627,273,1
5000.0,0.7806863,0.174159,273,1
10000.0,1.6892779,0.2599579,273,1
20000.0,3.9040336,0.4150058,273,1
50000.0,8.9242416,0.3948814,273,1
100000.0,11.3154148,0.2812012,273,1
1000000.0,14.6357655,0.1859411,273,1
100.0,0.0061023,0.0180164,298,1
200.0,0.0118632,0.0251344,298,1
500.0,0.0307476,0.0402723,298,1
1000.0,0.0609333,0.0566678,298,1
2000.0,0.1205117,0.0717767,298,1
5000.0,0.3095872,0.1148026,298,1
10000.0,0.6386249,0.1631895,298,1
20000.0,1.2877004,0.2372694,298,1
50000.0,3.6392142,0.3789192,298,1
100000.0,7.0291933,0.4137039,298,1
1000000.0,13.1825734,0.2140075,298,1
100.0,0.0029794,0.0102585,323,1
200.0,0.0059167,0.0142487,323,1
500.0,0.0147358,0.0227092,323,1
1000.0,0.0304273,0.0326546,323,1
2000.0,0.0604239,0.0464378,323,1
5000.0,0.1495456,0.0613552,323,1
10000.0,0.3034826,0.0931024,323,1
20000.0,0.5953501,0.1200146,323,1
50000.0,1.592834,0.2092775,323,1
100000.0,3.2735607,0.2930273,323,1
1000000.0,11.3001848,0.219505,323,1
100.0,0.0051885,0.01651,273,6
200.0,0.0106343,0.0236664,273,6
500.0,0.0258742,0.0365932,273,6
1000.0,0.0512443,0.0520937,273,6
2000.0,0.1051721,0.07389329999999998,273,6
5000.0,0.2655165,0.1067578,273,6
10000.0,0.5453539,0.152429,273,6
20000.0,1.1161159,0.2182769,273,6
50000.0,3.2480976,0.3817836,273,6
100000.0,6.6776172,0.4253717,273,6
1000000.0,12.6133082,0.2576817,273,6
100.0,0.0026415,0.0118095,298,6
