Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0192597,0.0337116,273,5
200.0,0.0415437,0.0428947,273,5
500.0,0.102734,0.0662982,273,5
1000.0,0.2060834,0.0926059,273,5
2000.0,0.4074721,0.1287376,273,5
5000.0,0.974705,0.1765284,273,5
10000.0,1.6483252,0.2078771,273,5
20000.0,2.4366179,0.2254128,273,5
50000.0,3.1650021,0.1512219,273,5
100000.0,3.4476809,0.1144018,273,5
1000000.0,3.7702571,0.0552374,273,5
100.0,0.0063183,0.0193665,298,5
200.0,0.0136271,0.0284156,298,5
500.0,0.0330627,0.0437074,298,5
1000.0,0.0688332,0.0563762,298,5
2000.0,0.1342493,0.07274269999999998,298,5
5000.0,0.3264351,0.1197979,298,5
10000.0,0.648992,0.1640824,298,5
20000.0,1.1684807,0.207068,298,5
50000.0,2.0747662,0.2140096,298,5
100000.0,2.7655291,0.1741737,298,5
1000000.0,3.6548723,0.0757941,298,5
100.0,0.002661,0.0125624,323,5
200.0,0.0054274,0.0179532,323,5
500.0,0.0129824,0.027481,323,5
1000.0,0.0251619,0.0385234,323,5
2000.0,0.0530843,0.0476686,323,5
5000.0,0.131055,0.075489,323,5
10000.0,0.2466545,0.0976878,323,5
20000.0,0.4961706,0.144498,323,5
50000.0,1.0526085,0.1895061,323,5
100000.0,1.7021234,0.2154688,323,5
1000000.0,3.4252956,0.1124431,323,5
100.0,0.053014,0.0492834,273,1
200.0,0.1115081,0.0697717,273,1
500.0,0.2767512,0.1104911,273,1
1000.0,0.5334572,0.1457815,273,1
2000.0,0.9899343,0.1806655,273,1
5000.0,1.9129679,0.2119199,273,1
10000.0,2.6587868,0.1962931,273,1
20000.0,3.1654654,0.1500326,273,1
50000.0,3.586922,0.110313,273,1
100000.0,3.7616342,0.0912099,273,1
1000000.0,4.3455458,0.1248123,273,1
100.0,0.0169504,0.0316264,298,1
200.0,0.0320135,0.0434304,298,1
500.0,0.0845293,0.063348,298,1
1000.0,0.1625938,0.08173909999999998,298,1
2000.0,0.3114139,0.1144394,298,1
5000.0,0.7619711999999998,0.1709059,298,1
10000.0,1.3272088,0.1991558,298,1
20000.0,1.9952291,0.2145001,298,1
50000.0,2.9279136,0.1742984,298,1
100000.0,3.3107479,0.1395132,298,1
1000000.0,3.9737275,0.07902009999999998,298,1
100.0,0.0063007,0.0195048,323,1
200.0,0.0117985,0.0262497,323,1
500.0,0.0311051,0.0425834,323,1
1000.0,0.0593499,0.0503356,323,1
2000.0,0.1193748,0.07139,323,1
5000.0,0.3019013,0.1107821,323,1
10000.0,0.5646561,0.1545285,323,1
20000.0,1.0090592,0.186127,323,1
50000.0,1.8986912,0.2141843,323,1
100000.0,2.6025031,0.1907517,323,1
1000000.0,3.6733477,0.0947965,323,1
100.0,0.0385604,0.0414038,273,6
200.0,0.0769626,0.0556343,273,6
500.0,0.1906745,0.08781229999999998,273,6
1000.0,0.3584964,0.1128898,273,6
2000.0,0.691802,0.1670112,273,6
5000.0,1.4056158,0.1861405,273,6
10000.0,2.1503189,0.2098965,273,6
20000.0,2.7880959,0.1866666,273,6
50000.0,3.323974,0.1298486,273,6
