Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0002023,0.0031921,273,5
200.0,0.0004299,0.0046975,273,5
500.0,0.0010373,0.0072744,273,5
1000.0,0.0019936,0.0099958,273,5
2000.0,0.0040003,0.0142184,273,5
5000.0,0.0095279,0.021864,273,5
10000.0,0.0195313,0.0313409,273,5
20000.0,0.0391485,0.0445004,273,5
50000.0,0.0966904,0.0697639,273,5
100000.0,0.1906801,0.0852508,273,5
100.0,0.0001467,0.0027195,298,5
200.0,0.0002225,0.0033472,298,5
500.0,0.0006827,0.0058799,298,5
1000.0,0.0013958,0.0083466,298,5
2000.0,0.0025337,0.0113299,298,5
5000.0,0.0067919,0.0186135,298,5
10000.0,0.0137103,0.0263855,298,5
20000.0,0.0265407,0.0370526,298,5
50000.0,0.0658813,0.0577655,298,5
100000.0,0.1310294,0.08025549999999998,298,5
100.0,8.43e-05,0.0016837,323,5
200.0,0.0001787,0.002448,323,5
500.0,0.0004723,0.0039908,323,5
1000.0,0.0008968,0.0054669,323,5
2000.0,0.001915,0.008075799999999998,323,5
5000.0,0.0049258,0.0128982,323,5
10000.0,0.0094437,0.0177844,323,5
20000.0,0.0189345,0.0254814,323,5
50000.0,0.048078,0.0403616,323,5
100000.0,0.0944365,0.05601,323,5
100.0,0.0003338,0.004157,273,1
200.0,0.0004754,0.0049323,273,1
500.0,0.0014211,0.0083882,273,1
1000.0,0.0028978,0.0120759,273,1
2000.0,0.0064582,0.0180505,273,1
5000.0,0.0149595,0.0278795,273,1
10000.0,0.0301971,0.0395237,273,1
20000.0,0.0608342,0.0553244,273,1
50000.0,0.1508738,0.08616229999999998,273,1
100000.0,0.2912393,0.1066084,273,1
100.0,0.0001719,0.0029439,298,1
200.0,0.000445,0.0048303,298,1
500.0,0.0009917,0.0070122,298,1
1000.0,0.0018358,0.0095665,298,1
2000.0,0.0037475,0.0137582,298,1
5000.0,0.0095077,0.0223585,298,1
10000.0,0.0190559,0.0306966,298,1
20000.0,0.0388147,0.0437987,298,1
50000.0,0.09539280000000001,0.068434,298,1
100000.0,0.1893979,0.0974638,298,1
100.0,9.44e-05,0.0017815,323,1
200.0,0.000209,0.0026465,323,1
500.0,0.0006541,0.004747,323,1
1000.0,0.0013668,0.0068184,323,1
2000.0,0.0027242,0.0096588,323,1
5000.0,0.0065609,0.0147404,323,1
10000.0,0.0137862,0.021459,323,1
20000.0,0.026072,0.0294214,323,1
50000.0,0.0662708,0.0474154,323,1
100000.0,0.1290419,0.0567781,323,1
100.0,0.000268,0.003672,273,6
200.0,0.0005158,0.0050815,273,6
500.0,0.0011885,0.0077275,273,6
1000.0,0.0022781,0.0108489,273,6
2000.0,0.0045971,0.0152087,273,6
5000.0,0.0120414,0.0251957,273,6
10000.0,0.0242801,0.0351183,273,6
20000.0,0.0476447,0.0485539,273,6
50000.0,0.1172129,0.0751441,273,6
100000.0,0.235331,0.0985218,273,6
100.0,0.0001568,0.0028114,298,6
200.0,0.0002832,0.0037739,298,6
500.0,0.0008248,0.0064055,298,6
1000.0,0.0014717,0.008590399999999998,298,6
2000.0,0.0033833,0.0130145,298,6
5000.0,0.0080613,0.020178,298,6
10000.0,0.0157636,0.0282821,298,6
20000.0,0.0309456,0.0394429,298,6
50000.0,0.0779784,0.0632353,298,6
100000.0,0.1521638,0.0877979,298,6
100.0,0.0001264,0.0025255,323,6
200.0,0.0001821,0.0031933,323,6
500.0,0.0004754,0.0048801,323,6
1000.0,0.0011531,0.007548799999999999,323,6
2000.0,0.0023225,0.0107775,323,6
5000.0,0.0056186,0.0167851,323,6
10000.0,0.010944,0.0236328,323,6
20000.0,0.0219486,0.0332339,323,6
50000.0,0.0542919,0.0521177,323,6
100000.0,0.108312,0.073712,323,6
100.0,0.0006372,0.0056861,273,2
200.0,0.0013156,0.0081132,273,2
500.0,0.003267,0.0127967,273,2
1000.0,0.0060283,0.0174598,273,2
2000.0,0.0123954,0.0248285,273,2
5000.0,0.0320986,0.0336645,273,2
10000.0,0.0639798,0.0476989,273,2
20000.0,0.1240705,0.0656873,273,2
50000.0,0.2969339,0.097261,273,2
100000.0,0.5507796,0.1219827,273,2
100.0,0.0003338,0.004095,298,2
200.0,0.0006018,0.0055304,298,2
500.0,0.0015845,0.0090115,298,2
1000.0,0.0034187,0.0132873,298,2
2000.0,0.0067919,0.0187231,298,2
5000.0,0.0172605,0.0301753,298,2
10000.0,0.0325791,0.0406037,298,2
20000.0,0.0644299,0.0476198,298,2
50000.0,0.1613731,0.07534059999999998,298,2
100000.0,0.3184752,0.0995333,298,2
100.0,0.000177,0.0029867,323,2
200.0,0.0004096,0.0045892,323,2
500.0,0.0009609000000000002,0.0069414,323,2
1000.0,0.0020431,0.0101358,323,2
2000.0,0.0041997,0.014583,323,2
5000.0,0.009983100000000002,0.0224599,323,2
10000.0,0.0196425,0.0316776,323,2
20000.0,0.0427038,0.046334,323,2
50000.0,0.099042,0.0592064,323,2
100000.0,0.2008554,0.0853246,323,2
100.0,0.000209,0.0026465,273,8
200.0,0.0004147,0.0037466,273,8
500.0,0.0010148,0.0058,273,8
1000.0,0.0019521,0.008116,273,8
2000.0,0.0037491,0.0112649,273,8
5000.0,0.0097269,0.0182831,273,8
10000.0,0.018917,0.0251857,273,8
20000.0,0.0377173,0.0355214,273,8
50000.0,0.0951412,0.0567457,273,8
100000.0,0.1925075,0.07320939999999998,273,8
100.0,0.0001113,0.0019336,298,8
200.0,0.0002529,0.0029477,298,8
500.0,0.0006777,0.0048268,298,8
1000.0,0.0014127,0.0069542,298,8
2000.0,0.002704,0.0096997,298,8
5000.0,0.0063924,0.0145817,298,8
10000.0,0.0127073,0.0206311,298,8
20000.0,0.0258765,0.029168,298,8
50000.0,0.0652694,0.0467147,298,8
100000.0,0.1282193,0.06449,298,8
100.0,8.43e-05,0.0016837,323,8
200.0,0.0001821,0.0024709,323,8
500.0,0.0004552,0.0039199,323,8
1000.0,0.0009811,0.0058254,323,8
2000.0,0.0018645,0.0079672,323,8
5000.0,0.0044538,0.0122702,323,8
10000.0,0.0091874,0.0175593,323,8
20000.0,0.0193783,0.0258164,323,8
50000.0,0.0471373,0.0394514,323,8
100000.0,0.0935329,0.0562046,323,8
100.0,0.0002832,0.0031138,273,4
200.0,0.0005529,0.0042821,273,4
500.0,0.001464,0.0069862,273,4
1000.0,0.0029872,0.0099646,273,4
2000.0,0.0059474,0.0141798,273,4
5000.0,0.0149359,0.0224644,273,4
10000.0,0.0293222,0.0316084,273,4
20000.0,0.0593827,0.0445364,273,4
50000.0,0.146149,0.0604765,273,4
100000.0,0.2927444,0.08361939999999998,273,4
100.0,0.0001618,0.0023303,298,4
200.0,0.0003608,0.0035014,298,4
500.0,0.0009508,0.0057022,298,4
1000.0,0.0018004,0.0077434,298,4
2000.0,0.0037795,0.0110971,298,4
5000.0,0.0096459,0.018095,298,4
10000.0,0.0191638,0.0254884,298,4
20000.0,0.0373397,0.0356991,298,4
50000.0,0.0937555,0.0554793,298,4
100000.0,0.1857644,0.0688535,298,4
100.0,0.0001349,0.0021281,323,4
200.0,0.0002664,0.0030227,323,4
500.0,0.0006271,0.0045801,323,4
1000.0,0.0013385,0.0067028,323,4
