Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0004826,0.0037965,273,5
200.0,0.0010132,0.0055319,273,5
500.0,0.0026708,0.0090704,273,5
1000.0,0.005,0.0122049,273,5
2000.0,0.0101468,0.0174148,273,5
5000.0,0.0252636,0.0273403,273,5
10000.0,0.0512677,0.0339353,273,5
20000.0,0.09905820000000001,0.0470765,273,5
50000.0,0.2355022,0.0692245,273,5
100000.0,0.4233969,0.08952509999999998,273,5
100.0,0.0002788,0.0028773,298,5
200.0,0.0005785,0.0041673,298,5
500.0,0.0013069,0.0062662,298,5
1000.0,0.002491,0.0085939,298,5
2000.0,0.0052817,0.0124879,298,5
5000.0,0.0134711,0.0203315,298,5
10000.0,0.0263158,0.0283393,298,5
20000.0,0.0513486,0.0332331,298,5
50000.0,0.1238862,0.0530949,298,5
100000.0,0.2356132,0.0713952,298,5
100.0,0.0001493,0.0016317,323,5
200.0,0.0002752,0.0022222,323,5
500.0,0.0007517999999999998,0.003653,323,5
1000.0,0.001491,0.0051887,323,5
2000.0,0.0029964,0.0074209,323,5
5000.0,0.007489199999999999,0.0115725,323,5
10000.0,0.0149549,0.0163055,323,5
20000.0,0.0298655,0.0197456,323,5
50000.0,0.0722676,0.0309198,323,5
100000.0,0.1396953,0.0422488,323,5
100.0,0.0008662999999999999,0.0051279,273,1
200.0,0.0018675,0.0074771,273,1
500.0,0.0043795,0.0115224,273,1
1000.0,0.0090287,0.016239,273,1
2000.0,0.0187349,0.0238826,273,1
5000.0,0.0448828,0.0315835,273,1
10000.0,0.08700189999999998,0.0445156,273,1
20000.0,0.1643755,0.0592702,273,1
50000.0,0.3770086,0.0825194,273,1
100000.0,0.6368459,0.1000083,273,1
100.0,0.0004287,0.0036338,298,1
200.0,0.0008903,0.0051413,298,1
500.0,0.0022602,0.008269999999999998,298,1
1000.0,0.0044476,0.011429,298,1
2000.0,0.0089118,0.0161956,298,1
5000.0,0.022308,0.0259281,298,1
10000.0,0.0435789,0.0358993,298,1
20000.0,0.08559899999999998,0.0438258,298,1
50000.0,0.1994331,0.0642223,298,1
100000.0,0.3805145,0.07993709999999998,298,1
100.0,0.0002626,0.0021722,323,1
200.0,0.0004586,0.0028917,323,1
500.0,0.0011996,0.0046503,323,1
1000.0,0.0024748,0.0067023,323,1
2000.0,0.0048813,0.009413500000000002,323,1
5000.0,0.0119424,0.0145372,323,1
10000.0,0.0235484,0.0204358,323,1
20000.0,0.0472299,0.0255155,323,1
50000.0,0.1163111,0.0393886,323,1
100000.0,0.2222624,0.0531179,323,1
100.0,0.0005336,0.0039861,273,6
200.0,0.0009352,0.00528,273,6
500.0,0.0022782,0.0083192,273,6
1000.0,0.004901,0.0121159,273,6
2000.0,0.0095203,0.0168913,273,6
5000.0,0.0241845,0.0269695,273,6
10000.0,0.0477694,0.0370936,273,6
20000.0,0.09287260000000001,0.0474278,273,6
50000.0,0.220309,0.069635,273,6
100000.0,0.3986908,0.0872625,273,6
100.0,0.0002398,0.0026704,298,6
200.0,0.0005276,0.0039643,298,6
500.0,0.001205,0.0060089,298,6
1000.0,0.0023771,0.0083831,298,6
2000.0,0.004916,0.0120912,298,6
5000.0,0.012431,0.0190935,298,6
10000.0,0.0244633,0.0269596,298,6
20000.0,0.0491993,0.0375433,298,6
50000.0,0.1164831,0.0497475,298,6
100000.0,0.2201598,0.0691042,298,6
100.0,0.0001499,0.0021143,323,6
200.0,0.0003477,0.0032376,323,6
500.0,0.0006775,0.0044753,323,6
1000.0,0.0015168,0.0066786,323,6
2000.0,0.0027248,0.0090841,323,6
5000.0,0.0070328,0.0145065,323,6
10000.0,0.0140317,0.0204316,323,6
20000.0,0.0280544,0.0285132,323,6
50000.0,0.0689145,0.0395033,323,6
100000.0,0.1304369,0.0522329,323,6
100.0,0.0008093,0.0049864,273,2
200.0,0.0017386,0.0071463,273,2
500.0,0.0041537,0.0111023,273,2
1000.0,0.0083543,0.0157316,273,2
2000.0,0.0171791,0.0226125,273,2
5000.0,0.0417204,0.0354285,273,2
10000.0,0.0811596,0.0432774,273,2
20000.0,0.1549511,0.0589686,273,2
50000.0,0.3503557,0.0798838,273,2
100000.0,0.5951345,0.0957669,273,2
100.0,0.0004946,0.0038186,298,2
200.0,0.0008693,0.0051362,298,2
500.0,0.0020443,0.007848199999999998,298,2
1000.0,0.0041936,0.011205,298,2
2000.0,0.0084052,0.01581,298,2
5000.0,0.0204045,0.0244546,298,2
10000.0,0.040908,0.0342708,298,2
20000.0,0.07901329999999998,0.0424662,298,2
50000.0,0.191087,0.0632599,298,2
100000.0,0.347576,0.08060599999999998,298,2
100.0,0.0002758,0.0028619,323,2
200.0,0.0004526,0.0037044,323,2
500.0,0.0011451,0.0058234,323,2
1000.0,0.0022452,0.008236,323,2
2000.0,0.0046582,0.0118338,323,2
5000.0,0.0113458,0.0183671,323,2
10000.0,0.0229705,0.0261956,323,2
20000.0,0.0455213,0.0367379,323,2
50000.0,0.1092956,0.0511856,323,2
100000.0,0.2091355,0.0650705,323,2
100.0,0.0004874,0.0029969,273,8
200.0,0.0009694,0.0041637,273,8
500.0,0.0024352,0.0066635,273,8
1000.0,0.0048309,0.0093257,273,8
2000.0,0.0097535,0.0131849,273,8
5000.0,0.0240718,0.0207223,273,8
10000.0,0.0481004,0.0265838,273,8
20000.0,0.0915552,0.035174,273,8
50000.0,0.2145947,0.0529632,273,8
100000.0,0.3837863,0.0657595,273,8
100.0,0.0002464,0.0021061,298,8
200.0,0.0004802,0.0029436,298,8
500.0,0.0012374,0.0046923,298,8
1000.0,0.002518,0.0068392,298,8
2000.0,0.0050701,0.0095515,298,8
5000.0,0.0124208,0.0148799,298,8
10000.0,0.0248524,0.0210102,298,8
20000.0,0.0493697,0.0264823,298,8
50000.0,0.1163411,0.0395416,298,8
100000.0,0.2231697,0.0526972,298,8
100.0,0.0001277,0.0015314,323,8
200.0,0.0003004,0.0023187,323,8
500.0,0.0007554,0.0036699,323,8
1000.0,0.0014766,0.0051427,323,8
2000.0,0.0028615,0.0072387,323,8
5000.0,0.0070808,0.011312,323,8
10000.0,0.0142678,0.0161459,323,8
20000.0,0.0284099,0.0227107,323,8
50000.0,0.0686814,0.0342763,323,8
100000.0,0.1305119,0.0467641,323,8
100.0,0.0008651,0.0039234,273,4
200.0,0.0016385,0.0054315,273,4
500.0,0.0041259,0.008636299999999998,273,4
1000.0,0.0084586,0.0124102,273,4
2000.0,0.0169351,0.0174041,273,4
5000.0,0.0417048,0.0241787,273,4
10000.0,0.08004269999999998,0.0325723,273,4
20000.0,0.1543552,0.0450655,273,4
50000.0,0.3520117,0.0637969,273,4
100000.0,0.5948599,0.07749459999999998,273,4
100.0,0.0004388,0.0027982,298,4
200.0,0.0008561,0.0038798,298,4
500.0,0.0020971,0.0061992,298,4
1000.0,0.0042518,0.008706099999999998,298,4
2000.0,0.0081276,0.0122101,298,4
5000.0,0.0201096,0.0189263,298,4
