Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0992557,0.0497552,273,5
200.0,0.191177,0.0668912,273,5
500.0,0.4065606,0.08727899999999998,273,5
1000.0,0.6551712,0.1076341,273,5
2000.0,1.0037158,0.1116437,273,5
5000.0,1.5033208,0.106572,273,5
10000.0,1.7568459,0.0917049,273,5
20000.0,2.0417407,0.093087,273,5
50000.0,2.2937277,0.1060111,273,5
100000.0,2.4953234,0.0777294,273,5
1000000.0,3.1200915,0.0577749,273,5
100.0,0.028758,0.0267948,298,5
200.0,0.05706,0.0377107,298,5
500.0,0.1295862,0.0553338,298,5
1000.0,0.2533968,0.0795792,298,5
2000.0,0.4244313,0.0941757,298,5
5000.0,0.7775054999999998,0.0994355,298,5
10000.0,1.1487193,0.1161923,298,5
20000.0,1.4752148,0.1034329,298,5
50000.0,1.8830969,0.0930991,298,5
100000.0,2.0830239,0.0866838,298,5
1000000.0,2.7710666,0.079489,298,5
100.0,0.0092929,0.018353,323,5
200.0,0.017951,0.0216725,323,5
500.0,0.0439616,0.0337976,323,5
1000.0,0.0863361,0.0461829,323,5
2000.0,0.176868,0.0655754,323,5
5000.0,0.3509704,0.08555119999999998,323,5
10000.0,0.5913529,0.093295,323,5
20000.0,0.9319629,0.1055121,323,5
50000.0,1.3866468,0.1106749,323,5
100000.0,1.6960076,0.1088313,323,5
1000000.0,2.3813695,0.0934175,323,5
100.0,0.105438,0.052481,273,1
200.0,0.2098028,0.0649805,273,1
500.0,0.4441284,0.088648,273,1
1000.0,0.6885215,0.1060444,273,1
2000.0,1.0778548,0.1098562,273,1
5000.0,1.5744453,0.0980344,273,1
10000.0,1.8291724,0.0908859,273,1
20000.0,2.0535708,0.0875721,273,1
50000.0,2.3395942,0.08068699999999998,273,1
100000.0,2.5627228,0.1026703,273,1
1000000.0,3.1127906,0.0624362,273,1
100.0,0.0306115,0.0293722,298,1
200.0,0.0573149,0.0388803,298,1
500.0,0.1403933,0.0599562,298,1
1000.0,0.2576802,0.07672579999999998,298,1
2000.0,0.4599022,0.103478,298,1
5000.0,0.8373264999999999,0.1063119,298,1
10000.0,1.2246313,0.1262748,298,1
20000.0,1.5445353,0.1072372,298,1
50000.0,1.90845,0.0939376,298,1
100000.0,2.1098257,0.08553139999999998,298,1
1000000.0,2.8916837,0.0617852,298,1
100.0,0.010008,0.0190167,323,1
200.0,0.0204065,0.0227541,323,1
500.0,0.0481392,0.035292,323,1
1000.0,0.0933997,0.0480433,323,1
2000.0,0.1757008,0.0663818,323,1
5000.0,0.3826412,0.0871027,323,1
10000.0,0.6557819,0.1079807,323,1
20000.0,0.9709953,0.1138263,323,1
50000.0,1.4376944,0.1053718,323,1
100000.0,1.756871,0.0987504,323,1
1000000.0,2.4948875,0.0910806,323,1
100.0,0.0663091,0.0410096,273,6
200.0,0.1263281,0.0538638,273,6
500.0,0.2886127,0.07452939999999998,273,6
1000.0,0.4760798,0.099265,273,6
2000.0,0.7598994,0.1063048,273,6
5000.0,1.2175284,0.1166614,273,6
10000.0,1.577558,0.1055627,273,6
20000.0,1.8595931,0.0991044,273,6
50000.0,2.2395229,0.0966313,273,6
100000.0,2.5374302,0.0926003,273,6
1000000.0,3.1329831,0.07825219999999998,273,6
100.0,0.0186734,0.021707,298,6
200.0,0.0372665,0.0299902,298,6
500.0,0.0919936,0.047806,298,6
1000.0,0.1804655,0.065284,298,6
2000.0,0.3133496,0.08282249999999998,298,6
5000.0,0.5977289,0.1013171,298,6
10000.0,0.9355741,0.1208637,298,6
20000.0,1.26883,0.120666,298,6
50000.0,1.7277429,0.0943252,298,6
100000.0,2.0057023,0.0979007,298,6
1000000.0,2.706818,0.07794869999999998,298,6
100.0,0.006458,0.0156196,323,6
200.0,0.0133975,0.0220961,323,6
500.0,0.032403,0.0293302,323,6
1000.0,0.0635654,0.0398391,323,6
2000.0,0.1188449,0.0536087,323,6
5000.0,0.2727721,0.07653649999999998,323,6
10000.0,0.4803797,0.0924219,323,6
20000.0,0.7726513,0.1065246,323,6
50000.0,1.2071693,0.1177307,323,6
100000.0,1.5532725,0.1193099,323,6
1000000.0,2.3888714,0.0968434,323,6
