Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,4.77e-05,0.001192,273,5
200.0,9.54e-05,0.0016844,273,5
500.0,0.0002714,0.0028321,273,5
1000.0,0.0006293,0.004307,273,5
2000.0,0.0012616,0.0061493,273,5
5000.0,0.0032449,0.0098539,273,5
10000.0,0.006791,0.0140793,273,5
20000.0,0.0130482,0.0170011,273,5
50000.0,0.0324252,0.0271074,273,5
100000.0,0.0634187,0.0378466,273,5
100.0,3.28e-05,0.0009886,298,5
200.0,5.67e-05,0.0012988,298,5
500.0,0.0001789,0.0023033,298,5
1000.0,0.0003072,0.0030697,298,5
2000.0,0.0007039,0.0045859,298,5
5000.0,0.0016851,0.0070267,298,5
10000.0,0.0034089,0.0099471,298,5
20000.0,0.0068179,0.0143698,298,5
50000.0,0.0164929,0.0187868,298,5
100000.0,0.0350016,0.0270864,298,5
100.0,3.28e-05,0.0009886,323,5
200.0,5.67e-05,0.0012988,323,5
500.0,0.0001133,0.001835,323,5
1000.0,0.0001909,0.0024154,323,5
2000.0,0.0003758,0.0033797,323,5
5000.0,0.0010588,0.0056304,323,5
10000.0,0.0019475,0.0076292,323,5
20000.0,0.0038026,0.0106805,323,5
50000.0,0.0102059,0.0173418,323,5
100000.0,0.0196931,0.0204891,323,5
100.0,0.0001879,0.0023598,273,1
200.0,0.000343,0.0031799,273,1
500.0,0.0008141999999999998,0.0049687,273,1
1000.0,0.0015956,0.0069202,273,1
2000.0,0.003221,0.0097529,273,1
5000.0,0.0076023,0.0148562,273,1
10000.0,0.0149987,0.0180615,273,1
20000.0,0.0309876,0.0269524,273,1
50000.0,0.0784741,0.0400997,273,1
100000.0,0.146629,0.053528,273,1
100.0,8.949999999999998e-05,0.0016311,298,1
200.0,0.0001551,0.0021861,298,1
500.0,0.0004026,0.0034931,298,1
1000.0,0.0007844,0.0048832,298,1
2000.0,0.0015509,0.0067811,298,1
5000.0,0.0039398,0.0109602,298,1
10000.0,0.0078677,0.0152779,298,1
20000.0,0.0161619,0.0188672,298,1
50000.0,0.0394071,0.0289704,298,1
100000.0,0.0740213,0.0389155,298,1
100.0,3.88e-05,0.0010746,323,1
200.0,7.75e-05,0.0015188,323,1
500.0,0.0002326,0.0026574,323,1
1000.0,0.000379,0.0033405,323,1
2000.0,0.0009037,0.0051642,323,1
5000.0,0.0021802,0.007955699999999998,323,1
10000.0,0.0041933,0.0112321,323,1
20000.0,0.0086998,0.0162046,323,1
50000.0,0.020391,0.0212509,323,1
100000.0,0.0424074,0.0302933,323,1
100.0,5.37e-05,0.0012642,273,6
200.0,8.949999999999998e-05,0.0016311,273,6
500.0,0.0002714,0.0028321,273,6
1000.0,0.0005189,0.0039451,273,6
2000.0,0.0010051,0.0055126,273,6
5000.0,0.00255,0.008705,273,6
10000.0,0.0051328,0.0122709,273,6
20000.0,0.0097794,0.0170387,273,6
50000.0,0.0242622,0.0243425,273,6
100000.0,0.050117,0.0328422,273,6
100.0,2.98e-05,0.0009427,298,6
200.0,5.67e-05,0.0012988,298,6
500.0,0.0001193,0.0018825,298,6
1000.0,0.0002088,0.0024865,298,6
2000.0,0.0005458,0.0040855,298,6
5000.0,0.0013779,0.0063454,298,6
10000.0,0.0028632,0.0093072,298,6
20000.0,0.0056667,0.0130718,298,6
50000.0,0.0131019,0.0200405,298,6
100000.0,0.0265885,0.0245573,298,6
100.0,1.49e-05,0.0006667,323,6
200.0,2.39e-05,0.0008432,323,6
500.0,5.96e-05,0.0013325,323,6
1000.0,0.0001402,0.0020399,323,6
2000.0,0.0003072,0.0030112,323,6
5000.0,0.0009037,0.0051985,323,6
