Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.009425,0.0282473,273,5
200.0,0.0168872,0.0380419,273,5
500.0,0.0463988,0.05243,273,5
1000.0,0.0840125,0.0717266,273,5
2000.0,0.1697199,0.09913400000000001,273,5
5000.0,0.4091677,0.1444495,273,5
10000.0,0.746043,0.1882129,273,5
20000.0,1.3272767,0.2531261,273,5
50000.0,2.6289823,0.3660561,273,5
100000.0,4.3364925,0.4355983,273,5
1000000.0,23.1548107,0.5876201,273,5
100.0,0.0038478,0.0181212,298,5
200.0,0.0074709,0.0251406,298,5
500.0,0.0191268,0.0408392,298,5
1000.0,0.037337,0.0566976,298,5
2000.0,0.0759537,0.08090269999999998,298,5
5000.0,0.1800788,0.1086881,298,5
10000.0,0.3623365,0.1441091,298,5
20000.0,0.6813784,0.1972619,298,5
50000.0,1.4379954,0.2661723,298,5
100000.0,2.5075703,0.3410541,298,5
1000000.0,14.7726831,0.8675866,298,5
100.0,0.0019311,0.0106258,323,5
200.0,0.0037297,0.0147322,323,5
500.0,0.0096441,0.0234236,323,5
1000.0,0.0191787,0.0333254,323,5
2000.0,0.0375345,0.0471913,323,5
5000.0,0.0975734,0.063187,323,5
10000.0,0.1886874,0.0852629,323,5
20000.0,0.3600134,0.1174866,323,5
50000.0,0.8421727,0.1670669,323,5
100000.0,1.5144624,0.2246608,323,5
1000000.0,9.3330713,0.5623936,323,5
100.0,0.0115176,0.0314223,273,1
200.0,0.0227757,0.0442444,273,1
500.0,0.0565416,0.0702958,273,1
1000.0,0.1122185,0.0857787,273,1
2000.0,0.2136198,0.1096139,273,1
5000.0,0.5079176,0.1659302,273,1
10000.0,0.9542666,0.220506,273,1
20000.0,1.6898636,0.3043885,273,1
50000.0,3.4928399,0.4037083,273,1
100000.0,5.8892984,0.5330343,273,1
1000000.0,26.234455,0.5563042,273,1
100.0,0.0046693,0.020109,298,1
200.0,0.0099957,0.029556,298,1
500.0,0.0244619,0.0455637,298,1
1000.0,0.0483617,0.0647233,298,1
2000.0,0.0995855,0.0784643,298,1
5000.0,0.2367673,0.1182364,298,1
10000.0,0.4634767,0.1691513,298,1
20000.0,0.887178,0.2159703,298,1
50000.0,1.8958151,0.3057615,298,1
100000.0,3.2842942,0.4095144,298,1
1000000.0,19.3751671,0.7516908,298,1
100.0,0.0025768,0.0122151,323,1
200.0,0.0049517,0.0166396,323,1
500.0,0.0124457,0.0270681,323,1
1000.0,0.0253755,0.0385244,323,1
2000.0,0.0500075,0.053007,323,1
5000.0,0.1208134,0.0711291,323,1
10000.0,0.2421399,0.0994801,323,1
20000.0,0.4700356,0.1339066,323,1
50000.0,1.0709835,0.1946844,323,1
100000.0,1.9394506,0.2689487,323,1
1000000.0,12.5312847,0.6227358,323,1
100.0,0.007332499999999999,0.0252406,273,6
200.0,0.015547,0.037098,273,6
500.0,0.0382968,0.0573396,273,6
1000.0,0.0756856,0.0797924,273,6
2000.0,0.1512243,0.1001651,273,6
5000.0,0.3715406,0.1548822,273,6
10000.0,0.7179676,0.2080468,273,6
20000.0,1.3509569,0.2795483,273,6
50000.0,3.0158321,0.407035,273,6
100000.0,5.7503501,0.5342396,273,6
1000000.0,25.1342215,0.4733206,273,6
100.0,0.0035625,0.0174449,298,6
200.0,0.0065197,0.0236668,298,6
500.0,0.0178643,0.0399738,298,6
1000.0,0.0352704,0.055738,298,6
2000.0,0.0697712,0.0772724,298,6
