Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0008446,0.0063098,273,5
200.0,0.001433,0.0083393,273,5
500.0,0.003592,0.0131813,273,5
1000.0,0.007629999999999999,0.019271,273,5
2000.0,0.0138364,0.0259448,273,5
5000.0,0.0352459,0.0411709,273,5
10000.0,0.0711656,0.0575262,273,5
20000.0,0.1436503,0.0708207,273,5
50000.0,0.3413983,0.1100933,273,5
100000.0,0.657678,0.1437241,273,5
100.0,0.0004225,0.0044576,298,5
200.0,0.0008446,0.0063098,298,5
500.0,0.002121,0.0100994,298,5
1000.0,0.0040807,0.0139961,298,5
2000.0,0.0083844,0.0198428,298,5
5000.0,0.0211959,0.0316872,298,5
10000.0,0.0409888,0.0441566,298,5
20000.0,0.07977769999999998,0.0617786,298,5
50000.0,0.1984361,0.0853188,298,5
100000.0,0.3866656,0.1136884,298,5
100.0,0.0002879,0.003037,323,5
200.0,0.0005346,0.0041019,323,5
500.0,0.0012464,0.0062669,323,5
1000.0,0.0025338,0.0088508,323,5
2000.0,0.0050044,0.0126444,323,5
5000.0,0.0129412,0.0202389,323,5
10000.0,0.0257464,0.0283585,323,5
20000.0,0.0507431,0.0402771,323,5
50000.0,0.1256161,0.0555646,323,5
100000.0,0.242862,0.0751074,323,5
100.0,0.0008635999999999998,0.0063782,273,1
200.0,0.0018078,0.0091823,273,1
500.0,0.0048684,0.0152634,273,1
1000.0,0.009997700000000002,0.0218015,273,1
2000.0,0.0197534,0.0303456,273,1
5000.0,0.0495331,0.0489994,273,1
10000.0,0.0966519,0.0665608,273,1
20000.0,0.1933987,0.0841196,273,1
50000.0,0.4525865,0.1227411,273,1
100000.0,0.8483279,0.1579289,273,1
100.0,0.0005931,0.0053143,298,1
200.0,0.0010819,0.0072087,298,1
500.0,0.0029561,0.0119116,298,1
1000.0,0.00549,0.0163075,298,1
2000.0,0.0102634,0.0220586,298,1
5000.0,0.0272927,0.0364075,298,1
10000.0,0.0533576,0.050507,298,1
20000.0,0.1088741,0.0708575,298,1
50000.0,0.2648709,0.0983603,298,1
100000.0,0.501802,0.1310676,298,1
100.0,0.0003195,0.0031945,323,1
200.0,0.0005726,0.0042877,323,1
500.0,0.0016489,0.0071445,323,1
1000.0,0.0033342,0.0102841,323,1
2000.0,0.0066905,0.0144951,323,1
5000.0,0.0161647,0.0225126,323,1
10000.0,0.0334934,0.0322682,323,1
20000.0,0.0660062,0.04601,323,1
50000.0,0.1634369,0.0635102,323,1
100000.0,0.3172709,0.08609169999999998,323,1
100.0,0.0006548,0.0056562,273,6
200.0,0.0013286,0.007885299999999998,273,6
500.0,0.003331,0.0123982,273,6
1000.0,0.0067948,0.0182848,273,6
2000.0,0.0136609,0.0255091,273,6
5000.0,0.0338176,0.0399697,273,6
10000.0,0.0682521,0.0567223,273,6
20000.0,0.137216,0.0791647,273,6
50000.0,0.3338063,0.1108985,273,6
100000.0,0.6302172,0.1454632,273,6
100.0,0.0004081,0.0044325,298,6
200.0,0.0006358,0.0054969,298,6
500.0,0.001898,0.0094424,298,6
1000.0,0.0038387,0.0133835,298,6
2000.0,0.0077154,0.0191548,298,6
5000.0,0.0195162,0.0299399,298,6
10000.0,0.0393361,0.0432332,298,6
20000.0,0.0774717,0.0599861,298,6
50000.0,0.1887468,0.0838364,298,6
100000.0,0.3636524,0.1134591,298,6
100.0,0.0002989,0.0038138,323,6
200.0,0.0006501,0.0055157,323,6
500.0,0.0011673,0.0074111,323,6
1000.0,0.0025101,0.0108723,323,6
2000.0,0.0050629,0.0155151,323,6
5000.0,0.0123465,0.0244216,323,6
10000.0,0.0243751,0.033613,323,6
20000.0,0.0480953,0.0470501,323,6
50000.0,0.118981,0.0745939,323,6
100000.0,0.2370651,0.0906735,323,6
100.0,0.0010629,0.0070855,273,2
200.0,0.0021163,0.010022,273,2
