Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.1729823,0.07285139999999998,273,5
200.0,0.3144856,0.095931,273,5
500.0,0.7530056,0.1321508,273,5
1000.0,1.2427295,0.1636732,273,5
2000.0,1.8929081,0.1641953,273,5
5000.0,2.7323957,0.1516529,273,5
10000.0,3.2619328,0.1347021,273,5
20000.0,3.7533064,0.124895,273,5
50000.0,4.4035783,0.1720246,273,5
100000.0,4.9465782,0.1235083,273,5
1000000.0,5.9265672,0.08262899999999998,273,5
100.0,0.0464,0.037942,298,5
200.0,0.0952442,0.0531695,298,5
500.0,0.2228143,0.0838719,298,5
1000.0,0.4358534,0.1157228,298,5
2000.0,0.7863481,0.1454923,298,5
5000.0,1.5385388,0.1677254,298,5
10000.0,2.1886172,0.1716221,298,5
20000.0,2.7574841,0.1492056,298,5
50000.0,3.3765095,0.1262859,298,5
100000.0,3.9025762,0.143774,298,5
1000000.0,5.3879881,0.1295119,298,5
100.0,0.0167593,0.0273617,323,5
200.0,0.0330522,0.037744,323,5
500.0,0.0793054,0.0514587,323,5
1000.0,0.1619359,0.0690879,323,5
2000.0,0.311448,0.0969247,323,5
5000.0,0.6840655,0.1373975,323,5
10000.0,1.1703754,0.1573857,323,5
20000.0,1.789334,0.1633969,323,5
50000.0,2.5886916,0.1501396,323,5
100000.0,3.081154,0.1398163,323,5
1000000.0,4.6656851,0.183335,323,5
100.0,0.215517,0.0804204,273,1
200.0,0.4316561,0.1090637,273,1
500.0,0.9425883,0.1571856,273,1
1000.0,1.5398073,0.1785413,273,1
2000.0,2.2465082,0.1691966,273,1
5000.0,3.0692765,0.1494424,273,1
10000.0,3.649625,0.1393875,273,1
20000.0,4.2395431,0.1683497,273,1
50000.0,4.9788707,0.1441177,273,1
100000.0,5.3433094,0.1417534,273,1
1000000.0,6.06872,0.0769851,273,1
100.0,0.0615615,0.0453351,298,1
200.0,0.1235851,0.0652178,298,1
500.0,0.2979188,0.092017,298,1
1000.0,0.5716733,0.1213779,298,1
2000.0,0.9869704,0.1417807,298,1
5000.0,1.8043446,0.1747115,298,1
10000.0,2.5066914,0.1594242,298,1
20000.0,3.0578379,0.1414177,298,1
50000.0,3.799164,0.1582068,298,1
100000.0,4.2826214,0.154028,298,1
1000000.0,5.7063457,0.1040683,298,1
100.0,0.0210689,0.0301865,323,1
200.0,0.0415549,0.0362332,323,1
500.0,0.1054181,0.060132,323,1
1000.0,0.2080941,0.0796988,323,1
