Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.2807542,0.0693207,273,5
200.0,0.4420213,0.075911,273,5
500.0,0.6639385,0.0766637,273,5
1000.0,0.8732729999999999,0.0793558,273,5
2000.0,0.98804,0.0530027,273,5
5000.0,1.1094629,0.0500009,273,5
10000.0,1.1784335,0.0515322,273,5
20000.0,1.2811406,0.0623362,273,5
50000.0,1.458425,0.0719986,273,5
100000.0,1.6526739,0.0992124,273,5
1000000.0,2.7339375,0.105557,273,5
100.0,0.0669487,0.0388701,298,5
200.0,0.1291076,0.0544234,298,5
500.0,0.2415879,0.0608564,298,5
1000.0,0.4524989,0.0860978,298,5
2000.0,0.6299086,0.0735547,298,5
5000.0,0.8825849999999998,0.0642525,298,5
10000.0,1.0003689,0.0559573,298,5
20000.0,1.0954487,0.055746,298,5
50000.0,1.1972623,0.061676,298,5
100000.0,1.3216121,0.0685729,298,5
1000000.0,2.0562735,0.0983354,298,5
100.0,0.0182959,0.0199024,323,5
200.0,0.0342592,0.0283098,323,5
500.0,0.0909776,0.0425003,323,5
1000.0,0.1607323,0.0545185,323,5
2000.0,0.2847774,0.0707782,323,5
5000.0,0.5030955,0.07750799999999998,323,5
10000.0,0.7009508,0.0809649,323,5
20000.0,0.8537344,0.07307389999999998,323,5
50000.0,1.0360582,0.062592,323,5
100000.0,1.132423,0.0605177,323,5
1000000.0,1.6222655,0.09068830000000001,323,5
100.0,0.0612852,0.0385685,273,1
200.0,0.1197176,0.050324,273,1
500.0,0.2498453,0.0655279,273,1
1000.0,0.4160344,0.0730997,273,1
2000.0,0.6369525,0.08902129999999998,273,1
5000.0,0.8854286999999998,0.08488709999999998,273,1
10000.0,1.0960401,0.0771911,273,1
20000.0,1.3135544,0.08577129999999998,273,1
50000.0,1.5558797,0.08616989999999998,273,1
100000.0,1.9454946,0.0977663,273,1
1000000.0,2.9368127,0.0934313,273,1
100.0,0.0156041,0.0191506,298,1
200.0,0.0308523,0.0259308,298,1
500.0,0.07605349999999998,0.0396104,298,1
1000.0,0.1328355,0.0545981,298,1
2000.0,0.2535241,0.072148,298,1
5000.0,0.4559307,0.0813302,298,1
10000.0,0.6643608,0.0896316,298,1
20000.0,0.9107338,0.0822433,298,1
50000.0,1.184945,0.0790628,298,1
100000.0,1.3977642,0.07676679999999998,298,1
1000000.0,2.304267,0.1067515,298,1
100.0,0.0045287,0.0104074,323,1
200.0,0.0090669,0.0146897,323,1
