# pressure[Pa],mean_volume_N2[mol/kg],mean_error_N2[mol/kg],mean_volume_CO2[mol/kg],mean_error_CO2[mol/kg]
1.000000000000000000e+02,2.821999999999999747e-04,2.896600000000000043e-03,6.614999999999999786e-04,4.399300000000000085e-03
2.000000000000000000e+02,5.703000000000000387e-04,4.139199999999999997e-03,1.414099999999999949e-03,6.440000000000000412e-03
5.000000000000000000e+02,1.452299999999999902e-03,6.557900000000000187e-03,3.451399999999999867e-03,1.006510000000000044e-02
1.000000000000000000e+03,3.045700000000000143e-03,9.483800000000000563e-03,7.220200000000000402e-03,1.470160000000000043e-02
2.000000000000000000e+03,5.926700000000000024e-03,1.306019999999999924e-02,1.455809999999999917e-02,2.060359999999999969e-02
5.000000000000000000e+03,1.509609999999999945e-02,2.106080000000000105e-02,3.589839999999999698e-02,3.244249999999999912e-02
1.000000000000000000e+04,2.922490000000000157e-02,2.944050000000000139e-02,7.167039999999999522e-02,3.911529999999999868e-02
2.000000000000000000e+04,5.913779999999999731e-02,4.173400000000000026e-02,1.444843000000000099e-01,5.623530000000000195e-02
5.000000000000000000e+04,1.415829000000000115e-01,5.546469999999999873e-02,3.547750000000000070e-01,8.396810000000000385e-02
1.000000000000000000e+05,2.657732999999999901e-01,7.633829999999999782e-02,6.829775999999999625e-01,1.171371999999999969e-01
2.000000000000000000e+05,4.874213000000000018e-01,1.025334999999999996e-01,1.339058599999999988e+00,1.673845999999999945e-01
5.000000000000000000e+05,8.908964999999999801e-01,1.331573000000000062e-01,2.803385099999999852e+00,2.145687000000000011e-01
1.000000000000000000e+06,1.167724900000000066e+00,1.526910999999999963e-01,4.102362600000000192e+00,2.315753000000000117e-01
