Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.1086,0.0402494,273,5
200.0,0.2147845,0.0582339,273,5
500.0,0.4864013,0.0765696,273,5
1000.0,0.8700019,0.1136213,273,5
2000.0,1.3951129,0.1144913,273,5
5000.0,2.2270522,0.127146,273,5
10000.0,2.9287114,0.1288462,273,5
20000.0,3.5941933,0.1318366,273,5
50000.0,4.2814758,0.1040413,273,5
100000.0,4.846708,0.1056818,273,5
1000000.0,5.8060407,0.0680177,273,5
100.0,0.0347639,0.0243999,298,5
200.0,0.0701368,0.0334278,298,5
500.0,0.1690953,0.0523943,298,5
1000.0,0.310297,0.0671809,298,5
2000.0,0.5774333,0.08838369999999998,298,5
5000.0,1.1521466,0.115525,298,5
10000.0,1.7588038,0.128662,298,5
20000.0,2.4086908,0.1247595,298,5
50000.0,3.2462329,0.1137281,298,5
100000.0,3.8596345,0.1118776,298,5
1000000.0,5.3205394,0.07358779999999998,298,5
100.0,0.0130531,0.0144167,323,5
200.0,0.0252798,0.0170664,323,5
500.0,0.0616068,0.0266894,323,5
1000.0,0.1252961,0.0378991,323,5
2000.0,0.2453144,0.0503412,323,5
5000.0,0.5252874,0.071858,323,5
10000.0,0.9193976,0.0880899,323,5
20000.0,1.4734976,0.1016171,323,5
50000.0,2.311096,0.1075288,323,5
100000.0,2.9430961,0.0977202,323,5
1000000.0,4.6888053,0.0799493,323,5
100.0,0.1512314,0.0493386,273,1
200.0,0.2953023,0.0690085,273,1
500.0,0.6322724,0.0874423,273,1
1000.0,1.1041852,0.118978,273,1
2000.0,1.7368827,0.1297243,273,1
5000.0,2.7575296,0.129306,273,1
10000.0,3.4727537,0.1318973,273,1
20000.0,4.1041157,0.1255398,273,1
50000.0,4.8323194,0.1155669,273,1
100000.0,5.2639929,0.0909514,273,1
1000000.0,6.0316056,0.0641404,273,1
100.0,0.0459601,0.0287515,298,1
200.0,0.0911673,0.0389738,298,1
500.0,0.2177537,0.0587468,298,1
1000.0,0.4051678,0.08105859999999998,298,1
2000.0,0.7383385,0.0981701,298,1
5000.0,1.4478565,0.123692,298,1
10000.0,2.1162496,0.1321381,298,1
20000.0,2.8457525,0.1187695,298,1
50000.0,3.7277733,0.1078593,298,1
100000.0,4.3532095,0.1131511,298,1
1000000.0,5.6376057,0.080182,298,1
100.0,0.0161018,0.016139,323,1
200.0,0.0323219,0.0199022,323,1
500.0,0.07915139999999998,0.0291313,323,1
1000.0,0.1571033,0.0409693,323,1
2000.0,0.2951257,0.0552003,323,1
5000.0,0.672641,0.0824478,323,1
10000.0,1.1544514,0.0954162,323,1
20000.0,1.7642392,0.1093679,323,1
50000.0,2.6897373,0.1055289,323,1
100000.0,3.3409687,0.0989942,323,1
1000000.0,5.0871895,0.0880688,323,1
100.0,0.0829285,0.0380341,273,6
200.0,0.1606663,0.0526052,273,6
500.0,0.3759529,0.0767488,273,6
1000.0,0.6942116,0.1015386,273,6
2000.0,1.2048063,0.1279271,273,6
5000.0,2.118705,0.1460971,273,6
10000.0,2.7967214,0.1248907,273,6
20000.0,3.4157985,0.1210408,273,6
50000.0,4.1532507,0.1158835,273,6
100000.0,4.6792132,0.0923558,273,6
1000000.0,5.6241098,0.07415589999999998,273,6
100.0,0.0267761,0.0250405,298,6
200.0,0.0553148,0.0309313,298,6
500.0,0.1308543,0.0486905,298,6
1000.0,0.2577681,0.065753,298,6
2000.0,0.4761365,0.0857503,298,6
5000.0,1.0165089,0.1217779,298,6
10000.0,1.633057,0.1313684,298,6
20000.0,2.2911644,0.12557,298,6
50000.0,3.1894622,0.1194612,298,6
100000.0,3.7324941,0.1128483,298,6
1000000.0,5.1784403,0.0908562,298,6
100.0,0.0110267,0.0163995,323,6
200.0,0.0206684,0.0221894,323,6
500.0,0.0524995,0.0308255,323,6
1000.0,0.1025075,0.0413978,323,6
2000.0,0.2012045,0.0599385,323,6
5000.0,0.4561298,0.081015,323,6
10000.0,0.8134071,0.109518,323,6
20000.0,1.3715531,0.1202957,323,6
50000.0,2.2339439,0.1315725,323,6
100000.0,2.8360925,0.1178672,323,6
1000000.0,4.5510963,0.0983334,323,6
100.0,0.1777642,0.0522304,273,2
200.0,0.3325697,0.0696578,273,2
500.0,0.7288447,0.1039012,273,2
1000.0,1.2123135,0.1206948,273,2
2000.0,1.8299244,0.1263743,273,2
5000.0,2.6743906,0.1241374,273,2
10000.0,3.3263757,0.1243235,273,2
20000.0,3.8966572,0.1189559,273,2
50000.0,4.6394604,0.109632,273,2
100000.0,5.1094951,0.0842267,273,2
1000000.0,5.9915817,0.0789584,273,2
100.0,0.0494852,0.0285564,298,2
200.0,0.1013541,0.0398283,298,2
500.0,0.2544072,0.0613681,298,2
1000.0,0.4541776,0.0780946,298,2
2000.0,0.8208752999999999,0.09970250000000001,298,2
5000.0,1.5266809,0.1244524,298,2
10000.0,2.1616898,0.1242074,298,2
20000.0,2.7893872,0.1258011,298,2
50000.0,3.6136369,0.1130488,298,2
100000.0,4.164324,0.1124504,298,2
1000000.0,5.4989752,0.07965769999999998,298,2
100.0,0.0187075,0.0177523,323,2
200.0,0.0380012,0.0262226,323,2
500.0,0.08947829999999998,0.0383746,323,2
1000.0,0.1724357,0.0517213,323,2
2000.0,0.3356511,0.0711601,323,2
5000.0,0.7402889999999999,0.1042141,323,2
10000.0,1.2289565,0.1156515,323,2
20000.0,1.8280571,0.1251622,323,2
50000.0,2.680553,0.1218272,323,2
100000.0,3.2918098,0.1217688,323,2
1000000.0,4.9873018,0.1003656,323,2
100.0,0.0452456,0.023196,273,8
200.0,0.0910938,0.0336347,273,8
500.0,0.2197991,0.0499721,273,8
1000.0,0.411122,0.0686805,273,8
2000.0,0.7682594,0.0870297,273,8
5000.0,1.5614674,0.1132682,273,8
10000.0,2.2988842,0.1132747,273,8
20000.0,3.0204247,0.1021877,273,8
50000.0,3.8307202,0.0960122,273,8
100000.0,4.3309419,0.0877757,273,8
1000000.0,5.5683909,0.0758784,273,8
100.0,0.0162218,0.0159946,298,8
200.0,0.0320837,0.02255,298,8
