Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0014772,0.0059519,273,5
200.0,0.0029246,0.0084475,273,5
500.0,0.0069182,0.0129062,273,5
1000.0,0.0145487,0.0187323,273,5
2000.0,0.0285626,0.0262401,273,5
5000.0,0.0717075,0.0365918,273,5
10000.0,0.1391298,0.0484927,273,5
20000.0,0.2645843,0.0670332,273,5
50000.0,0.5863745,0.0939891,273,5
100000.0,1.03379,0.1185182,273,5
100.0,0.0006906,0.0040816,298,5
200.0,0.0015659,0.0061809,298,5
500.0,0.0033644,0.0090178,298,5
1000.0,0.0072899,0.0132213,298,5
2000.0,0.0143832,0.0186897,298,5
5000.0,0.0359461,0.029173,298,5
10000.0,0.0709689,0.0403525,298,5
20000.0,0.1377318,0.0489156,298,5
50000.0,0.3270648,0.0750107,298,5
100000.0,0.5918876,0.0966899,298,5
100.0,0.0004205,0.0025782,323,5
200.0,0.0008505,0.0037208,323,5
500.0,0.0019955,0.0056716,323,5
1000.0,0.0038816,0.0080292,323,5
2000.0,0.0077414,0.010956,323,5
5000.0,0.0197739,0.0177674,323,5
10000.0,0.038723,0.0242363,323,5
20000.0,0.0779416,0.032327,323,5
50000.0,0.1879937,0.0478226,323,5
100000.0,0.3510209,0.0611113,323,5
100.0,0.0017379,0.0064267,273,1
200.0,0.0036018,0.009301,273,1
500.0,0.0088486,0.0144685,273,1
1000.0,0.0173999,0.020574,273,1
2000.0,0.0355456,0.0291146,273,1
5000.0,0.0860716,0.038951,273,1
10000.0,0.1674287,0.0543903,273,1
20000.0,0.3217911,0.0713676,273,1
50000.0,0.7002414,0.1086781,273,1
100000.0,1.2100052,0.127912,273,1
100.0,0.0007845,0.0043061,298,1
200.0,0.0016986,0.0063454,298,1
500.0,0.0045082,0.0103325,298,1
1000.0,0.008666399999999998,0.0144118,298,1
2000.0,0.0172776,0.0204546,298,1
5000.0,0.0430033,0.0323224,298,1
10000.0,0.086249,0.0405461,298,1
20000.0,0.165845,0.0548055,298,1
50000.0,0.3861759,0.0727333,298,1
100000.0,0.6835946,0.1064966,298,1
100.0,0.0004732,0.0027562,323,1
200.0,0.0009624,0.0039606,323,1
500.0,0.0024156,0.0061806,323,1
1000.0,0.0047552,0.0087273,323,1
2000.0,0.0094066,0.0122148,323,1
5000.0,0.0237115,0.0191688,323,1
10000.0,0.0470585,0.0234989,323,1
20000.0,0.0931417,0.0329347,323,1
50000.0,0.2254668,0.0527138,323,1
100000.0,0.412231,0.0672149,323,1
100.0,0.0014004,0.0057246,273,6
200.0,0.0028071,0.008243099999999998,273,6
500.0,0.0069782,0.0128985,273,6
1000.0,0.0136758,0.0179523,273,6
2000.0,0.027812,0.0255729,273,6
5000.0,0.0681686,0.0345136,273,6
10000.0,0.1329046,0.0498425,273,6
20000.0,0.2571179,0.067438,273,6
50000.0,0.5782432,0.0972205,273,6
100000.0,1.0157517,0.1195012,273,6
100.0,0.000693,0.0040741,298,6
200.0,0.0014748,0.005938,298,6
500.0,0.0036282,0.0092193,298,6
1000.0,0.0070453,0.0128709,298,6
2000.0,0.0141722,0.0185395,298,6
5000.0,0.0352435,0.0289383,298,6
10000.0,0.068017,0.0390031,298,6
20000.0,0.1364153,0.0511171,298,6
50000.0,0.3212147,0.0715933,298,6
100000.0,0.5707156,0.0948748,298,6
