Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0168962,0.0231422,273,5
200.0,0.0358171,0.0288964,273,5
500.0,0.0830908,0.0423603,273,5
1000.0,0.1694028,0.0629338,273,5
2000.0,0.3152312,0.0783607,273,5
5000.0,0.7060981,0.1050903,273,5
10000.0,1.1557131,0.1258916,273,5
20000.0,1.5991403,0.1036802,273,5
50000.0,1.967795,0.0814542,273,5
100000.0,2.1317374,0.0608444,273,5
1000000.0,2.3539338,0.0441417,273,5
100.0,0.0057252,0.0134515,298,5
200.0,0.0115709,0.0191961,298,5
500.0,0.028813,0.0257661,298,5
1000.0,0.0554426,0.0372473,298,5
2000.0,0.1097372,0.0496135,298,5
5000.0,0.2652514,0.0777818,298,5
10000.0,0.4909781,0.095305,298,5
20000.0,0.8437761,0.1155035,298,5
50000.0,1.4300986,0.1176725,298,5
100000.0,1.8046674,0.0992757,298,5
1000000.0,2.267031,0.0448158,298,5
100.0,0.002212,0.008387,323,5
200.0,0.0043702,0.0117453,323,5
500.0,0.0106537,0.0183631,323,5
1000.0,0.0221009,0.0266549,323,5
2000.0,0.0427133,0.0323301,323,5
5000.0,0.1066662,0.0500141,323,5
10000.0,0.2113513,0.0682785,323,5
20000.0,0.3873204,0.0890349,323,5
50000.0,0.8097516,0.1158988,323,5
100000.0,1.2572323,0.1216863,323,5
1000000.0,2.1400531,0.0605961,323,5
100.0,0.0055316,0.013235,273,1
200.0,0.0110631,0.0187987,273,1
500.0,0.0269184,0.0246532,273,1
1000.0,0.0524094,0.0364702,273,1
2000.0,0.1085906,0.0502003,273,1
5000.0,0.2585893,0.07708149999999998,273,1
10000.0,0.4759965,0.095515,273,1
20000.0,0.8532100999999999,0.128536,273,1
50000.0,1.4564073,0.1127867,273,1
100000.0,1.7962682,0.0994873,273,1
1000000.0,2.2645728,0.0432805,273,1
100.0,0.0019581,0.007933499999999998,298,1
200.0,0.0040019,0.0112472,298,1
500.0,0.009876200000000002,0.0178951,298,1
1000.0,0.0197877,0.0249836,298,1
2000.0,0.0387527,0.0306915,298,1
5000.0,0.09720160000000001,0.0487442,298,1
10000.0,0.1924716,0.0663065,298,1
20000.0,0.3762335,0.08536259999999998,298,1
50000.0,0.7687484999999998,0.1032491,298,1
100000.0,1.1837536,0.1197298,298,1
1000000.0,2.1391079,0.0619974,298,1
100.0,0.000889,0.0052752,323,1
200.0,0.0017899,0.0075381,323,1
500.0,0.004297,0.011672,323,1
1000.0,0.008603599999999998,0.0167512,323,1
2000.0,0.0168168,0.0231238,323,1
5000.0,0.040514,0.0316085,323,1
10000.0,0.0825101,0.0444598,323,1
20000.0,0.1641505,0.0613292,323,1
50000.0,0.3829121,0.08942609999999998,323,1
100000.0,0.636535,0.1028702,323,1
1000000.0,1.9131274,0.0915018,323,1
100.0,0.0164011,0.0228656,273,6
200.0,0.0333004,0.027747,273,6
500.0,0.0839064,0.0426823,273,6
1000.0,0.1522972,0.0585399,273,6
2000.0,0.3214681,0.0794856,273,6
5000.0,0.6678754,0.1120133,273,6
10000.0,1.0519728,0.1271193,273,6
20000.0,1.5459483,0.1177584,273,6
50000.0,2.0211758,0.0955126,273,6
100000.0,2.2753493,0.07970439999999998,273,6
1000000.0,2.762553,0.0699125,273,6
100.0,0.0054776,0.013284,298,6
200.0,0.0107267,0.0182352,298,6
500.0,0.0276451,0.0288515,298,6
1000.0,0.0542525,0.0359129,298,6
2000.0,0.107337,0.0500791,298,6
5000.0,0.2575301,0.075742,298,6
10000.0,0.4643568,0.0952655,298,6
20000.0,0.8027821,0.1160851,298,6
50000.0,1.3937013,0.11696,298,6
100000.0,1.8070546,0.1054207,298,6
1000000.0,2.5282597,0.0641013,298,6
100.0,0.0022025,0.0084195,323,6
200.0,0.004297,0.0116461,323,6
500.0,0.0114059,0.018883,323,6
1000.0,0.0214757,0.0264719,323,6
2000.0,0.0439415,0.031707,323,6
5000.0,0.1023672,0.0478103,323,6
10000.0,0.2000279,0.0632222,323,6
20000.0,0.3772591,0.09023900000000001,323,6
50000.0,0.7756669,0.1099999,323,6
100000.0,1.2084421,0.122551,323,6
1000000.0,2.2968818,0.0775769,323,6
100.0,0.0051761,0.0128167,273,2
200.0,0.0096398,0.0175478,273,2
500.0,0.0248301,0.0234083,273,2
1000.0,0.0498729,0.0322184,273,2
2000.0,0.0951378,0.0446641,273,2
5000.0,0.2248721,0.0675435,273,2
10000.0,0.425616,0.08682869999999998,273,2
20000.0,0.741378,0.1151142,273,2
50000.0,1.3105793,0.1171853,273,2
100000.0,1.7540559,0.1126191,273,2
1000000.0,2.5727185,0.0653574,273,2
100.0,0.0017836,0.007566299999999998,298,2
200.0,0.0036211,0.010766,298,2
500.0,0.009635,0.0172144,298,2
1000.0,0.017835,0.0239542,298,2
2000.0,0.0347317,0.0279652,298,2
5000.0,0.0943666,0.0456117,298,2
10000.0,0.1734629,0.0600429,298,2
20000.0,0.3371914,0.08051419999999998,298,2
50000.0,0.6816366,0.101954,298,2
100000.0,1.0883889,0.1207562,298,2
1000000.0,2.2786757,0.07617799999999998,298,2
100.0,0.0008251,0.00509,323,2
200.0,0.0016312,0.00715,323,2
500.0,0.0037163,0.0108269,323,2
1000.0,0.007915699999999998,0.015729,323,2
2000.0,0.0156585,0.0221506,323,2
5000.0,0.0407489,0.0303778,323,2
10000.0,0.078029,0.0443377,323,2
20000.0,0.1492029,0.0603151,323,2
50000.0,0.3411239,0.0820284,323,2
100000.0,0.6087178,0.100316,323,2
1000000.0,1.9141138,0.0964019,323,2
100.0,0.0090796,0.0169853,273,8
200.0,0.0181783,0.0239243,273,8
500.0,0.0450237,0.0374024,273,8
1000.0,0.0897241,0.0470927,273,8
2000.0,0.1745694,0.0635742,273,8
5000.0,0.4246889,0.0989074,273,8
10000.0,0.7430919999999999,0.1147762,273,8
20000.0,1.2081702,0.1262302,273,8
50000.0,1.7338342,0.11112,273,8
100000.0,2.0159985,0.08706469999999998,273,8
1000000.0,2.4231112,0.0564888,273,8
100.0,0.003291,0.0101924,298,8
200.0,0.0067344,0.01441,298,8
500.0,0.016417,0.0228168,298,8
1000.0,0.0327229,0.0323882,298,8
2000.0,0.064995,0.0393639,298,8
5000.0,0.1564344,0.0627148,298,8
10000.0,0.310189,0.08448609999999998,298,8
20000.0,0.5751222,0.1015027,298,8
50000.0,1.0953534,0.1293718,298,8
100000.0,1.5402286,0.1202,298,8
1000000.0,2.2617284,0.0600483,298,8
100.0,0.0014884,0.0068582,323,8
200.0,0.0027007,0.0092557,323,8
500.0,0.007238999999999998,0.0152289,323,8
1000.0,0.0141796,0.0212647,323,8
2000.0,0.0276451,0.0289525,323,8
5000.0,0.0698633,0.0468945,323,8
10000.0,0.1381169,0.0658254,323,8
20000.0,0.2698738,0.08868089999999998,323,8
50000.0,0.603159,0.1196609,323,8
100000.0,0.9691611000000001,0.1419888,323,8
1000000.0,2.0886317,0.0934538,323,8
100.0,0.0027198,0.009326,273,4
200.0,0.0054173,0.0130913,273,4
500.0,0.0141098,0.0213016,273,4
1000.0,0.0275277,0.0294651,273,4
2000.0,0.0556711,0.042324,273,4
5000.0,0.1369198,0.0572562,273,4
10000.0,0.2637362,0.07799399999999998,273,4
20000.0,0.4939859,0.1044365,273,4
50000.0,1.0063854,0.1275951,273,4
100000.0,1.46688,0.1223659,273,4
1000000.0,2.2581934,0.058191,273,4
100.0,0.0010536,0.0057736,298,4
200.0,0.0022818,0.0085115,298,4
500.0,0.0055665,0.0132926,298,4
1000.0,0.0113234,0.0188366,298,4
2000.0,0.0225674,0.0268845,298,4
5000.0,0.0558043,0.0423413,298,4
10000.0,0.1121662,0.0550942,298,4
20000.0,0.2147084,0.0713981,298,4
50000.0,0.497012,0.1017662,298,4
100000.0,0.8339035999999999,0.1228349,298,4
1000000.0,2.0473256,0.08288049999999998,298,4
100.0,0.0005014,0.0039575,323,4
200.0,0.0010187,0.0056655,323,4
500.0,0.002596,0.0090383,323,4
1000.0,0.0050993,0.0127764,323,4
2000.0,0.0102158,0.01778,323,4
5000.0,0.0260456,0.0281494,323,4
10000.0,0.052872,0.0410025,323,4
20000.0,0.1041793,0.0558008,323,4
50000.0,0.2465178,0.08464779999999998,323,4
100000.0,0.4595637,0.1118176,323,4
1000000.0,1.7292812,0.1262491,323,4
100.0,0.012688,0.0201806,273,7
200.0,0.0262043,0.0290885,273,7
500.0,0.0632781,0.0381681,273,7
1000.0,0.1260739,0.0536908,273,7
2000.0,0.2458291,0.0735345,273,7
5000.0,0.5735051,0.1067294,273,7
10000.0,0.9529102,0.1244322,273,7
20000.0,1.4321899,0.129191,273,7
50000.0,1.9352295,0.1028697,273,7
100000.0,2.1660028,0.0783862,273,7
1000000.0,2.7389726,0.09697960000000001,273,7
100.0,0.0045954,0.0119604,298,7
200.0,0.0089908,0.0168242,298,7
500.0,0.0223865,0.0268203,298,7
1000.0,0.0446555,0.0325632,298,7
2000.0,0.0869182,0.044098,298,7
5000.0,0.2101901,0.0687894,298,7
10000.0,0.415673,0.0921774,298,7
20000.0,0.6895892,0.1134556,298,7
50000.0,1.3040177,0.1246843,298,7
100000.0,1.7115959,0.108236,298,7
1000000.0,2.4412348,0.0703182,298,7
100.0,0.001755,0.007526299999999999,323,7
200.0,0.0038718,0.011072,323,7
500.0,0.0089178,0.0169613,323,7
1000.0,0.0184322,0.0239026,323,7
2000.0,0.0361091,0.0339531,323,7
5000.0,0.0891524,0.0473353,323,7
10000.0,0.1741949,0.0634868,323,7
20000.0,0.3402737,0.0874902,323,7
50000.0,0.7127837,0.1092586,323,7
100000.0,1.1279783,0.1242656,323,7
1000000.0,2.224423,0.0772739,323,7
100.0,0.0036591,0.0109572,273,3
200.0,0.007496,0.0154502,273,3
500.0,0.0185274,0.0242105,273,3
1000.0,0.0372833,0.0344951,273,3
2000.0,0.07487439999999998,0.0436602,273,3
5000.0,0.1810357,0.0616139,273,3
10000.0,0.3559943,0.08970029999999998,273,3
20000.0,0.6249802,0.1118774,273,3
50000.0,1.2081945,0.1219762,273,3
100000.0,1.6428135,0.1205086,273,3
1000000.0,2.4761549,0.0772049,273,3
100.0,0.0014122,0.0066053,298,3
200.0,0.0028753,0.0096569,298,3
500.0,0.0071628,0.0152385,298,3
1000.0,0.0148429,0.0218023,298,3
2000.0,0.0286607,0.0304021,298,3
5000.0,0.07312259999999998,0.0428043,298,3
10000.0,0.1423448,0.0585202,298,3
20000.0,0.2745056,0.07815859999999998,298,3
50000.0,0.5980919,0.0979684,298,3
100000.0,1.0021048,0.1240107,298,3
1000000.0,2.1889257,0.0859738,298,3
100.0,0.0007393999999999999,0.0048294,323,3
200.0,0.0013424,0.0065587,323,3
500.0,0.003126,0.0100757,323,3
1000.0,0.0065662,0.0145464,323,3
