Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0004284,0.0036898,273,5
200.0,0.0009494,0.0054803,273,5
500.0,0.0021676,0.008374599999999998,273,5
1000.0,0.0046112,0.0121175,273,5
2000.0,0.0091495,0.0168105,273,5
5000.0,0.0223738,0.0270254,273,5
10000.0,0.0462042,0.0376502,273,5
20000.0,0.0901108,0.0479548,273,5
50000.0,0.2153879,0.0675737,273,5
100000.0,0.3878823,0.0906978,273,5
100.0,0.0002666,0.0028964,298,5
200.0,0.0004284,0.0036624,298,5
500.0,0.0012409,0.0062811,298,5
1000.0,0.0023516,0.0086336,298,5
2000.0,0.0048461,0.0125179,298,5
5000.0,0.0119993,0.0193599,298,5
10000.0,0.0245921,0.027729,298,5
20000.0,0.0474388,0.0385061,298,5
50000.0,0.1167054,0.0544548,298,5
100000.0,0.2213512,0.0703106,298,5
100.0,0.0001619,0.0022606,323,5
200.0,0.0002729,0.0029646,323,5
500.0,0.0008156,0.0051211,323,5
1000.0,0.0014059,0.0066219,323,5
2000.0,0.0028023,0.0093663,323,5
5000.0,0.007210399999999999,0.0150797,323,5
10000.0,0.0142367,0.0212265,323,5
20000.0,0.0275848,0.0295858,323,5
50000.0,0.0704631,0.046646,323,5
100000.0,0.1377676,0.0587704,323,5
100.0,0.0002253,0.0027021,273,1
200.0,0.0004856,0.0038954,273,1
500.0,0.0012409,0.0062004,273,1
1000.0,0.0022945,0.008508099999999998,273,1
2000.0,0.0046262,0.0120819,273,1
5000.0,0.0111996,0.0188063,273,1
10000.0,0.0227292,0.0267535,273,1
20000.0,0.0438965,0.0374767,273,1
50000.0,0.1112088,0.0526307,273,1
100000.0,0.2083617,0.0688555,273,1
100.0,0.0001396,0.0021005,298,1
200.0,0.0002571,0.0028446,298,1
500.0,0.0006633,0.0046059,298,1
1000.0,0.0012536,0.0062946,298,1
2000.0,0.0026499,0.0092595,298,1
5000.0,0.0064583,0.0142737,298,1
10000.0,0.0127388,0.0202085,298,1
20000.0,0.0254236,0.0279337,298,1
50000.0,0.0618746,0.0436309,298,1
100000.0,0.1248806,0.0539759,298,1
100.0,8.89e-05,0.001677,323,1
200.0,0.000146,0.0021939,323,1
500.0,0.0004221,0.0036631,323,1
1000.0,0.0008696,0.005334,323,1
2000.0,0.001686,0.0073272,323,1
5000.0,0.0038654,0.0111557,323,1
10000.0,0.0076388,0.0155202,323,1
20000.0,0.0158933,0.022472,323,1
50000.0,0.0396952,0.0352925,323,1
100000.0,0.0764615,0.0480484,323,1
100.0,0.0004506,0.0037816,273,6
200.0,0.0009933,0.0055985,273,6
500.0,0.0023453,0.008612,273,6
1000.0,0.0045351,0.0118439,273,6
2000.0,0.0089463,0.0169135,273,6
5000.0,0.0222468,0.0264685,273,6
10000.0,0.0456203,0.0375731,273,6
20000.0,0.08897779999999998,0.0456458,273,6
50000.0,0.2125572,0.0704742,273,6
100000.0,0.3927741,0.0901325,273,6
100.0,0.0001936,0.0024711,298,6
200.0,0.0005078,0.0039821,298,6
500.0,0.0012377,0.0062415,298,6
1000.0,0.0024691,0.0088033,298,6
2000.0,0.0050524,0.0126886,298,6
5000.0,0.0123008,0.0194488,298,6
10000.0,0.0246715,0.0279753,298,6
20000.0,0.0481592,0.0391664,298,6
50000.0,0.1170609,0.0526407,298,6
100000.0,0.2258577,0.0709129,298,6
100.0,0.0001396,0.0021479,323,6
200.0,0.0003047,0.0030945,323,6
500.0,0.0006096,0.004425,323,6
1000.0,0.0014384,0.0067672,323,6
2000.0,0.0027642,0.0093561,323,6
5000.0,0.0071914,0.0152548,323,6
10000.0,0.013967,0.0212799,323,6
20000.0,0.0286638,0.0296527,323,6
50000.0,0.0710852,0.0462642,323,6
100000.0,0.1345378,0.0568124,323,6
100.0,0.0001999,0.002511,273,2
200.0,0.0004284,0.0037974,273,2
500.0,0.0011584,0.0060188,273,2
1000.0,0.0024024,0.0086546,273,2
2000.0,0.0046112,0.0118824,273,2
5000.0,0.0114059,0.0189947,273,2
10000.0,0.0220643,0.0261607,273,2
20000.0,0.0444048,0.0369098,273,2
50000.0,0.1062612,0.0507906,273,2
100000.0,0.2117884,0.0685358,273,2
100.0,9.52e-05,0.0017356,298,2
200.0,0.0003142,0.003142,298,2
500.0,0.0006284,0.0045114,298,2
1000.0,0.0013615,0.0065394,298,2
2000.0,0.0025814,0.0090616,298,2
5000.0,0.0066899,0.0144307,298,2
10000.0,0.0127832,0.0202949,298,2
20000.0,0.0253125,0.0280525,298,2
50000.0,0.0625323,0.044284,298,2
100000.0,0.1231681,0.055883,298,2
100.0,8.25e-05,0.0016161,323,2
200.0,0.0001428,0.0021241,323,2
500.0,0.0004284,0.0036624,323,2
1000.0,0.000768,0.004918,323,2
2000.0,0.001609,0.0071055,323,2
5000.0,0.0038083,0.0110576,323,2
10000.0,0.0078356,0.0157386,323,2
20000.0,0.0157632,0.0221604,323,2
50000.0,0.0391081,0.0348305,323,2
100000.0,0.0782955,0.0498356,323,2
100.0,0.0004189,0.003622,273,8
200.0,0.0009394,0.005416,273,8
500.0,0.0021453,0.0081919,273,8
1000.0,0.0045636,0.0120647,273,8
2000.0,0.0082831,0.0163456,273,8
5000.0,0.0210504,0.0257184,273,8
10000.0,0.0418933,0.0363118,273,8
20000.0,0.0825831,0.044199,273,8
50000.0,0.1958166,0.0647881,273,8
100000.0,0.3691297,0.0904879,273,8
100.0,0.0002413,0.0027568,298,8
200.0,0.0004411,0.0037155,298,8
500.0,0.0011119,0.005921,298,8
1000.0,0.0022913,0.0084912,298,8
2000.0,0.004754,0.0122568,298,8
5000.0,0.0113297,0.0188702,298,8
10000.0,0.0232814,0.0266927,298,8
20000.0,0.0459853,0.0375423,298,8
50000.0,0.1077147,0.0509243,298,8
100000.0,0.2107705,0.0714037,298,8
100.0,0.0001269,0.0020031,323,8
200.0,0.0002477,0.0027926,323,8
500.0,0.0006791,0.0046795,323,8
1000.0,0.0013615,0.0065701,323,8
2000.0,0.0027578,0.0092061,323,8
5000.0,0.0068044,0.0146625,323,8
10000.0,0.0139638,0.0214587,323,8
20000.0,0.0262202,0.0283533,323,8
50000.0,0.0676323,0.0452402,323,8
100000.0,0.1301694,0.0638806,323,8
100.0,0.0002317,0.0027016,273,4
200.0,0.0003904,0.0035266,273,4
500.0,0.0011203,0.0058907,273,4
1000.0,0.0021612,0.0082429,273,4
2000.0,0.0042484,0.0114757,273,4
5000.0,0.0105681,0.0184972,273,4
10000.0,0.0215138,0.0259682,273,4
20000.0,0.04311,0.0365603,273,4
50000.0,0.1021926,0.0494826,273,4
100000.0,0.197464,0.066839,273,4
100.0,0.0001428,0.002171,298,4
200.0,0.0002412,0.0027924,298,4
500.0,0.0006442,0.004498,298,4
1000.0,0.001279,0.0063532,298,4
2000.0,0.0023897,0.0087045,298,4
5000.0,0.0060965,0.0138696,298,4
10000.0,0.012066,0.0194923,298,4
20000.0,0.0242399,0.0275574,298,4
50000.0,0.0590351,0.0428053,298,4
100000.0,0.1170799,0.0529694,298,4
100.0,8.89e-05,0.001677,323,4
200.0,0.0001682,0.0023043,323,4
500.0,0.0003904,0.0035266,323,4
1000.0,0.0007521,0.0048483,323,4
2000.0,0.0014725,0.0068248,323,4
5000.0,0.0037321,0.0108725,323,4
10000.0,0.007712499999999998,0.0157531,323,4
20000.0,0.0151951,0.0218943,323,4
50000.0,0.0376322,0.0341743,323,4
100000.0,0.0746523,0.0481108,323,4
100.0,0.0004697,0.0038584,273,7
200.0,0.000987,0.0056176,273,7
500.0,0.0021422,0.0081989,273,7
1000.0,0.0046144,0.0120621,273,7
2000.0,0.0092034,0.0170932,273,7
5000.0,0.0223008,0.0265353,273,7
10000.0,0.0443001,0.0373023,273,7
20000.0,0.08832089999999998,0.0463866,273,7
50000.0,0.2091266,0.0692747,273,7
100000.0,0.3864475,0.0907239,273,7
100.0,0.0002412,0.0027924,298,7
200.0,0.0004856,0.0039467,298,7
500.0,0.0011647,0.00615,298,7
1000.0,0.0023929,0.0087556,298,7
2000.0,0.0050048,0.012592,298,7
5000.0,0.0120025,0.0194488,298,7
10000.0,0.0233417,0.0272843,298,7
20000.0,0.0481401,0.0384242,298,7
50000.0,0.1158962,0.0538124,298,7
100000.0,0.2240837,0.0695849,298,7
100.0,0.0001492,0.0021706,323,7
200.0,0.0002983,0.0030951,323,7
500.0,0.0007584999999999998,0.0049297,323,7
1000.0,0.0013932,0.0066851,323,7
2000.0,0.0027465,0.0092556,323,7
5000.0,0.0070295,0.0149408,323,7
10000.0,0.0143288,0.0214128,323,7
20000.0,0.0282386,0.0298866,323,7
50000.0,0.0687399,0.0465495,323,7
100000.0,0.1337825,0.0574385,323,7
100.0,0.0002571,0.0028446,273,3
200.0,0.0004856,0.0039467,273,3
500.0,0.0010229,0.0057296,273,3
1000.0,0.0022786,0.008446999999999998,273,3
2000.0,0.0045954,0.0120359,273,3
5000.0,0.0108473,0.0185749,273,3
10000.0,0.0217296,0.026056,273,3
20000.0,0.0442588,0.0371552,273,3
50000.0,0.1061723,0.0498857,273,3
100000.0,0.2082094,0.068977,273,3
100.0,0.0001714,0.0023258,298,3
200.0,0.0003047,0.0030945,298,3
500.0,0.000676,0.0046476,298,3
1000.0,0.0011425,0.0060468,298,3
2000.0,0.0025071,0.008928999999999998,298,3
5000.0,0.0062901,0.0139824,298,3
10000.0,0.0124214,0.0198446,298,3
20000.0,0.0244969,0.0278313,298,3
50000.0,0.0626402,0.0446012,298,3
100000.0,0.1217165,0.054928,298,3
100.0,6.35e-05,0.0014179,323,3
200.0,0.0001809,0.0023892,323,3
500.0,0.0003681,0.0033982,323,3
1000.0,0.0007521,0.004869,323,3
2000.0,0.0016122,0.0071964,323,3
5000.0,0.003967,0.0112192,323,3
10000.0,0.0078642,0.0156441,323,3
20000.0,0.0159887,0.0222701,323,3
50000.0,0.0386987,0.0350687,323,3
100000.0,0.07556309999999998,0.0489354,323,3
