Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0124881,0.0199774,273,5
200.0,0.0251063,0.0284397,273,5
500.0,0.0613803,0.0386267,273,5
1000.0,0.1256772,0.0552482,273,5
2000.0,0.2439753,0.0719553,273,5
5000.0,0.5523468,0.1032603,273,5
10000.0,0.9634127,0.1250346,273,5
20000.0,1.4113086,0.1219913,273,5
50000.0,1.9213319,0.0978106,273,5
100000.0,2.165683,0.0774295,273,5
1000000.0,2.7802302,0.07378959999999998,273,5
100.0,0.0045668,0.0120175,298,5
200.0,0.0089908,0.0169198,298,5
500.0,0.022523,0.0270375,298,5
1000.0,0.0438685,0.0367608,298,5
2000.0,0.0908004,0.046785,298,5
5000.0,0.2146062,0.0698916,298,5
10000.0,0.4112135,0.0941085,298,5
20000.0,0.7306675999999999,0.111254,298,5
50000.0,1.3226873,0.1169497,298,5
100000.0,1.7311421,0.1114191,298,5
1000000.0,2.4527749,0.0689699,298,5
100.0,0.0019042,0.0078382,323,5
200.0,0.0038813,0.0110641,323,5
500.0,0.0096096,0.0174551,323,5
1000.0,0.0185242,0.0240522,323,5
2000.0,0.0375372,0.0344825,323,5
5000.0,0.0955124,0.0464994,323,5
10000.0,0.1808737,0.0647125,323,5
20000.0,0.3522966,0.0865994,323,5
50000.0,0.7455273999999998,0.110536,323,5
100000.0,1.1834963,0.1227699,323,5
1000000.0,2.2214841,0.0748804,323,5
100.0,0.004259,0.0116168,273,1
200.0,0.008191,0.0162964,273,1
500.0,0.021006,0.0261275,273,1
1000.0,0.04205,0.0314853,273,1
2000.0,0.0826497,0.043673,273,1
5000.0,0.2016877,0.0689838,273,1
10000.0,0.4014688,0.0906651,273,1
20000.0,0.7028349,0.1095104,273,1
50000.0,1.2927792,0.1284279,273,1
100000.0,1.7235047,0.1122727,273,1
1000000.0,2.4967401,0.0787994,273,1
100.0,0.0016979,0.007336299999999999,298,1
200.0,0.0032688,0.0101053,298,1
500.0,0.0086397,0.0164647,298,1
1000.0,0.0163186,0.0225123,298,1
2000.0,0.0330529,0.0325409,298,1
5000.0,0.0829956,0.0455797,298,1
10000.0,0.1586285,0.0621354,298,1
20000.0,0.3142357,0.08260149999999998,298,1
50000.0,0.6737494,0.1113469,298,1
100000.0,1.1133693,0.1266993,298,1
1000000.0,2.2192035,0.0788023,298,1
100.0,0.000768,0.0049992,323,1
200.0,0.0015177,0.0069485,323,1
500.0,0.0039448,0.011078,323,1
1000.0,0.0076198,0.0153666,323,1
2000.0,0.0153856,0.0218395,323,1
5000.0,0.0387431,0.0351831,323,1
10000.0,0.0766199,0.0434214,323,1
20000.0,0.1511922,0.0569571,323,1
50000.0,0.3535164,0.0892834,323,1
100000.0,0.6257009,0.1087692,323,1
1000000.0,1.9403614,0.0956802,323,1
100.0,0.0157981,0.022445,273,6
200.0,0.0310758,0.0261213,273,6
500.0,0.0777814,0.0415941,273,6
1000.0,0.1421036,0.0558773,273,6
2000.0,0.2965938,0.076404,273,6
5000.0,0.6328922,0.1010222,273,6
10000.0,1.0393261,0.1259153,273,6
20000.0,1.549905,0.1189846,273,6
50000.0,2.0768843,0.1043702,273,6
100000.0,2.3536221,0.0831819,273,6
1000000.0,2.9894534,0.0731012,273,6
100.0,0.0055633,0.0130376,298,6
200.0,0.0109457,0.0188059,298,6
500.0,0.0268644,0.0295866,298,6
1000.0,0.0536876,0.0345979,298,6
2000.0,0.1054678,0.0495552,298,6
5000.0,0.2542012,0.0736195,298,6
10000.0,0.4684243,0.0964436,298,6
20000.0,0.8142198,0.113125,298,6
50000.0,1.4198811,0.1215641,298,6
100000.0,1.8624184,0.1158674,298,6
1000000.0,2.6894568,0.0726943,298,6
100.0,0.0023834,0.0087524,323,6
200.0,0.0043002,0.0116838,323,6
500.0,0.0108083,0.0185388,323,6
1000.0,0.0230117,0.0267285,323,6
2000.0,0.0434242,0.0316374,323,6
5000.0,0.1076607,0.050088,323,6
10000.0,0.2093487,0.0681634,323,6
20000.0,0.393588,0.08529059999999998,323,6
50000.0,0.8258320999999998,0.1143844,323,6
100000.0,1.2610698,0.1267913,323,6
1000000.0,2.4080871,0.07929959999999998,323,6
100.0,0.0046525,0.0121722,273,2
200.0,0.0094763,0.0171502,273,2
500.0,0.0232497,0.0270723,273,2
1000.0,0.047553,0.0338191,273,2
2000.0,0.09134850000000001,0.0446781,273,2
5000.0,0.2238457,0.0679908,273,2
10000.0,0.4132995,0.0904593,273,2
20000.0,0.7270453,0.1098337,273,2
50000.0,1.3616143,0.1272693,273,2
100000.0,1.8089117,0.1197356,273,2
1000000.0,2.708407,0.07348639999999998,273,2
100.0,0.0018216,0.0075572,298,2
200.0,0.0036084,0.0106385,298,2
500.0,0.008867,0.0169285,298,2
1000.0,0.0185687,0.0240515,298,2
2000.0,0.0357124,0.0333423,298,2
5000.0,0.0894856,0.0459056,298,2
10000.0,0.1728779,0.0611534,298,2
20000.0,0.3375997,0.0854235,298,2
50000.0,0.7133514,0.1088264,298,2
100000.0,1.1610368,0.1220951,298,2
1000000.0,2.4074842,0.0838239,298,2
100.0,0.0007839,0.0049664,323,2
200.0,0.0016534,0.0072359,323,2
500.0,0.0042843,0.0118054,323,2
1000.0,0.0084005,0.0163566,323,2
2000.0,0.0166359,0.0229864,323,2
5000.0,0.0394128,0.034889,323,2
10000.0,0.0800632,0.0442107,323,2
20000.0,0.1609357,0.0607476,323,2
50000.0,0.3796179,0.0902159,323,2
100000.0,0.6505992,0.1082413,323,2
1000000.0,2.0435305,0.1040918,323,2
100.0,0.0079816,0.0159581,273,8
200.0,0.0154078,0.0220374,273,8
500.0,0.039673,0.0355321,273,8
1000.0,0.0778481,0.0425425,273,8
2000.0,0.1516494,0.0601321,273,8
5000.0,0.3610778,0.08992559999999998,273,8
10000.0,0.6449951,0.1115047,273,8
20000.0,1.1027708,0.1285053,273,8
50000.0,1.6840999,0.1158199,273,8
100000.0,2.0174512,0.0934553,273,8
1000000.0,2.6860764,0.0837508,273,8
100.0,0.0031895,0.0100157,298,8
200.0,0.0060996,0.0138282,298,8
500.0,0.0148397,0.0217002,298,8
1000.0,0.0296477,0.0303384,298,8
2000.0,0.0605203,0.0437811,298,8
5000.0,0.1490474,0.0609232,298,8
10000.0,0.2838469,0.0808841,298,8
20000.0,0.5363486,0.1055778,298,8
50000.0,1.0425259,0.1299197,298,8
100000.0,1.5101976,0.1222873,298,8
1000000.0,2.4082508,0.0708441,298,8
100.0,0.0014027,0.0066453,323,8
200.0,0.0026626,0.0091243,323,8
500.0,0.0070105,0.0149901,323,8
1000.0,0.0139828,0.0209089,323,8
2000.0,0.0276166,0.0296955,323,8
5000.0,0.0680385,0.0465619,323,8
10000.0,0.1315483,0.0636796,323,8
20000.0,0.2617383,0.0877449,323,8
50000.0,0.5729495,0.1210107,323,8
100000.0,0.963322,0.1443874,323,8
1000000.0,2.1402537,0.1062418,323,8
100.0,0.0024754,0.008835799999999998,273,4
200.0,0.0050746,0.0127865,273,4
500.0,0.0127673,0.0202378,273,4
1000.0,0.025138,0.0283051,273,4
2000.0,0.0502188,0.0397372,273,4
5000.0,0.1255742,0.0557791,273,4
10000.0,0.2427888,0.0765531,273,4
20000.0,0.4620276,0.1007033,273,4
50000.0,0.9409878,0.12561,273,4
100000.0,1.4134388,0.1281127,273,4
1000000.0,2.3956306,0.0776401,273,4
100.0,0.0011716,0.0060178,298,4
200.0,0.0022406,0.0083975,298,4
500.0,0.0054205,0.0129701,298,4
1000.0,0.0108695,0.018608,298,4
2000.0,0.0224182,0.0263618,298,4
5000.0,0.0547571,0.0414417,298,4
10000.0,0.1084544,0.0517762,298,4
20000.0,0.2129063,0.0707604,298,4
50000.0,0.4853015,0.099237,298,4
100000.0,0.8383694,0.1226423,298,4
1000000.0,2.1130957,0.0919828,298,4
100.0,0.0005586,0.004173,323,4
200.0,0.0010383,0.0057866,323,4
500.0,0.0027832,0.0094894,323,4
1000.0,0.0052174,0.0128274,323,4
2000.0,0.0108251,0.0186717,323,4
5000.0,0.0272748,0.0292689,323,4
10000.0,0.0539176,0.041434,323,4
20000.0,0.1066896,0.0573787,323,4
50000.0,0.2549658,0.08673609999999998,323,4
