Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0004792,0.0038962,273,5
200.0,0.0009113,0.0054314,273,5
500.0,0.0022818,0.0084878,273,5
1000.0,0.0043764,0.0117416,273,5
2000.0,0.0089368,0.0169215,273,5
5000.0,0.0215772,0.0262399,273,5
10000.0,0.0438875,0.0317142,273,5
20000.0,0.0852044,0.0438762,273,5
50000.0,0.2096916,0.0672398,273,5
100000.0,0.3912015,0.0902577,273,5
100.0,0.000238,0.0027381,298,5
200.0,0.0003396,0.0032652,298,5
500.0,0.0010187,0.0057537,298,5
1000.0,0.0022215,0.0084384,298,5
2000.0,0.0044303,0.0118282,298,5
5000.0,0.0106601,0.0185124,298,5
10000.0,0.0219327,0.0263977,298,5
20000.0,0.0418184,0.0366843,298,5
50000.0,0.1063739,0.0499814,298,5
100000.0,0.1992631,0.0683039,298,5
100.0,0.0001142,0.0019007,323,5
200.0,0.0002539,0.0028272,323,5
500.0,0.000549,0.0041379,323,5
1000.0,0.0011203,0.0060427,323,5
2000.0,0.0024373,0.0087778,323,5
5000.0,0.0058775,0.0135204,323,5
10000.0,0.0117296,0.0192571,323,5
20000.0,0.024205,0.0276228,323,5
50000.0,0.0584321,0.0379941,323,5
100000.0,0.1136048,0.0515074,323,5
100.0,0.0001872,0.0024305,273,1
200.0,0.0003808,0.0034846,273,1
500.0,0.0008886,0.0052739,273,1
1000.0,0.0019867,0.0079708,273,1
2000.0,0.0039638,0.0111709,273,1
5000.0,0.0100158,0.0177493,273,1
10000.0,0.0198544,0.0250093,273,1
20000.0,0.0386987,0.0344632,273,1
50000.0,0.094795,0.0464814,273,1
100000.0,0.1897836,0.0674067,273,1
100.0,0.0001016,0.0017924,298,1
200.0,0.0001619,0.0022606,298,1
500.0,0.0004919,0.0039203,298,1
1000.0,0.0009648,0.0055402,298,1
2000.0,0.0021295,0.0082634,298,1
5000.0,0.0051825,0.0130555,298,1
10000.0,0.010367,0.0181147,298,1
20000.0,0.0211329,0.0254219,298,1
50000.0,0.0514565,0.0354897,298,1
100000.0,0.1001266,0.0471423,298,1
100.0,4.76e-05,0.0012282,323,1
200.0,0.0001587,0.0022384,323,1
500.0,0.0003047,0.0031589,323,1
1000.0,0.0006062,0.0044357,323,1
2000.0,0.0013805,0.0066576,323,1
5000.0,0.0029165,0.0095236,323,1
10000.0,0.0061092,0.0138713,323,1
20000.0,0.0118946,0.0193699,323,1
50000.0,0.0306949,0.0307318,323,1
100000.0,0.0599078,0.038255,323,1
100.0,0.0004348,0.0036891,273,6
200.0,0.0007871,0.0049761,273,6
500.0,0.0019168,0.0078093,273,6
1000.0,0.003967,0.0110291,273,6
2000.0,0.0078039,0.0156646,273,6
5000.0,0.0199523,0.0250178,273,6
10000.0,0.0390922,0.0345479,273,6
20000.0,0.0773123,0.0438186,273,6
50000.0,0.1855088,0.063849,273,6
100000.0,0.3525744,0.0864587,273,6
100.0,0.0001904,0.0024509,298,6
200.0,0.0004189,0.0037045,298,6
500.0,0.0010187,0.0056298,298,6
1000.0,0.0021676,0.0082535,298,6
