Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0169501,0.0232569,273,5
200.0,0.0337924,0.0282271,273,5
500.0,0.084319,0.0436569,273,5
1000.0,0.1722246,0.0639872,273,5
2000.0,0.3334439,0.08727269999999998,273,5
5000.0,0.7263834999999998,0.1220105,273,5
10000.0,1.1979871,0.1319638,273,5
20000.0,1.6372476,0.1073972,273,5
50000.0,2.0145677,0.07934779999999998,273,5
100000.0,2.1684974,0.061481,273,5
1000000.0,2.4654436,0.0509966,273,5
100.0,0.0058521,0.0136426,298,5
200.0,0.0118534,0.0195684,298,5
500.0,0.0283147,0.0298145,298,5
1000.0,0.0589122,0.0393889,298,5
2000.0,0.1155915,0.0513697,298,5
5000.0,0.2754589,0.07486329999999998,298,5
10000.0,0.5210617,0.0978026,298,5
20000.0,0.8830004,0.1215722,298,5
50000.0,1.4877671,0.1154807,298,5
100000.0,1.8379142,0.103282,298,5
1000000.0,2.3134926,0.0501882,298,5
100.0,0.0023897,0.008762199999999998,323,5
200.0,0.0050079,0.0125065,323,5
500.0,0.0113519,0.0188167,323,5
1000.0,0.0226943,0.0270134,323,5
2000.0,0.0459091,0.0330381,323,5
5000.0,0.1180942,0.0539746,323,5
10000.0,0.228587,0.0709267,323,5
20000.0,0.410118,0.0891205,323,5
50000.0,0.8827,0.1301606,323,5
100000.0,1.3326577,0.1187783,323,5
1000000.0,2.1917017,0.0617342,323,5
100.0,0.0057823,0.0134869,273,1
200.0,0.0108822,0.0185626,273,1
500.0,0.0283003,0.0296509,273,1
1000.0,0.0544873,0.0365377,273,1
2000.0,0.1112977,0.053063,273,1
5000.0,0.2619454,0.075868,273,1
10000.0,0.5019954,0.1043303,273,1
20000.0,0.8856779999999999,0.1206349,273,1
50000.0,1.5038677,0.1203139,273,1
100000.0,1.8564393,0.1012103,273,1
1000000.0,2.3412408,0.0535629,273,1
100.0,0.002139,0.0083035,298,1
200.0,0.0040654,0.0114377,298,1
500.0,0.0103808,0.0182338,298,1
1000.0,0.0203332,0.0254561,298,1
2000.0,0.0405362,0.0310696,298,1
5000.0,0.1028248,0.0520011,298,1
10000.0,0.2031444,0.0690229,298,1
20000.0,0.386481,0.0917237,298,1
50000.0,0.8041264,0.114924,298,1
100000.0,1.2519245,0.1231853,298,1
1000000.0,2.1904697,0.0608862,298,1
100.0,0.0009045,0.0053376,323,1
200.0,0.0017391,0.007429,323,1
500.0,0.0046747,0.0122421,323,1
1000.0,0.008981299999999998,0.016898,323,1
2000.0,0.0183497,0.0241586,323,1
5000.0,0.0460107,0.0331739,323,1
10000.0,0.0876291,0.0455879,323,1
20000.0,0.176565,0.0625483,323,1
50000.0,0.404028,0.0903089,323,1
100000.0,0.7014449,0.1062076,323,1
1000000.0,1.9755519,0.0878772,323,1
100.0,0.0174357,0.0233977,273,6
200.0,0.0348714,0.0287194,273,6
500.0,0.08223709999999998,0.042116,273,6
1000.0,0.1635761,0.0577174,273,6
2000.0,0.3153127,0.0814164,273,6
5000.0,0.6743488,0.1027343,273,6
10000.0,1.1196083,0.1229633,273,6
20000.0,1.5794474,0.11948,273,6
50000.0,2.0842161,0.09636090000000001,273,6
100000.0,2.3232643,0.0821058,273,6
1000000.0,2.852874,0.0732825,273,6
100.0,0.0054935,0.0130672,298,6
200.0,0.0116788,0.0193036,298,6
500.0,0.028667,0.0297632,298,6
1000.0,0.056715,0.0349251,298,6
2000.0,0.1130457,0.0508811,298,6
5000.0,0.258983,0.0708682,298,6
10000.0,0.4923286,0.1001228,298,6
20000.0,0.8224177999999999,0.1190053,298,6
50000.0,1.4428714,0.1214705,298,6
100000.0,1.8357553,0.105688,298,6
1000000.0,2.5547488,0.0613921,298,6
100.0,0.002139,0.0082426,323,6
200.0,0.0046239,0.0121624,323,6
500.0,0.0116915,0.0194259,323,6
1000.0,0.0226277,0.0270264,323,6
2000.0,0.0453252,0.0320696,323,6
5000.0,0.1091688,0.0492651,323,6
10000.0,0.2112846,0.0671447,323,6
20000.0,0.4087489,0.0925985,323,6
50000.0,0.7974124999999999,0.1079048,323,6
100000.0,1.2641299,0.1164255,323,6
1000000.0,2.2946583,0.075171,323,6
100.0,0.0047413,0.0123762,273,2
200.0,0.0099111,0.0176347,273,2
500.0,0.0239669,0.0272018,273,2
1000.0,0.0491842,0.0341425,273,2
2000.0,0.1000751,0.045662,273,2
5000.0,0.2351658,0.068181,273,2
10000.0,0.4454329,0.0961029,273,2
20000.0,0.7660793,0.1112307,273,2
50000.0,1.3479651,0.1256391,273,2
100000.0,1.812614,0.1172888,273,2
1000000.0,2.5868535,0.0648521,273,2
100.0,0.0019581,0.007831299999999998,298,2
200.0,0.0037099,0.0108198,298,2
500.0,0.0093716,0.0173273,298,2
1000.0,0.0191399,0.0243307,298,2
2000.0,0.0375594,0.0295225,298,2
5000.0,0.0910894,0.0465024,298,2
10000.0,0.1824423,0.0616312,298,2
20000.0,0.3370824,0.08252479999999998,298,2
50000.0,0.7072434,0.1071469,298,2
100000.0,1.1372585,0.1278857,298,2
1000000.0,2.3139273,0.0806587,298,2
100.0,0.000822,0.0050806,323,2
200.0,0.0016805,0.0072055,323,2
500.0,0.0042621,0.0115504,323,2
1000.0,0.0083402,0.0161428,323,2
2000.0,0.0164392,0.0230271,323,2
5000.0,0.04129,0.0306025,323,2
10000.0,0.0809296,0.0422678,323,2
20000.0,0.1562515,0.0579983,323,2
50000.0,0.3620427,0.08505219999999998,323,2
100000.0,0.6552022,0.1098749,323,2
1000000.0,2.0001719,0.0987741,323,2
