Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0035463,0.0108723,273,5
200.0,0.007333199999999998,0.0155496,273,5
500.0,0.0174547,0.0241141,273,5
1000.0,0.0346762,0.0297878,273,5
2000.0,0.070926,0.0426329,273,5
5000.0,0.1747343,0.0637865,273,5
10000.0,0.3363184,0.0865393,273,5
20000.0,0.5818741,0.0972163,273,5
50000.0,1.1156571,0.1232205,273,5
100000.0,1.6013839,0.1214473,273,5
1000000.0,2.6292914,0.0848376,273,5
100.0,0.0013025,0.0065219,298,5
200.0,0.0026531,0.0092647,298,5
500.0,0.0064499,0.0144341,298,5
1000.0,0.0129625,0.0206197,298,5
2000.0,0.0265972,0.0293744,298,5
5000.0,0.0667765,0.0405104,298,5
10000.0,0.1264308,0.0527492,298,5
20000.0,0.2444277,0.07508819999999998,298,5
50000.0,0.564506,0.1025785,298,5
100000.0,0.908224,0.1231122,298,5
1000000.0,2.2288583,0.1015691,298,5
100.0,0.0005932,0.0031138,323,5
200.0,0.0011651,0.0043941,323,5
500.0,0.0030584,0.0070488,323,5
1000.0,0.0057331,0.0096746,323,5
2000.0,0.0116342,0.0138871,323,5
5000.0,0.0293509,0.0200099,323,5
10000.0,0.0550781,0.0253318,323,5
20000.0,0.1172602,0.0364578,323,5
50000.0,0.2710665,0.0554882,323,5
100000.0,0.4749968,0.07374859999999998,323,5
1000000.0,1.8156422,0.0849792,323,5
100.0,0.0108915,0.0189477,273,1
200.0,0.0211987,0.0263437,273,1
500.0,0.0539136,0.0383862,273,1
1000.0,0.1029251,0.0484975,273,1
2000.0,0.195198,0.0645809,273,1
5000.0,0.4848362,0.1044928,273,1
10000.0,0.8042947999999999,0.1257881,273,1
20000.0,1.2770718,0.1323535,273,1
50000.0,1.8806817,0.1279427,273,1
100000.0,2.2723758,0.1092301,273,1
1000000.0,3.0749435,0.0881152,273,1
100.0,0.0035694,0.0108197,298,1
200.0,0.0075112,0.015646,298,1
500.0,0.0187334,0.0250855,298,1
1000.0,0.0375789,0.0301156,298,1
2000.0,0.0726035,0.0421077,298,1
5000.0,0.1795693,0.0663004,298,1
10000.0,0.3288298,0.0855023,298,1
20000.0,0.5982361,0.107474,298,1
50000.0,1.1634761,0.1319204,298,1
100000.0,1.6050129,0.1355471,298,1
1000000.0,2.6929384,0.0912014,298,1
100.0,0.0014584,0.0048793,323,1
200.0,0.0031294,0.0071649,323,1
500.0,0.0076727,0.0111282,323,1
1000.0,0.0155579,0.0158129,323,1
2000.0,0.0298568,0.0199729,323,1
5000.0,0.07540149999999998,0.0305071,323,1
10000.0,0.1459244,0.0408284,323,1
20000.0,0.2771206,0.0533406,323,1
50000.0,0.5941478,0.0754056,323,1
100000.0,1.004136,0.0876611,323,1
1000000.0,2.3287587,0.0698515,323,1
100.0,0.0059753,0.0142991,273,6
200.0,0.012066,0.0202007,273,6
500.0,0.0302787,0.0315107,273,6
1000.0,0.060264,0.0391251,273,6
2000.0,0.1212366,0.0552401,273,6
5000.0,0.2868498,0.0800049,273,6
10000.0,0.5530311,0.1095184,273,6
20000.0,0.9608472,0.1358819,273,6
50000.0,1.6546855,0.1405507,273,6
100000.0,2.1464501,0.1129994,273,6
1000000.0,3.0476841,0.078582,273,6
100.0,0.0022609,0.008738199999999998,298,6
200.0,0.004367,0.0121429,298,6
500.0,0.0112981,0.0195675,298,6
1000.0,0.0224247,0.0272031,298,6
2000.0,0.0454856,0.0385403,298,6
5000.0,0.1113689,0.0513669,298,6
10000.0,0.2181995,0.0701866,298,6
20000.0,0.4123264,0.0937303,298,6
50000.0,0.8572459,0.1308971,298,6
100000.0,1.3564433,0.1336758,298,6
1000000.0,2.662791,0.0951594,298,6
100.0,0.0009459,0.0055812,323,6
200.0,0.0020566,0.0082794,323,6
500.0,0.0048811,0.0127291,323,6
1000.0,0.0101182,0.0183133,323,6
2000.0,0.0197386,0.0256651,323,6
5000.0,0.0485408,0.0393662,323,6
10000.0,0.0982114,0.0505744,323,6
20000.0,0.1860752,0.0665661,323,6
50000.0,0.4351799,0.0992128,323,6
100000.0,0.7495558,0.1143962,323,6
1000000.0,2.2441001,0.110624,323,6
100.0,0.0181526,0.024384,273,2
200.0,0.0365212,0.0349955,273,2
500.0,0.08946819999999998,0.0482232,273,2
1000.0,0.1758549,0.0674486,273,2
2000.0,0.3477978,0.0921017,273,2
5000.0,0.7662609,0.116041,273,2
10000.0,1.2907364,0.1392251,273,2
20000.0,1.8447983,0.1230107,273,2
50000.0,2.3730542,0.1046857,273,2
100000.0,2.7291674,0.0916635,273,2
1000000.0,3.3339118,0.07629859999999998,273,2
100.0,0.006117,0.014128,298,2
200.0,0.0122539,0.0201062,298,2
500.0,0.0318244,0.0328296,298,2
1000.0,0.0638301,0.0403134,298,2
2000.0,0.12299,0.0565775,298,2
5000.0,0.292395,0.08091189999999998,298,2
10000.0,0.5491061,0.1058602,298,2
20000.0,0.9290576,0.1263948,298,2
50000.0,1.6142325,0.1389705,298,2
100000.0,2.0812818,0.125336,298,2
1000000.0,3.0396751,0.0742705,298,2
100.0,0.0027883,0.0096789,323,2
200.0,0.0052272,0.0132099,323,2
500.0,0.0130317,0.0208617,323,2
1000.0,0.0253877,0.0291664,323,2
2000.0,0.049434,0.0398617,323,2
5000.0,0.1220474,0.0552371,323,2
10000.0,0.2378986,0.075685,323,2
20000.0,0.4456439,0.0968233,323,2
50000.0,0.9014925,0.1277625,323,2
100000.0,1.4006165,0.1357705,323,2
1000000.0,2.706167,0.0897821,323,2
100.0,0.0083954,0.0116878,273,8
200.0,0.0169207,0.0165045,273,8
500.0,0.0425902,0.0236921,273,8
1000.0,0.08572589999999998,0.0331929,273,8
2000.0,0.1643772,0.0443669,273,8
5000.0,0.3842658,0.0648417,273,8
10000.0,0.7079527,0.0828224,273,8
20000.0,1.2115064,0.08901149999999998,273,8
50000.0,1.937239,0.0929374,273,8
100000.0,2.3790304,0.08149049999999998,273,8
1000000.0,3.1490516,0.0449735,273,8
100.0,0.0029712,0.0070916,298,8
200.0,0.0060841,0.0100737,298,8
500.0,0.0155101,0.0160461,298,8
1000.0,0.0319118,0.0199847,298,8
2000.0,0.0631366,0.0278753,298,8
5000.0,0.1480431,0.0420467,298,8
10000.0,0.286067,0.0571968,298,8
20000.0,0.523286,0.0804695,298,8
50000.0,1.0771844,0.0925512,298,8
100000.0,1.6094755,0.0914965,298,8
1000000.0,2.8504922,0.0667851,298,8
100.0,0.0013562,0.0047053,323,8
200.0,0.0025951,0.0065522,323,8
500.0,0.0064318,0.0101873,323,8
1000.0,0.0133563,0.01473,323,8
2000.0,0.0265561,0.0205663,323,8
5000.0,0.064425,0.031997,323,8
