Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.0003867,0.0040806,273,5
200.0,0.001021,0.0067796,273,5
500.0,0.0022767,0.0099888,273,5
1000.0,0.0044535,0.0138214,273,5
2000.0,0.0091242,0.0199532,273,5
5000.0,0.0228365,0.0317366,273,5
10000.0,0.0449953,0.0438062,273,5
20000.0,0.0901296,0.0618629,273,5
50000.0,0.2191371,0.08667089999999998,273,5
100000.0,0.4397514,0.120178,273,5
100.0,0.0003476,0.003919,298,5
200.0,0.0006387,0.005229,298,5
500.0,0.001651,0.008531399999999998,298,5
1000.0,0.0029893,0.0115173,298,5
2000.0,0.0063956,0.0165294,298,5
5000.0,0.0154199,0.0260019,298,5
10000.0,0.0318043,0.0371066,298,5
20000.0,0.062718,0.05251,298,5
50000.0,0.155233,0.08134859999999998,298,5
100000.0,0.3067207,0.102028,298,5
100.0,0.0001651,0.0026733,323,5
200.0,0.0004692,0.0044909,323,5
500.0,0.0011036,0.0069184,323,5
1000.0,0.0023897,0.0101501,323,5
2000.0,0.0044144,0.0139088,323,5
5000.0,0.0121656,0.0231381,323,5
10000.0,0.0229061,0.0313631,323,5
20000.0,0.0457513,0.0444449,323,5
50000.0,0.1140655,0.070396,323,5
100000.0,0.2272011,0.0889907,323,5
100.0,0.0005214,0.0047309,273,1
200.0,0.0009037,0.0062914,273,1
500.0,0.0025939,0.010637,273,1
1000.0,0.0055322,0.0154796,273,1
2000.0,0.0105015,0.0214656,273,1
5000.0,0.0263124,0.0336957,273,1
10000.0,0.0533337,0.0481452,273,1
20000.0,0.1072571,0.0683209,273,1
50000.0,0.2570068,0.0925812,273,1
100000.0,0.5046027,0.1272747,273,1
100.0,0.0004084,0.0042374,298,1
200.0,0.0007082,0.0055017,298,1
500.0,0.0017466,0.0087313,298,1
1000.0,0.0034151,0.0120582,298,1
2000.0,0.007290699999999998,0.0179587,298,1
5000.0,0.0182875,0.0281023,298,1
10000.0,0.0351412,0.0386336,298,1
20000.0,0.071299,0.0555618,298,1
50000.0,0.1790341,0.0751478,298,1
100000.0,0.3494306,0.1035578,298,1
100.0,0.000265,0.0034384,323,1
200.0,0.0005301,0.004887,323,1
500.0,0.0014338,0.0078341,323,1
1000.0,0.0026417,0.0106163,323,1
2000.0,0.0051182,0.0150713,323,1
5000.0,0.0128608,0.0237812,323,1
10000.0,0.0256998,0.0334815,323,1
20000.0,0.0523294,0.0473214,323,1
50000.0,0.1312494,0.0755201,323,1
100000.0,0.2593467,0.0936452,323,1
100.0,0.0004953,0.0046533,273,6
200.0,0.0009993,0.0065708,273,6
500.0,0.0023865,0.0102554,273,6
1000.0,0.0047706,0.0142882,273,6
2000.0,0.0088678,0.019578,273,6
5000.0,0.0228105,0.0314027,273,6
10000.0,0.0458382,0.0451943,273,6
20000.0,0.0900123,0.0623991,273,6
50000.0,0.2278442,0.0868771,273,6
100000.0,0.4352727,0.1179093,273,6
100.0,0.0002998,0.0035966,298,6
200.0,0.0005952,0.0050506,298,6
500.0,0.0015685,0.008243399999999998,298,6
1000.0,0.0032543,0.0118901,298,6
2000.0,0.0063044,0.0166723,298,6
5000.0,0.0158066,0.0264947,298,6
10000.0,0.0312308,0.0366652,298,6
20000.0,0.0626398,0.0519824,298,6
50000.0,0.1546716,0.0815821,298,6
100000.0,0.3080589,0.1020899,298,6
100.0,0.000252,0.0032993,323,6
200.0,0.0004823,0.0045934,323,6
500.0,0.0011079,0.006904,323,6
1000.0,0.0022897,0.0099575,323,6
2000.0,0.0043405,0.0137616,323,6
5000.0,0.0117181,0.0228987,323,6
10000.0,0.0228235,0.0309724,323,6
20000.0,0.0471764,0.0443183,323,6
50000.0,0.114261,0.069807,323,6
100000.0,0.227136,0.08833,323,6
100.0,0.0004562,0.0045132,273,2
200.0,0.0011601,0.0071111,273,2
500.0,0.0025635,0.0105284,273,2
1000.0,0.0056005,0.0154523,273,2
2000.0,0.0105623,0.0214269,273,2
5000.0,0.0261866,0.0334351,273,2
10000.0,0.0527465,0.0482064,273,2
20000.0,0.1061448,0.0683062,273,2
50000.0,0.263682,0.0958583,273,2
100000.0,0.5189711,0.1289115,273,2
100.0,0.0003737,0.0040119,298,2
200.0,0.0008038,0.0059189,298,2
500.0,0.0018335,0.008927499999999998,298,2
1000.0,0.0035237,0.0125568,298,2
2000.0,0.0069561,0.0174806,298,2
5000.0,0.0185091,0.0285151,298,2
10000.0,0.0364055,0.0393353,298,2
20000.0,0.0719694,0.0551201,298,2
50000.0,0.17775,0.0743356,298,2
100000.0,0.3521678,0.1110813,298,2
100.0,0.0002477,0.0032709,323,2
200.0,0.0005344,0.0048282,323,2
500.0,0.0012991,0.0074252,323,2
1000.0,0.002507,0.0103887,323,2
2000.0,0.0054093,0.0153736,323,2
5000.0,0.0133039,0.0238152,323,2
10000.0,0.0265384,0.0339044,323,2
20000.0,0.0535213,0.0477522,323,2
50000.0,0.1320184,0.0759718,323,2
100000.0,0.2630561,0.092837,323,2
100.0,0.0004649,0.0044702,273,8
200.0,0.0009385,0.0063758,273,8
500.0,0.0020073,0.0094859,273,8
1000.0,0.0042884,0.0137916,273,8
2000.0,0.0087288,0.0193986,273,8
5000.0,0.0226106,0.0315169,273,8
10000.0,0.0443349,0.0438504,273,8
20000.0,0.0872403,0.0617984,273,8
50000.0,0.2171819,0.0850138,273,8
