Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,1.7823199,0.1512373,273,5
200.0,2.3212391,0.159104,273,5
500.0,3.0153383,0.1370992,273,5
1000.0,3.4944435,0.1320594,273,5
2000.0,3.8570123,0.1175648,273,5
5000.0,4.3490837,0.1135527,273,5
10000.0,4.6559867,0.1204984,273,5
20000.0,5.0187255,0.1128684,273,5
50000.0,5.4835589,0.1085288,273,5
100000.0,5.8116839,0.1227435,273,5
1000000.0,6.6044168,0.1180393,273,5
100.0,0.6821426,0.1326908,298,5
200.0,1.0766227,0.1567111,298,5
500.0,1.7807859,0.1517747,298,5
1000.0,2.2738577,0.1565742,298,5
2000.0,2.888646,0.1392621,298,5
5000.0,3.5120416,0.1388349,298,5
10000.0,3.9373847,0.1216154,298,5
20000.0,4.3080575,0.1168879,298,5
50000.0,4.7428724,0.1224782,298,5
100000.0,5.1083022,0.1182275,298,5
1000000.0,6.1529921,0.094226,298,5
100.0,0.2161134,0.08088339999999998,323,5
200.0,0.4014036,0.1073385,323,5
500.0,0.8212338999999999,0.1285618,323,5
1000.0,1.3041669,0.1404148,323,5
2000.0,1.8022816,0.1508123,323,5
5000.0,2.5644664,0.1555588,323,5
10000.0,3.1322006,0.1407159,323,5
20000.0,3.6041755,0.1321818,323,5
50000.0,4.1384762,0.1268003,323,5
100000.0,4.4920853,0.1156373,323,5
1000000.0,5.636038,0.113214,323,5
100.0,1.7048549,0.1482788,273,1
200.0,2.2545084,0.1490706,273,1
500.0,2.9659413,0.1435449,273,1
1000.0,3.416115,0.1526691,273,1
2000.0,3.8605115,0.1315491,273,1
5000.0,4.3718936,0.1048772,273,1
10000.0,4.7269998,0.1276366,273,1
20000.0,5.118169,0.1336213,273,1
50000.0,5.5380517,0.1512246,273,1
100000.0,6.0034333,0.1243037,273,1
1000000.0,6.8991725,0.0837601,273,1
100.0,0.6797745,0.133652,298,1
200.0,1.0780332,0.1548571,298,1
500.0,1.7825424,0.1545163,298,1
1000.0,2.3146505,0.1519722,298,1
2000.0,2.8319244,0.1407655,298,1
5000.0,3.5034775,0.1436338,298,1
10000.0,3.9182265,0.1267517,298,1
20000.0,4.3391134,0.1194247,298,1
50000.0,4.8443042,0.1348427,298,1
100000.0,5.1859055,0.1066639,298,1
1000000.0,6.3881559,0.1234885,298,1
100.0,0.2265463,0.0765084,323,1
200.0,0.3974431,0.1005221,323,1
500.0,0.8587004,0.1307656,323,1
1000.0,1.3255812,0.1407931,323,1
2000.0,1.8559633,0.1543543,323,1
5000.0,2.6133582,0.1460802,323,1
10000.0,3.1061417,0.1486229,323,1
20000.0,3.6055343,0.1340007,323,1
50000.0,4.1378146,0.1236859,323,1
100000.0,4.5497493,0.1246152,323,1
1000000.0,5.7679684,0.1438856,323,1
100.0,2.1560466,0.1478283,273,6
200.0,2.6560748,0.1384477,273,6
500.0,3.4217327,0.1369645,273,6
1000.0,3.8209214,0.1192849,273,6
2000.0,4.176899,0.1077242,273,6
5000.0,4.535813,0.1180833,273,6
10000.0,4.8130372,0.1130693,273,6
20000.0,5.1309979,0.1030414,273,6
50000.0,5.7003415,0.1031706,273,6
100000.0,5.9423866,0.1282954,273,6
1000000.0,6.7799308,0.07403569999999998,273,6
100.0,0.8844374,0.1370214,298,6
200.0,1.3490801,0.1438506,298,6
500.0,2.0658902,0.1492256,298,6
1000.0,2.6701489,0.1520287,298,6
2000.0,3.3202624,0.1405674,298,6
5000.0,3.7491783,0.1298847,298,6
10000.0,4.1614225,0.115663,298,6
20000.0,4.4679652,0.1089167,298,6
50000.0,4.9636531,0.119701,298,6
100000.0,5.2299801,0.1225543,298,6
1000000.0,6.3253459,0.1033672,298,6
100.0,0.3265925,0.08677079999999998,323,6
200.0,0.5159399,0.1095636,323,6
500.0,1.0350658,0.1205692,323,6
1000.0,1.5417163,0.1631001,323,6
2000.0,2.1195657,0.1521983,323,6
5000.0,2.9029287,0.1439934,323,6
10000.0,3.3961242,0.1370222,323,6
20000.0,3.8591821,0.1171876,323,6
50000.0,4.2703606,0.1167409,323,6
100000.0,4.6181524,0.1089967,323,6
1000000.0,5.8345436,0.119102,323,6
100.0,2.0746618,0.150889,273,2
200.0,2.6447091,0.1537536,273,2
500.0,3.3328731,0.129277,273,2
1000.0,3.7664037,0.1347423,273,2
2000.0,4.119162,0.1170225,273,2
5000.0,4.5754058,0.1202127,273,2
10000.0,4.9871676,0.1232512,273,2
20000.0,5.2190789,0.1034335,273,2
50000.0,5.8218678,0.1134238,273,2
100000.0,6.088052,0.1131698,273,2
1000000.0,6.9881879,0.0922366,273,2
100.0,0.8609963,0.1343945,298,2
200.0,1.3299246,0.1508657,298,2
500.0,2.0753411,0.1606789,298,2
1000.0,2.6407194,0.1455106,298,2
2000.0,3.2406584,0.1395538,298,2
5000.0,3.7829483,0.1314237,298,2
10000.0,4.164301,0.1239414,298,2
20000.0,4.5168271,0.1125276,298,2
50000.0,5.0003418,0.1107154,298,2
100000.0,5.4087621,0.1184362,298,2
1000000.0,6.5257281,0.08327289999999998,298,2
100.0,0.298625,0.0890494,323,2
200.0,0.5471987,0.1207426,323,2
500.0,1.0429881,0.1533586,323,2
1000.0,1.5349928,0.1467233,323,2
2000.0,2.14522,0.1547638,323,2
5000.0,2.8502277,0.1447044,323,2
10000.0,3.3809737,0.1413594,323,2
20000.0,3.8457132,0.1283943,323,2
50000.0,4.3563572,0.1269517,323,2
100000.0,4.725952,0.1231956,323,2
1000000.0,6.0138719,0.1116123,323,2
100.0,0.0315994,0.0374099,273,8
200.0,0.0622154,0.0518205,273,8
500.0,0.1566257,0.07271379999999998,273,8
1000.0,0.3074116,0.1003882,273,8
2000.0,0.5912075,0.1374168,273,8
5000.0,1.2548513,0.1782454,273,8
10000.0,2.0556762,0.1902635,273,8
20000.0,2.908837,0.1904009,273,8
50000.0,3.8614559,0.167348,273,8
100000.0,4.4053575,0.1517967,273,8
1000000.0,6.138939,0.1591786,273,8
100.0,0.0120312,0.0230256,298,8
200.0,0.0246709,0.033427,298,8
500.0,0.0609404,0.0515451,298,8
1000.0,0.1200735,0.0721403,298,8
2000.0,0.2396619,0.0907373,298,8
5000.0,0.5595639,0.133776,298,8
10000.0,0.9953894,0.1674134,298,8
20000.0,1.6760368,0.1973153,298,8
50000.0,2.7584644,0.1969757,298,8
100000.0,3.483393,0.1756264,298,8
1000000.0,5.2224878,0.1444072,298,8
100.0,0.0056451,0.0157302,323,8
200.0,0.0110962,0.0219672,323,8
500.0,0.0272509,0.0347403,323,8
1000.0,0.0546827,0.0489667,323,8
2000.0,0.1060092,0.0673763,323,8
5000.0,0.2631289,0.1073275,323,8
10000.0,0.5027334,0.1364028,323,8
20000.0,0.9043133,0.1788637,323,8
50000.0,1.751212,0.2216948,323,8
100000.0,2.5476305,0.2242776,323,8
1000000.0,4.5106784,0.1728417,323,8
100.0,0.044914,0.044643,273,4
200.0,0.0904102,0.0635275,273,4
500.0,0.2158245,0.0862884,273,4
1000.0,0.4319885,0.118015,273,4
2000.0,0.7955301,0.1550725,273,4
5000.0,1.6627995,0.2072523,273,4
10000.0,2.5721322,0.2023826,273,4
20000.0,3.3645317,0.1764047,273,4
50000.0,4.2698482,0.1539049,273,4
100000.0,4.828616,0.1479637,273,4
1000000.0,6.5533653,0.13214,273,4
100.0,0.016931,0.0271551,298,4
200.0,0.0333008,0.0385393,298,4
500.0,0.0845471,0.0609027,298,4
1000.0,0.1654418,0.07507279999999998,298,4
2000.0,0.3204754,0.1057176,298,4
5000.0,0.7559158,0.1467951,298,4
10000.0,1.2952285,0.1813912,298,4
20000.0,2.0838363,0.1967603,298,4
50000.0,3.1761672,0.1886294,298,4
100000.0,3.8742275,0.1674987,298,4
1000000.0,5.5385848,0.1356457,298,4
100.0,0.0070476,0.0177105,323,4
200.0,0.014442,0.0253996,323,4
500.0,0.036314,0.0399027,323,4
1000.0,0.072359,0.0560606,323,4
2000.0,0.143095,0.07730869999999998,323,4
5000.0,0.3533538,0.1196679,323,4
10000.0,0.6590989,0.1617597,323,4
20000.0,1.1392342,0.1891433,323,4
50000.0,2.1144235,0.2268045,323,4
100000.0,2.9152846,0.22017,323,4
1000000.0,4.8331323,0.17401,323,4
100.0,3.1646655,0.1726214,273,7
200.0,3.7511225,0.1561194,273,7
500.0,4.2729886,0.1116642,273,7
1000.0,4.6937662,0.1311054,273,7
2000.0,5.02868,0.1230357,273,7
5000.0,5.605636,0.1413967,273,7
10000.0,5.9609728,0.1417492,273,7
20000.0,6.3144884,0.1191281,273,7
50000.0,6.7946206,0.08627269999999998,273,7
100000.0,7.1772093,0.1631836,273,7
1000000.0,7.8579891,0.0925763,273,7
100.0,1.35869,0.1826213,298,7
200.0,2.098474,0.1873928,298,7
500.0,3.0978059,0.1613051,298,7
1000.0,3.6927179,0.1473201,298,7
2000.0,4.1009471,0.1205031,298,7
5000.0,4.613785,0.1260749,298,7
10000.0,5.0789934,0.1441318,298,7
20000.0,5.4413035,0.1348257,298,7
50000.0,5.9560059,0.1447495,298,7
100000.0,6.4030327,0.1355173,298,7
1000000.0,7.402389399999999,0.1660078,298,7
100.0,0.3908788,0.1022685,323,7
200.0,0.7321642,0.1386389,323,7
500.0,1.3878422,0.1877291,323,7
1000.0,2.2060004,0.1772692,323,7
2000.0,2.9808533,0.1685992,323,7
5000.0,3.8042989,0.1353973,323,7
10000.0,4.2093473,0.1316113,323,7
