Pressure(Pa),Loading(mmol/g),Mean_Error(mmol/g),Temp(K),ID
100.0,0.007378799999999999,0.0144358,273,5
200.0,0.0144674,0.0182806,273,5
500.0,0.0338013,0.0251808,273,5
1000.0,0.0692067,0.0365812,273,5
2000.0,0.1385482,0.0544032,273,5
5000.0,0.3173325,0.0723917,273,5
10000.0,0.5556702,0.08960759999999998,273,5
20000.0,0.8838557999999999,0.09748830000000001,273,5
50000.0,1.3497956,0.0909685,273,5
100000.0,1.7062729,0.0866324,273,5
1000000.0,2.3459859,0.08857569999999998,273,5
100.0,0.0023571,0.008215,298,5
200.0,0.0045635,0.0114685,298,5
500.0,0.0115957,0.0158194,298,5
1000.0,0.0233007,0.0216686,298,5
2000.0,0.0447646,0.0295288,298,5
5000.0,0.1133006,0.0470407,298,5
10000.0,0.2232972,0.0658296,298,5
20000.0,0.3977869,0.08354699999999998,298,5
50000.0,0.7521578,0.1088206,298,5
100000.0,1.1362091,0.1146747,298,5
1000000.0,2.0360926,0.0703367,298,5
100.0,0.0009515,0.0051745,323,5
200.0,0.0018081,0.0070962,323,5
500.0,0.0049614,0.0118731,323,5
1000.0,0.0089253,0.0160069,323,5
2000.0,0.0185607,0.0204458,323,5
5000.0,0.0471648,0.0316913,323,5
10000.0,0.0919094,0.0434841,323,5
20000.0,0.1689691,0.055557,323,5
50000.0,0.3726294,0.08384129999999998,323,5
100000.0,0.6389861,0.0976038,323,5
1000000.0,1.7462913,0.08616509999999998,323,5
100.0,0.0264052,0.0237077,273,1
200.0,0.0527788,0.0333021,273,1
500.0,0.1278752,0.0510769,273,1
1000.0,0.2368217,0.0620938,273,1
2000.0,0.421542,0.0901638,273,1
5000.0,0.8443709,0.1028703,273,1
10000.0,1.2301402,0.1047053,273,1
20000.0,1.6027408,0.099936,273,1
50000.0,1.9077418,0.08220669999999998,273,1
100000.0,2.1412406,0.08059439999999998,273,1
1000000.0,2.83236,0.07561289999999998,273,1
100.0,0.0079854,0.0149758,298,1
200.0,0.0159334,0.0183226,298,1
500.0,0.0392657,0.02739,298,1
1000.0,0.0764302,0.0384857,298,1
2000.0,0.1484279,0.0535087,298,1
5000.0,0.3479948,0.0770498,298,1
10000.0,0.5564831,0.09447,298,1
20000.0,0.8900513,0.1199415,298,1
50000.0,1.424851,0.100876,298,1
100000.0,1.7214417,0.0971042,298,1
1000000.0,2.4061365,0.076599,298,1
100.0,0.0030154,0.009407,323,1
200.0,0.0056024,0.0127362,323,1
500.0,0.0138465,0.017132,323,1
1000.0,0.0273221,0.0248906,323,1
2000.0,0.0533422,0.0322733,323,1
5000.0,0.1300558,0.0480955,323,1
10000.0,0.2514616,0.0663547,323,1
20000.0,0.4512625,0.0863132,323,1
50000.0,0.8574669,0.1042797,323,1
100000.0,1.2139229,0.114228,323,1
1000000.0,2.1116383,0.0790106,323,1
